blkId,blkLabel,qdrName,blkName,prvName,apaAreaType,urlNPD,apaAreaNetGeometryWKT
"120","15/12","15","12","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.80316392072886 58.0833333215518,1.75000003413028 58.1414860988379,1.72691947961374 58.1666666541751,1.72691917319177 58.1666669875084,1.75000003416211 58.1666669877363,1.75000003426723 58.249999987768,1.83333303083079 58.2499999885611,1.83333303077367 58.1999999885433,1.85000003012548 58.1999999886971,1.85000003003188 58.1166669886681,1.81666703133682 58.116666988358,1.81666703128044 58.0685309883409,1.80316392072886 58.0833333215518))"
"1327","24/11","24","11","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.66666670589928 59.1238999873127,1.66666670588958 59.1166669873093,1.66472503931774 59.1166669872899,1.66666670589928 59.1238999873127))"
"120","15/12","15","12","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.8790111398966 57.9999999889188,1.86387502939219 58.0166669887612,1.88333302866709 58.0166669889381,1.88333302865653 58.0069439889349,1.88333302864899 57.9999999889326,1.87901113991981 57.9999999888935,1.8790111399197 57.9999999888936,1.8790111398966 57.9999999889188))"
"34","6/3","6","3","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.89413602823566 57.9833329890244,1.90000002802318 57.9833329890769,1.90000002801628 57.9768639890748,1.89413602823566 57.9833329890244))"
"197","24/12","24","12","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.70078892664974 59.2499999877072,1.81666703263336 59.2499999887949,1.81666703248391 59.1166669887401,1.66666703922289 59.1166669873093,1.66666670588958 59.1166669873093,1.66666670589928 59.1238999873127,1.6666667058993 59.1238999873127,1.70078892664974 59.2499999877072))"
"118","15/9","15","9","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.85000003018148 58.2499999887147,1.85000003021876 58.2833329887265,2.00000002489348 58.2833329900339,2.00000002487792 58.2666669900287,2.00000002486233 58.2499999900235,1.9333330271137 58.2499999894578,1.85000003018148 58.2499999887147))"
"34","6/3","6","3","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.96500002557564 57.9049999897417,1.95446669271635 57.9166666562014,1.93940802658076 57.9333329894091,1.95000002621801 57.9333329895012,1.95000002620622 57.9216139894976,1.95446702604968 57.9166669895347,1.96666702563968 57.9166669896397,1.96666702568896 57.966666989655,1.95000002625153 57.9666669895115,1.95000002628498 57.9999999895219,1.95833302600204 57.9999999895938,1.96666702572176 57.9999999896652,2.0000000246274 57.9999999899471,2.00000002447262 57.8367111010102,1.96500002568397 57.904999989622,1.96500002557564 57.9049999897417))"
"118","15/9","15","9","N2","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.91666702788718 58.4278329893726,1.91666702787572 58.4166669893687,1.85000003036736 58.4166669887742,1.85000003037912 58.4272499887781,1.91666702788718 58.4278329893726))"
"196","24/9","24","9","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.70439022143623 59.2632427474838,1.71166670396801 59.2899999878308,1.71166670399919 59.2899999878836,1.75722474838876 59.3666669882981,1.78333303417611 59.3666669885403,1.78333303411816 59.3166669885188,1.80000003340636 59.3166669886716,1.8000000333874 59.2999999886645,1.8166670326892 59.2999999888157,1.8166670326706 59.2833329888088,1.81666703263336 59.2499999887949,1.70078892664974 59.2499999877072,1.70078892664981 59.2499999877074,1.70439022143623 59.2632427474838))"
"120","15/12","15","12","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.000000024753 58.1333329899875,2.00000002472167 58.0999999899773,2.00000002465886 58.0333329899572,2.0000000246274 57.9999999899471,1.96666702572176 57.9999999896652,1.96666702573815 58.0166669896704,1.98333302518537 58.016666989812,1.98333302524949 58.0833329898325,1.98333302528149 58.1166669898427,1.96666702583621 58.1166669897015,1.96666702584436 58.1249999897041,1.97500002556558 58.1249999897749,1.97500002557365 58.1333329897775,2.000000024753 58.1333329899875))"
