baaNpdidBsnsArrArea,baaNpdidBsnsArrAreaPoly,baaName,baaKind,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyActive,baaDateApproved,baaDateValidFrom,baaDateValidTo,baaActive,baaFactPageUrl,baaFactMapUrl,baaAreaGeometryWKT
3437667,5443820,"BLANE UNIT","UNITIZED",2005-07-01,9999-12-31,ACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437667","http://www.npd.no/FactMapSearch?NPDID_business_area=3437667","MULTIPOLYGON(((2.427778 56.868056,2.482222 56.868056,2.453889 56.926389,2.438889 56.926389,2.438889 56.920833,2.422222 56.920833,2.422222 56.9,2.427778 56.9,2.427778 56.868056)))"
3437667,3437769,"BLANE UNIT","UNITIZED",2005-07-01,9999-12-31,ACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437667","http://www.npd.no/FactMapSearch?NPDID_business_area=3437667","MULTIPOLYGON(((2.498889 56.833333,2.533333 56.833333,2.533333 56.933333,2.450556 56.933333,2.498889 56.833333)))"
40432,102981,"BRAGE UNIT","UNITIZED",1993-12-27,9999-12-31,ACTIVE,1993-12-27,1993-12-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40432","http://www.npd.no/FactMapSearch?NPDID_business_area=40432","MULTIPOLYGON(((2.983333 60.5,3 60.5,3 60.583333,2.983333 60.583333,2.983333 60.5)))"
40432,102990,"BRAGE UNIT","UNITIZED",1993-12-27,9999-12-31,ACTIVE,1993-12-27,1993-12-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40432","http://www.npd.no/FactMapSearch?NPDID_business_area=40432","MULTIPOLYGON(((3 60.466667,3.083333 60.466667,3.083333 60.5,3 60.5,3 60.466667)))"
40432,46980,"BRAGE UNIT","UNITIZED",1993-12-27,9999-12-31,ACTIVE,1993-12-27,1993-12-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40432","http://www.npd.no/FactMapSearch?NPDID_business_area=40432","MULTIPOLYGON(((3 60.5,3.116667 60.5,3.116667 60.55,3.15 60.55,3.15 60.583333,3.183333 60.583333,3.183333 60.616667,3.166667 60.616667,3.166667 60.633333,3.083333 60.633333,3.083333 60.616667,3.05 60.616667,3.05 60.6,3 60.6,3 60.5)))"
3437805,4460484,"ENOCH UNIT","UNITIZED",2005-10-10,9999-12-31,ACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437805","http://www.npd.no/FactMapSearch?NPDID_business_area=3437805","MULTIPOLYGON(((1.483333 58.625,1.534167 58.625,1.545 58.666667,1.483333 58.666667,1.483333 58.625)))"
3437805,4460475,"ENOCH UNIT","UNITIZED",2005-10-10,9999-12-31,ACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437805","http://www.npd.no/FactMapSearch?NPDID_business_area=3437805","MULTIPOLYGON(((1.536389 58.633333,1.566667 58.633333,1.566667 58.666667,1.545 58.666667,1.536389 58.633333)))"
3437805,3437896,"ENOCH UNIT","UNITIZED",2005-07-01,2005-10-10,INACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437805","http://www.npd.no/FactMapSearch?NPDID_business_area=3437805","MULTIPOLYGON(((1.483333 58.625,1.533889 58.625,1.545 58.666667,1.483333 58.666667,1.483333 58.625)))"
3437805,3437887,"ENOCH UNIT","UNITIZED",2005-07-01,2005-10-10,INACTIVE,2005-07-01,2005-07-01,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=3437805","http://www.npd.no/FactMapSearch?NPDID_business_area=3437805","MULTIPOLYGON(((1.536292 58.633333,1.566667 58.633333,1.566667 58.666667,1.545033 58.666667,1.536292 58.633333)))"
41175,915939,"FRØY UNIT","UNITIZED",1992-08-19,1998-01-22,INACTIVE,1992-08-19,1992-08-19,2002-12-31,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41175",NULL,"MULTIPOLYGON(((2.5 59.683333,2.55 59.683333,2.55 59.691667,2.566667 59.691667,2.566667 59.7,2.583333 59.7,2.583333 59.725,2.6 59.725,2.6 59.75,2.533333 59.75,2.533333 59.733333,2.516667 59.733333,2.516667 59.716667,2.5 59.716667,2.5 59.683333)))"
41175,2129647,"FRØY UNIT","UNITIZED",1998-01-22,2002-12-31,INACTIVE,1992-08-19,1992-08-19,2002-12-31,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41175",NULL,"MULTIPOLYGON(((2.516667 59.683333,2.55 59.683333,2.55 59.691667,2.566667 59.691667,2.566667 59.7,2.583333 59.7,2.583333 59.725,2.6 59.725,2.6 59.75,2.533333 59.75,2.533333 59.733333,2.516667 59.733333,2.516667 59.683333)))"
41175,2129634,"FRØY UNIT","UNITIZED",1998-01-22,2002-12-31,INACTIVE,1992-08-19,1992-08-19,2002-12-31,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41175",NULL,"MULTIPOLYGON(((2.533333 59.75,2.6 59.75,2.6 59.758333,2.583333 59.758333,2.583333 59.783333,2.55 59.783333,2.55 59.766667,2.533333 59.766667,2.533333 59.75)))"
