baaName,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyNationCode2,baaAreaPolyBlockName,baaAreaPolyNo,baaAreaPolyArea,baaNpdidBsnsArrArea,baaAreaPolyDateUpdated,dateSyncNPD
BLANE UNIT,2005-07-01,9999-12-31,NO,1/2,1,39.770,3437667,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,9999-12-31,NO,UNKNOWN,2,16.317,3437667,9999-12-31,2013-05-08
BRAGE UNIT,1993-12-27,9999-12-31,NO,31/4,1,106.946,40432,9999-12-31,2013-05-08
BRAGE UNIT,1993-12-27,9999-12-31,NO,30/6,2,8.494,40432,9999-12-31,2013-05-08
BRAGE UNIT,1993-12-27,9999-12-31,NO,31/7,3,17.019,40432,9999-12-31,2013-05-08
ENOCH UNIT,2005-10-10,9999-12-31,NO,15/5,1,5.600,3437805,9999-12-31,2013-05-08
ENOCH UNIT,2005-10-10,9999-12-31,NO,UNKNOWN,2,15.159,3437805,9999-12-31,2013-05-08
ENOCH UNIT,2005-07-01,2005-10-10,NO,15/5,1,5.607,3437805,9999-12-31,2013-05-08
ENOCH UNIT,2005-07-01,2005-10-10,NO,UNKNOWN,2,15.122,3437805,9999-12-31,2013-05-08
FRIGG UNIT,1977-12-12,9999-12-31,NO,25/1,1,0.000,45634,9999-12-31,2013-05-08
FRIGG UNIT,1977-12-12,9999-12-31,NO,30/10,2,0.000,45634,9999-12-31,2013-05-08
FRØY UNIT,1998-01-22,2002-12-31,NO,25/2,1,9.566,41175,9999-12-31,2013-05-08
FRØY UNIT,1998-01-22,2002-12-31,NO,25/5,2,26.123,41175,9999-12-31,2013-05-08
FRØY UNIT,1992-08-19,1998-01-22,NO,25/2,1,9.566,41175,9999-12-31,2013-05-08
FRØY UNIT,1992-08-19,1998-01-22,NO,25/5,2,29.609,41175,9999-12-31,2013-05-08
GIMLE UNIT,2006-06-22,9999-12-31,NO,34/7,1,9.966,4007192,9999-12-31,2013-05-08
GIMLE UNIT,2006-06-22,9999-12-31,NO,34/8,2,9.966,4007192,9999-12-31,2013-05-08
GIMLE UNIT,2006-06-22,9999-12-31,NO,34/10,3,3.947,4007192,9999-12-31,2013-05-08
GRANE SLIDING SCALE,1995-01-01,2000-04-13,NO,25/11,1,54.888,40885,9999-12-31,2013-05-08
GRANE UNIT,2000-04-13,9999-12-31,NO,25/11,1,17.681,1031365,9999-12-31,2013-05-08
GRANE UNIT,2000-04-13,9999-12-31,NO,25/11,2,51.793,1031365,9999-12-31,2013-05-08
GRANE UNIT,2000-04-13,9999-12-31,NO,25/11,3,22.532,1031365,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-12-03,9999-12-31,NO,6506/11,1,91.908,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-12-03,9999-12-31,NO,6406/1,2,22.025,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-12-03,9999-12-31,NO,6406/5,3,10.329,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2007-12-03,9999-12-31,NO,6406/2,4,215.679,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-12,2003-08-26,NO,6506/11,1,155.795,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-12,2003-08-26,NO,6406/2,2,422.847,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-12,2003-08-26,NO,6406/5,3,10.329,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2003-05-12,2003-08-26,NO,6406/1,4,22.025,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2001-12-18,2003-05-12,NO,6406/5,1,14.757,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2001-12-18,2003-05-12,NO,6406/1,2,7.372,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2001-12-18,2003-05-12,NO,6406/1,3,73.376,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2001-12-18,2003-05-12,NO,6406/2,4,422.847,1854695,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,2001-12-18,2003-05-12,NO,6506/11,5,155.795,1854695,9999-12-31,2013-05-08
HEIDRUN UNIT,2005-01-01,9999-12-31,NO,6507/7,1,70.684,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,2005-01-01,9999-12-31,NO,6507/8,2,36.049,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-01-01,2005-01-01,NO,6507/8,1,46.174,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,2003-01-01,2005-01-01,NO,6507/7,2,70.684,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,2003-01-01,NO,6507/7,1,83.700,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,2000-01-01,2003-01-01,NO,6507/8,2,46.174,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,1991-11-27,2000-01-01,NO,6507/8,1,33.213,40490,9999-12-31,2013-05-08
HEIDRUN UNIT,1991-11-27,2000-01-01,NO,6507/7,2,82.260,40490,9999-12-31,2013-05-08
HEIMDAL UNIT,1975-05-02,2003-10-12,NO,25/4,1,85.472,41470,9999-12-31,2013-05-08
HULDRA UNIT,2001-11-30,9999-12-31,NO,30/2,1,55.543,41189,9999-12-31,2013-05-08
HULDRA UNIT,2001-11-30,9999-12-31,NO,30/3,2,9.254,41189,9999-12-31,2013-05-08
HULDRA UNIT,1997-12-05,2001-11-30,NO,30/2,1,55.543,41189,9999-12-31,2013-05-08
HULDRA UNIT,1997-12-05,2001-11-30,NO,30/3,2,25.245,41189,9999-12-31,2013-05-08
JETTE UNIT,2012-01-05,9999-12-31,NO,25/7,1,7.036,21077388,9999-12-31,2013-05-08
JETTE UNIT,2012-01-05,9999-12-31,NO,25/8,2,8.793,21077388,9999-12-31,2013-05-08
JETTE UNIT,2012-01-05,9999-12-31,NO,25/8,3,8.790,21077388,9999-12-31,2013-05-08
JOTUN UNIT,1998-01-01,9999-12-31,NO,25/7,1,23.706,40655,9999-12-31,2013-05-08
JOTUN UNIT,1998-01-01,9999-12-31,NO,25/8,2,55.292,40655,9999-12-31,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,29/9,1,10.351,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,30/7,2,30.642,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,29/6,3,18.410,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,30/4,4,30.596,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,29/6,5,3.819,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,29/6,6,1.607,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2006-01-06,9999-12-31,NO,UNKNOWN,7,11.883,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2005-09-07,2006-01-06,NO,29/9,1,10.351,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2005-09-07,2006-01-06,NO,30/7,2,30.642,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2005-09-07,2006-01-06,NO,29/6,3,18.410,3812119,2012-06-13,2013-05-08
MARTIN LINGE UNIT,2005-09-07,2006-01-06,NO,30/4,4,30.596,3812119,2012-06-13,2013-05-08
MIKKEL UNIT,2001-06-06,9999-12-31,NO,6407/5,1,22.179,1629477,9999-12-31,2013-05-08
MIKKEL UNIT,2001-06-06,9999-12-31,NO,6407/6,2,25.131,1629477,9999-12-31,2013-05-08
MURCHISON UNIT,1979-04-01,9999-12-31,NO,UNKNOWN,1,28.317,42302,9999-12-31,2013-05-08
MURCHISON UNIT,1979-04-01,9999-12-31,NO,33/9,2,9.723,42302,9999-12-31,2013-05-08
NJORD UNIT,1995-02-23,9999-12-31,NO,6407/7,1,69.751,40585,9999-12-31,2013-05-08
NJORD UNIT,1995-02-23,9999-12-31,NO,6407/10,2,18.031,40585,9999-12-31,2013-05-08
NORDØST FRIGG UNIT,1980-07-01,1995-12-31,NO,25/1,1,0.000,42225,9999-12-31,2013-05-08
NORDØST FRIGG UNIT,1980-07-01,1995-12-31,NO,30/10,2,0.000,42225,9999-12-31,2013-05-08
NORNE INSIDE,2008-01-01,9999-12-31,NO,6808/10,1,43.545,40672,9999-12-31,2013-05-08
NORNE INSIDE,2008-01-01,9999-12-31,NO,6508/1,2,4.220,40672,9999-12-31,2013-05-08
NORNE INSIDE,1998-01-30,2008-01-01,NO,6608/10,1,46.355,40672,9999-12-31,2013-05-08
NORNE INSIDE,1998-01-30,2008-01-01,NO,6508/1,2,4.220,40672,9999-12-31,2013-05-08
NORNE INSIDE,1995-03-09,1998-01-30,NO,6608/10,1,46.355,40672,9999-12-31,2013-05-08
ORMEN LANGE UNIT,2003-12-03,9999-12-31,NO,6305/4,1,147.542,2588637,9999-12-31,2013-05-08
ORMEN LANGE UNIT,2003-12-03,9999-12-31,NO,6305/5,2,193.719,2588637,9999-12-31,2013-05-08
ORMEN LANGE UNIT,2003-12-03,9999-12-31,NO,6305/7,3,140.867,2588637,9999-12-31,2013-05-08
ORMEN LANGE UNIT,2003-12-03,9999-12-31,NO,6305/8,4,170.324,2588637,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,30/6,1,227.327,3500071,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,30/6,2,98.131,3500071,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,31/4,3,5.071,3500071,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,30/9,4,102.167,3500071,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,30/9,5,348.512,3500071,9999-12-31,2013-05-08
OSEBERG AREA UNIT,2004-06-16,9999-12-31,NO,30/12,6,23.152,3500071,9999-12-31,2013-05-08
OSEBERG SØR UNIT,1996-12-20,2004-06-16,NO,30/12,4,23.152,40638,9999-12-31,2013-05-08
OSEBERG SØR UNIT,1996-12-20,2004-06-16,NO,30/9,2,45.130,40638,9999-12-31,2013-05-08
OSEBERG SØR UNIT,1996-12-20,2004-06-16,NO,30/9,3,15.848,40638,9999-12-31,2013-05-08
OSEBERG SØR UNIT,1996-12-20,2004-06-16,NO,30/9,1,187.439,40638,9999-12-31,2013-05-08
OSEBERG UNIT,1997-06-30,2004-06-16,NO,30/6,1,227.327,41040,9999-12-31,2013-05-08
OSEBERG UNIT,1997-06-30,2004-06-16,NO,30/9,2,60.864,41040,9999-12-31,2013-05-08
OSEBERG UNIT,1985-03-28,1997-06-30,NO,30/6,1,130.668,41040,9999-12-31,2013-05-08
OSEBERG UNIT,1985-03-28,1997-06-30,NO,30/9,2,56.187,41040,9999-12-31,2013-05-08
RINGHORNE ØST UNIT,2011-11-04,9999-12-31,NO,25/8,1,34.841,3505593,9999-12-31,2013-05-08
RINGHORNE ØST UNIT,2011-11-04,9999-12-31,NO,25/8,2,19.385,3505593,9999-12-31,2013-05-08
RINGHORNE ØST UNIT,2005-11-17,2011-11-04,NO,25/8,1,34.841,3505593,9999-12-31,2013-05-08
RINGHORNE ØST UNIT,2005-11-17,2011-11-04,NO,25/8,2,19.385,3505593,9999-12-31,2013-05-08
SA-A,2000-06-16,2002-04-30,NO,UNKNOWN,1,3612.697,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,1,4659.730,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,2,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,3,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,4,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,5,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,6,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,7,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,8,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,9,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,10,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,11,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,12,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,13,0.000,1630961,9999-12-31,2013-05-08
SA-A,1997-05-30,2000-06-16,NO,UNKNOWN,14,0.000,1630961,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,UNKNOWN,1,3286.355,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7220/3,2,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/1,3,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/2,4,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/3,5,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7222/1,6,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/4,7,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/5,8,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7220/9,9,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/7,10,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/8,11,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7220/12,12,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/10,13,0.000,1631138,9999-12-31,2013-05-08
SA-C,2004-05-13,2010-05-29,NO,7221/11,14,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,UNKNOWN,1,4358.832,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7220/3,2,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7220/6,3,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7220/9,4,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7220/12,5,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/1,6,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/2,7,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/3,8,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/4,9,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/3,10,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/7,11,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/5,12,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/10,13,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/11,14,0.000,1631138,9999-12-31,2013-05-08
SA-C,1997-05-30,2004-05-13,NO,7221/10,15,0.000,1631138,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,UNKNOWN,1,5011.100,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,UNKNOWN,2,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7125/3,3,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7126/1,4,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7126/2,5,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7126/3,6,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7127/1,7,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7226/10,8,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7226/11,9,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7226/12,10,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7227/7,11,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7227/8,12,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7227/9,13,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7227/10,14,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7228/4,15,0.000,1631341,9999-12-31,2013-05-08
SA-F,1997-05-30,2008-09-01,NO,7228/7,16,0.000,1631341,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,UNKNOWN,1,3210.273,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7129/5,2,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7129/6,3,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7129/7,4,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7129/8,5,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7129/9,6,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/4,7,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/5,8,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/7,9,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/8,10,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/9,11,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/10,12,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/11,13,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7130/12,14,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7131/7,15,0.000,1631599,9999-12-31,2013-05-08
SA-G,2004-07-05,2007-05-15,NO,7131/10,16,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,UNKNOWN,1,5041.702,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7128/3,2,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/1,3,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/2,4,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/5,5,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/6,6,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/7,7,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/8,8,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7129/9,9,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/3,10,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/4,11,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/5,12,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/6,13,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/5,14,0.000,1631599,9999-12-31,2013-05-08
SA-G,1997-05-30,2004-07-05,NO,7130/7,15,0.000,1631599,9999-12-31,2013-05-08
