baaName,baaLicenseeDateValidFrom,baaLicenseeDateValidTo,cmpLongName,baaLicenseeInterest,baaLicenseeSdfi,baaNpdidBsnsArrArea,cmpNpdidCompany,baaLicenseeDateUpdated,dateSyncNPD
BLANE UNIT,2011-01-04,9999-12-31,JX Nippon Exploration and Production (UK) Limited,13.99350,NULL,3437667,20415923,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,9999-12-31,Faroe Petroleum (UK) Limited,18.00410,NULL,3437667,21614063,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,9999-12-31,Talisman Energy (UK) Limited,25.00120,NULL,3437667,20415938,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,9999-12-31,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,9999-12-31,Dana Petroleum (BVUK) Limited,12.50060,NULL,3437667,20415896,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,9999-12-31,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Faroe Petroleum (UK) Limited,18.00410,NULL,3437667,21614063,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Talisman Energy (UK) Limited,25.00120,NULL,3437667,20415938,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Dana Petroleum (BVUK) Limited,12.50060,NULL,3437667,20415896,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Nippon Oil Exploration and Production UKl Limited,13.99350,NULL,3437667,17237695,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,2011-01-04,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Talisman Energy (UK) Limited,25.00120,NULL,3437667,20415938,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Dana Petroleum (BVUK) Limited,12.50060,NULL,3437667,20415896,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Nippon Oil Exploration and Production UKl Limited,13.99350,NULL,3437667,17237695,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,2010-07-01,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Nippon Oil Exploration and Production UKl Limited,13.99350,NULL,3437667,17237695,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Talisman North Sea Limited,25.00120,NULL,3437667,4462398,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,2010-01-01,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Talisman North Sea Limited,25.00120,NULL,3437667,4462398,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,2008-07-15,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Talisman Expro Limited,25.00120,NULL,3437667,3987589,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Talisman Energy Norge AS,18.00000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,2006-10-31,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Talisman Resources Norge AS,11.70000,NULL,3437667,3987574,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Talisman Expro Limited,25.00120,NULL,3437667,3987589,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Talisman Energy Norge AS,6.30000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2006-03-22,2006-10-13,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Talisman Expro Limited,25.00120,NULL,3437667,3987589,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Talisman Energy Norge AS,6.30000,NULL,3437667,2425093,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2005-12-19,2006-03-22,Paladin Resources Norge AS,11.70000,NULL,3437667,1577943,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Paladin Expro Limited,25.00120,NULL,3437667,3437686,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Roc Oil (GB) Limited,12.50060,NULL,3437667,3437730,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Paladin Resources Norge AS,11.70000,NULL,3437667,1577943,9999-12-31,2013-05-08
BLANE UNIT,2005-07-01,2005-12-19,Talisman Energy Norge AS,6.30000,NULL,3437667,2425093,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,Tullow Oil Norge AS,2.50000,NULL,40432,23173852,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,Core Energy AS,12.25750,NULL,40432,20460080,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,Faroe Petroleum Norge AS,14.25670,NULL,40432,4062883,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,Statoil Petroleum AS,32.70000,NULL,40432,17237817,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,VNG Norge AS,4.44240,NULL,40432,17237193,9999-12-31,2013-05-08
BRAGE UNIT,2013-02-13,9999-12-31,Talisman Energy Norge AS,33.84340,NULL,40432,2425093,9999-12-31,2013-05-08
BRAGE UNIT,2011-07-01,2013-02-13,Core Energy AS,12.25750,NULL,40432,20460080,2013-02-20,2013-05-08
BRAGE UNIT,2011-07-01,2013-02-13,Faroe Petroleum Norge AS,14.25670,NULL,40432,4062883,2013-02-20,2013-05-08
BRAGE UNIT,2011-07-01,2013-02-13,Spring Energy Norway AS,2.50000,NULL,40432,5072514,2013-02-20,2013-05-08
