baaName,cmpLongName,baaNpdidBsnsArrArea,cmpNpdidCompany,baaOperatorDateUpdated,dateSyncNPD
BLANE UNIT,Talisman Energy Norge AS,3437667,2425093,9999-12-31,2013-05-08
BRAGE UNIT,Statoil Petroleum AS,40432,17237817,9999-12-31,2013-05-08
ENOCH UNIT,Talisman North Sea Limited,3437805,4462398,9999-12-31,2013-05-08
FRIGG UNIT,Total E&P Norge AS,45634,2410708,9999-12-31,2013-05-08
GIMLE UNIT,Statoil Petroleum AS,4007192,17237817,9999-12-31,2013-05-08
GRANE UNIT,Statoil Petroleum AS,1031365,17237817,9999-12-31,2013-05-08
HALTENBANKEN VEST UNIT,Statoil Petroleum AS,1854695,17237817,9999-12-31,2013-05-08
HEIDRUN UNIT,Statoil Petroleum AS,40490,17237817,9999-12-31,2013-05-08
HULDRA UNIT,Statoil Petroleum AS,41189,17237817,9999-12-31,2013-05-08
JETTE UNIT,Det norske oljeselskap ASA,21077388,17342870,9999-12-31,2013-05-08
JOTUN UNIT,ExxonMobil Exploration & Production Norway AS,40655,2835212,9999-12-31,2013-05-08
MARTIN LINGE UNIT,Total E&P Norge AS,3812119,2410708,9999-12-31,2013-05-08
MIKKEL UNIT,Statoil Petroleum AS,1629477,17237817,9999-12-31,2013-05-08
MURCHISON UNIT,CNR International (UK) Limited,42302,2385943,9999-12-31,2013-05-08
NJORD UNIT,Statoil Petroleum AS,40585,17237817,9999-12-31,2013-05-08
NORNE INSIDE,Statoil Petroleum AS,40672,17237817,9999-12-31,2013-05-08
ORMEN LANGE UNIT,A/S Norske Shell,2588637,562,9999-12-31,2013-05-08
OSEBERG AREA UNIT,Statoil Petroleum AS,3500071,17237817,9999-12-31,2013-05-08
RINGHORNE ØST UNIT,ExxonMobil Exploration & Production Norway AS,3505593,2835212,9999-12-31,2013-05-08
SKARV UNIT,BP Norge AS,4468539,2052695,9999-12-31,2013-05-08
SLEIPNER VEST UNIT,Statoil Petroleum AS,40848,17237817,9999-12-31,2013-05-08
SLEIPNER ØST UNIT,Statoil Petroleum AS,41211,17237817,9999-12-31,2013-05-08
SNORRE UNIT,Statoil Petroleum AS,40906,17237817,9999-12-31,2013-05-08
SNØHVIT UNIT,Statoil Petroleum AS,1333943,17237817,9999-12-31,2013-05-08
STATFJORD UNIT,Statoil Petroleum AS,41686,17237817,9999-12-31,2013-05-08
STATFJORD ØST UNIT,Statoil Petroleum AS,41233,17237817,9999-12-31,2013-05-08
SYGNA UNIT,Statoil Petroleum AS,96205,17237817,9999-12-31,2013-05-08
TAMBAR ØST UNIT,BP Norge AS,4999504,2052695,9999-12-31,2013-05-08
TOMMELITEN UNIT,ConocoPhillips Skandinavia AS,41411,2410696,9999-12-31,2013-05-08
TOR UNIT,ConocoPhillips Skandinavia AS,45891,2410696,9999-12-31,2013-05-08
TROLL UNIT,Statoil Petroleum AS,41105,17237817,9999-12-31,2013-05-08
TYRIHANS UNIT,Statoil Petroleum AS,3488806,17237817,9999-12-31,2013-05-08
VALEMON UNIT,Statoil Petroleum AS,18403644,17237817,9999-12-31,2013-05-08
VALHALL UNIT,BP Norge AS,41657,2052695,9999-12-31,2013-05-08
VEGA UNIT,Statoil Petroleum AS,20459640,17237817,9999-12-31,2013-05-08
VISUND INSIDE,Statoil Petroleum AS,40726,17237817,9999-12-31,2013-05-08
ÅSGARD UNIT,Statoil Petroleum AS,40564,17237817,9999-12-31,2013-05-08
