baaName,baaTransferDateValidFrom,baaTransferDirection,baaTransferKind,cmpLongName,baaTransferredInterest,baaTransferSdfi,baaNpdidBsnsArrArea,cmpNpdidCompany,baaTransferDateUpdated,dateSyncNPD
BLANE UNIT,2011-01-04,FROM,CHANGE OF COMPANY NAME,Nippon Oil Exploration and Production UKl Limited,13.99350,NULL,3437667,17237695,9999-12-31,2013-05-08
BLANE UNIT,2011-01-04,TO,CHANGE OF COMPANY NAME,JX Nippon Exploration and Production (UK) Limited,13.99350,NULL,3437667,20415923,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,FROM,TRANSFER,Eni ULX Limited,4.10730,NULL,3437667,3437708,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,FROM,TRANSFER,Eni UK Limited,13.89680,NULL,3437667,3437697,9999-12-31,2013-05-08
BLANE UNIT,2010-07-01,TO,TRANSFER,Faroe Petroleum (UK) Limited,18.00410,NULL,3437667,21614063,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,FROM,CHANGE OF COMPANY NAME,Talisman North Sea Limited,25.00120,NULL,3437667,4462398,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,FROM,CHANGE OF COMPANY NAME,Bow Valley Petroleum (UK) Limited,12.50060,NULL,3437667,3437741,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,TO,CHANGE OF COMPANY NAME,Talisman Energy (UK) Limited,25.00120,NULL,3437667,20415938,9999-12-31,2013-05-08
BLANE UNIT,2010-01-01,TO,CHANGE OF COMPANY NAME,Dana Petroleum (BVUK) Limited,12.50060,NULL,3437667,20415896,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,FROM,MERGER/TAKEOVER,Moc Exploration (U.K.) Limited,13.99350,NULL,3437667,3437719,9999-12-31,2013-05-08
BLANE UNIT,2008-07-15,TO,MERGER/TAKEOVER,Nippon Oil Exploration and Production UKl Limited,13.99350,NULL,3437667,17237695,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,FROM,NULL,Talisman Expro Limited,25.00120,NULL,3437667,3987589,9999-12-31,2013-05-08
BLANE UNIT,2006-10-31,TO,NULL,Talisman North Sea Limited,25.00120,NULL,3437667,4462398,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,FROM,NULL,Talisman Resources Norge AS,11.70000,NULL,3437667,3987574,9999-12-31,2013-05-08
BLANE UNIT,2006-10-13,TO,NULL,Talisman Energy Norge AS,11.70000,NULL,3437667,2425093,9999-12-31,2013-05-08
