cmpLongName,fldName,cmpRecoverableOil,cmpRecoverableGas,cmpRecoverableNGL,cmpRecoverableCondensate,cmpRecoverableOE,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,dateSyncNPD
A/S Norske Shell,DRAUGEN,65.37,0.71,1.25,0.00,68.45,6.64,0.04,0.18,0.00,7.02,2012-12-31,44.56000,43758,562,2013-05-08
A/S Norske Shell,GJØA,1.39,3.92,1.04,0.00,7.30,0.77,3.34,0.91,0.00,5.84,2012-12-31,12.00000,4467574,562,2013-05-08
A/S Norske Shell,ORMEN LANGE,0.00,52.19,0.00,2.85,55.03,0.00,35.39,0.00,1.55,36.94,2012-12-31,17.03750,2762452,562,2013-05-08
A/S Norske Shell,TROLL,21.37,116.08,2.23,0.12,141.80,2.92,79.79,1.71,-0.23,85.73,2012-12-31,8.10145,46437,562,2013-05-08
Bayerngas Norge AS,OSELVAR,1.38,1.17,0.00,0.00,2.55,1.35,1.17,0.00,0.00,2.52,2012-12-31,30.00000,5506919,4444493,2013-05-08
Bayerngas Norge AS,TRYM,0.75,2.15,0.00,0.00,2.90,0.40,1.60,0.00,0.00,2.00,2012-12-31,50.00000,18081500,4444493,2013-05-08
Bayerngas Norge AS,VEGA,0.66,1.40,0.24,0.00,2.52,0.51,1.22,0.20,0.00,2.11,2012-12-31,10.00000,4467595,4444493,2013-05-08
Bayerngas Norge AS,VOLVE,0.87,0.08,0.02,0.01,1.00,0.10,0.01,0.00,0.00,0.11,2012-12-31,10.00000,3420717,4444493,2013-05-08
BG Norge AS,GAUPE,0.12,0.30,0.00,0.00,0.42,0.06,0.18,0.00,0.00,0.24,2012-12-31,60.00000,18161341,2747354,2013-05-08
BG Norge AS,KNARR,5.36,0.14,0.36,0.00,6.17,5.36,0.14,0.36,0.00,6.17,2012-12-31,45.00000,20460988,2747354,2013-05-08
BP Norge AS,HOD,3.90,0.68,0.15,0.00,4.86,0.34,0.08,0.04,0.00,0.48,2012-12-31,37.50000,43485,2052695,2013-05-08
BP Norge AS,SKARV,3.69,10.34,1.33,0.00,16.57,3.69,10.34,1.33,0.00,16.57,2012-12-31,23.83500,4704482,2052695,2013-05-08
BP Norge AS,TAMBAR,5.23,1.10,0.28,0.00,6.85,0.33,0.00,0.11,0.00,0.54,2012-12-31,55.00000,1028599,2052695,2013-05-08
BP Norge AS,TAMBAR ØST,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,2012-12-31,46.20000,4999528,2052695,2013-05-08
BP Norge AS,ULA,70.32,3.12,3.20,0.00,79.52,12.56,0.00,1.12,0.00,14.69,2012-12-31,80.00000,43800,2052695,2013-05-08
BP Norge AS,VALHALL,52.99,9.89,1.98,0.00,66.64,14.92,2.48,0.79,0.00,18.90,2012-12-31,35.95313,43548,2052695,2013-05-08
