fclName,fclCurrentRespCompanyName,fclKind,fclFunctions,fclNationName,fclFactPageUrl,fclNpdidFacility,fclNpdidCurrentRespCompany,fclDateUpdated,dateSyncNPD
ABEILLE SUPPORT,Stolt Offshore A/S,VESSEL,SUPPORT,France,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=294544,294544,2411309,9999-12-31,2013-05-08
ACERGY FALCON,Acergy M.S. Limited,VESSEL,SUPPORT,NORWAY,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=402507,402507,4394060,9999-12-31,2013-05-08
ACERGY OSPREY,Acergy M.S. Limited,VESSEL,SUPPORT,GREAT BRITAIN,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=377007,377007,4394060,9999-12-31,2013-05-08
ANTIFRITE,Stolt Offshore A/S,VESSEL,SUPPORT,Italy,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=296920,296920,2411309,9999-12-31,2013-05-08
AQUAMARINE,NULL,VESSEL,NULL,Liberia,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=295597,295597,NULL,9999-12-31,2013-05-08
ARTEMIS ARCTIC,Dolphin AS,VESSEL,SUPPORT,NORWAY,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=414880,414880,2398052,9999-12-31,2013-05-08
B.ENTERPRISE 2,NULL,VESSEL,NULL,NORWAY,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=295381,295381,NULL,9999-12-31,2013-05-08
BELFORD DOLPHIN,Dolphin AS,VESSEL,DRILLING,Panama,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=297946,297946,2398052,9999-12-31,2013-05-08
BIDEFORD DOLPHIN,Blandfor Shipping Co. LTD,SEMISUB STEEL,DRILLING,Singapore,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=290170,290170,2359237,9999-12-31,2013-05-08
BOA GIANT,TAUBÅTKOMPANIET A/S,VESSEL,NULL,NORWAY,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=297703,297703,2129742,9999-12-31,2013-05-08
BORGILA DOLPHIN,Dolphin AS,SEMISUB STEEL,SUPPORT,NORWAY,http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Moveable|All&nav3=296974,296974,2398052,9999-12-31,2013-05-08
