fclNpdidFacility,fclSurface,fclCurrentOperatorName,fclName,fclKind,fclBelongsToName,fclBelongsToKind,fclBelongsToS,fclStartupDate,fclWaterDepth,fclFunctions,fclDesignLifetime,fclFactPageUrl,fclFactMapUrl,fclPointGeometryWKT
271245,"Y","Statoil Petroleum AS","OSEBERG A","CONDEEP 4 SHAFTS","OSEBERG","FIELD","43625",1988-12-01,"109.000","DRILLING - PROCESSING - QUARTER","40","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271245","http://www.npd.no/FactMapSearch?npdid_facility_surface=271245","POINT(2.827314 60.491864)"
271273,"Y","Statoil Petroleum AS","STATFJORD A","CONDEEP 3 SHAFTS","STATFJORD","FIELD","43658",1979-11-24,"145.000","DRILLING - PROCESSING - QUARTER - STORAGE","30","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271273","http://www.npd.no/FactMapSearch?npdid_facility_surface=271273","POINT(1.853875 61.255683)"
271301,"Y","Statoil Petroleum AS","STATFJORD B","CONDEEP 4 SHAFTS","STATFJORD","FIELD","43658",1982-11-05,"145.000","DRILLING - PROCESSING - QUARTER - STORAGE","30","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271301","http://www.npd.no/FactMapSearch?npdid_facility_surface=271301","POINT(1.830636 61.206911)"
271329,"Y","Statoil Petroleum AS","STATFJORD C","CONDEEP 4 SHAFTS","STATFJORD","FIELD","43658",1985-06-26,"145.000","DRILLING - PROCESSING - QUARTER - STORAGE","30","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271329","http://www.npd.no/FactMapSearch?npdid_facility_surface=271329","POINT(1.902547 61.296583)"
271357,"Y","ConocoPhillips Skandinavia AS","ALBUSKJELL A","JACKET 12 LEGS","ALBUSKJELL","FIELD","43437",1979-05-01,"71.000",NULL,"20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271357","http://www.npd.no/FactMapSearch?npdid_facility_surface=271357","POINT(2.940008 56.642886)"
271385,"Y","ConocoPhillips Skandinavia AS","EKOFISK A","JACKET 8 LEGS","EKOFISK","FIELD","43506",1974-01-01,"74.200","DRILLING - OIL PRODUCER - PROCESSING - QUARTER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271385","http://www.npd.no/FactMapSearch?npdid_facility_surface=271385","POINT(3.222858 56.521014)"
271413,"Y","ConocoPhillips Skandinavia AS","EKOFISK B","JACKET 12 LEGS","EKOFISK","FIELD","43506",1974-10-01,"74.000","DRILLING - OIL PRODUCER - PROCESSING","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271413","http://www.npd.no/FactMapSearch?npdid_facility_surface=271413","POINT(3.203689 56.565353)"
271441,"Y","ConocoPhillips Skandinavia AS","EKOFISK C","JACKET 12 LEGS","EKOFISK","FIELD","43506",1974-01-01,"76.800","DRILLING - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271441","http://www.npd.no/FactMapSearch?npdid_facility_surface=271441","POINT(3.215517 56.547842)"
271469,"Y","ConocoPhillips Skandinavia AS","EKOFISK K","JACKET 8 LEGS","EKOFISK","FIELD","43506",1987-01-01,"74.000","DRILLING - QUARTER - WATER INJECTION","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271469","http://www.npd.no/FactMapSearch?npdid_facility_surface=271469","POINT(3.206106 56.565803)"
271525,"Y","ConocoPhillips Skandinavia AS","TOR","JACKET 8 LEGS","TOR","FIELD","43520",1978-08-01,"70.000","DRILLING - PROCESSING - QUARTER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271525","http://www.npd.no/FactMapSearch?npdid_facility_surface=271525","POINT(3.326958 56.642072)"
271553,"Y","ConocoPhillips Skandinavia AS","ALBUSKJELL F","JACKET 12 LEGS","ALBUSKJELL","FIELD","43437",1979-05-01,"71.000",NULL,"20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271553","http://www.npd.no/FactMapSearch?npdid_facility_surface=271553","POINT(3.053947 56.620536)"
271581,"Y","ConocoPhillips Skandinavia AS","ELDFISK A","JACKET 12 LEGS","ELDFISK","FIELD","43527",1979-08-01,"71.000","DRILLING - OIL PRODUCER - PROCESSING - QUARTER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271581","http://www.npd.no/FactMapSearch?npdid_facility_surface=271581","POINT(3.265803 56.376881)"
271609,"Y","ConocoPhillips Skandinavia AS","ELDFISK B","JACKET 12 LEGS","ELDFISK","FIELD","43527",1979-08-01,"71.000","DRILLING - OIL PRODUCER - PROCESSING - QUARTER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271609","http://www.npd.no/FactMapSearch?npdid_facility_surface=271609","POINT(3.218394 56.419331)"
424530,"N","Statoil Petroleum AS","STJERNE","MULTI WELL TEMPLATE","OSEBERG SØR","FIELD","43645",2013-03-25,"103.000","GAS PRODUCER - OIL PRODUCER - WATER INJECTION","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=424530","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=424530","POINT(2.739647 60.300119)"
