fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated
ALBUSKJELL,Status,There are no specific plans to recover the remaining resources.  Final disposal is planned for 2007/ 2008,43437,2012-08-23
ALVE,Development,"Alve is a gas, condensate and oil field located about 16 kilometres southwest of Norne in the Norwegian Sea. The water depth in the area is about 370 metres. The development concept is a standard subsea template with four well slots and two production wells.",4444332,2013-05-01
ALVE,Reservoir,"The reservoir is in Jurassic sandstones of the Garn, Not, Ile and Tilje Formations. The reservoir lies at a depth of about 3 600 metres.",4444332,2013-05-01
ALVE,Recovery strategy,The reservoir is produced by pressure depletion.,4444332,2013-05-01
ALVE,Transport,Alve is tied to the Norne vessel by a pipeline. The gas is transported via the Norne pipeline to Åsgard Transport and further to Kårstø for export.,4444332,2012-08-23
ALVE,Status,Two wells are producing oil and gas from the Ile and Tilje Formations.,4444332,2013-05-01
ALVHEIM,Development,"Alvheim is an oil and gas field located in the central part of the North Sea, west of Heimdal and near the border to the British sector. The field includes three discoveries, 24/6-2 (Kamelon), 24/6-4 (Boa) and 25/4-7 (Kneler). 24/6-4 (Boa) lies partly in the British sector. The water depth in the area is 120 – 130 metres. The field is developed with a production vessel, “Alvheim FPSO”, and subsea wells. The oil is stabilised and stored on the production vessel. The Vilje and Volund fields are tied back to Alvheim.",2845712,2013-05-01
ALVHEIM,Reservoir,"The reservoir consists of high porosity, high permeability sandstones in the Heimdal Formation of Paleocene age. The sand was deposited as sub-marine fan deposits and lies at a depth of approximately 2 200 metres.",2845712,2012-08-23
ALVHEIM,Recovery strategy,Alvheim is produced by natural water drive from an active underlying aquifer.,2845712,2013-05-01
ALVHEIM,Transport,The oil is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline system on the British continental shelf.,2845712,2012-08-23
ALVHEIM,Status,"Alvheim is producing beyond expectations and there has been a gradual increase in the resources as a result of development drilling. Several new wells are planned for 2014/2015. The field can be an oil hub for future discoveries in the area. A PDO for Bøyla, a third party tie-in, was approved in 2012.",2845712,2013-05-01
ATLA,Development,Atla is located about 20 kilometres northeast of the Heimdal field. The water depth in the area is about 119 metres. Atla is developed with one production well from a subsea template tied back via the Skirne/Byggve subsea facility to Heimdal for processing.,21106284,2013-05-01
ATLA,Reservoir,The reservoir contains gas/condensate in sandstones in the Brent Group of Middle Jurassic age at a depth of about 2 700 metres.,21106284,2013-05-01
ATLA,Recovery strategy,The recovery strategy is gas depletion.,21106284,2013-05-01
ATLA,Transport,The wellstream is transported to Heimdal for processing and export.,21106284,2013-05-01
ATLA,Status,Production started in October 2012.,21106284,2013-05-01
