prfInformationCarrier,prfYear,prfInvestmentsMillNOK,prfNpdidInformationCarrier,dateSyncNPD
ALBUSKJELL,1974,116,43437,2013-05-08
ALBUSKJELL,1975,319,43437,2013-05-08
ALBUSKJELL,1976,879,43437,2013-05-08
ALBUSKJELL,1977,398,43437,2013-05-08
ALBUSKJELL,1978,235,43437,2013-05-08
ALBUSKJELL,1979,96,43437,2013-05-08
ALBUSKJELL,1980,64,43437,2013-05-08
ALBUSKJELL,1981,40,43437,2013-05-08
ALBUSKJELL,1982,232,43437,2013-05-08
ALBUSKJELL,1983,263,43437,2013-05-08
ALBUSKJELL,1984,0,43437,2013-05-08
ALBUSKJELL,1985,0,43437,2013-05-08
ALBUSKJELL,1986,58,43437,2013-05-08
ALBUSKJELL,1987,5,43437,2013-05-08
ALBUSKJELL,1988,5,43437,2013-05-08
ALBUSKJELL,1989,14,43437,2013-05-08
ALBUSKJELL,1990,8,43437,2013-05-08
ALBUSKJELL,1991,4,43437,2013-05-08
ALBUSKJELL,1992,10,43437,2013-05-08
ALBUSKJELL,1993,0,43437,2013-05-08
ALBUSKJELL,1994,3,43437,2013-05-08
ALBUSKJELL,1995,3,43437,2013-05-08
ALBUSKJELL,1996,0,43437,2013-05-08
ALBUSKJELL,1997,0,43437,2013-05-08
ALBUSKJELL,1998,0,43437,2013-05-08
ALBUSKJELL,1999,0,43437,2013-05-08
ALBUSKJELL,2000,0,43437,2013-05-08
ALBUSKJELL,2001,0,43437,2013-05-08
ALBUSKJELL,2002,0,43437,2013-05-08
ALBUSKJELL,2003,0,43437,2013-05-08
ALBUSKJELL,2004,0,43437,2013-05-08
ALBUSKJELL,2005,0,43437,2013-05-08
ALBUSKJELL,2006,0,43437,2013-05-08
ALBUSKJELL,2007,0,43437,2013-05-08
ALBUSKJELL,2008,0,43437,2013-05-08
ALBUSKJELL,2009,0,43437,2013-05-08
ALBUSKJELL,2010,0,43437,2013-05-08
ALBUSKJELL,2011,0,43437,2013-05-08
ALBUSKJELL,2012,0,43437,2013-05-08
ALBUSKJELL,2013,0,43437,2013-05-08
ALVE,2006,46,4444332,2013-05-08
ALVE,2007,712,4444332,2013-05-08
ALVE,2008,1636,4444332,2013-05-08
ALVE,2009,674,4444332,2013-05-08
ALVE,2010,427,4444332,2013-05-08
ALVE,2011,369,4444332,2013-05-08
ALVE,2012,0,4444332,2013-05-08
ALVE,2013,0,4444332,2013-05-08
ALVE,2014,0,4444332,2013-05-08
ALVE,2015,0,4444332,2013-05-08
ALVHEIM,2004,485,2845712,2013-05-08
ALVHEIM,2005,3253,2845712,2013-05-08
ALVHEIM,2006,3840,2845712,2013-05-08
ALVHEIM,2007,4339,2845712,2013-05-08
ALVHEIM,2008,2684,2845712,2013-05-08
ALVHEIM,2009,433,2845712,2013-05-08
ALVHEIM,2010,1320,2845712,2013-05-08
ALVHEIM,2011,1354,2845712,2013-05-08
ALVHEIM,2012,0,2845712,2013-05-08
ALVHEIM,2013,0,2845712,2013-05-08
ALVHEIM,2014,0,2845712,2013-05-08
ALVHEIM,2015,0,2845712,2013-05-08
ALVHEIM,2016,0,2845712,2013-05-08
ATLA,2011,324,21106284,2013-05-08
ATLA,2012,0,21106284,2013-05-08
ATLA,2013,0,21106284,2013-05-08
ATLA,2014,0,21106284,2013-05-08
ATLA,2015,0,21106284,2013-05-08
ATLA,2016,0,21106284,2013-05-08
BALDER,1990,0,43562,2013-05-08
BALDER,1991,0,43562,2013-05-08
BALDER,1992,0,43562,2013-05-08
BALDER,1993,0,43562,2013-05-08
BALDER,1994,0,43562,2013-05-08
BALDER,1995,1452,43562,2013-05-08
BALDER,1996,1731,43562,2013-05-08
BALDER,1997,1601,43562,2013-05-08
BALDER,1998,2705,43562,2013-05-08
BALDER,1999,1548,43562,2013-05-08
BALDER,2000,1426,43562,2013-05-08
BALDER,2001,3611,43562,2013-05-08
BALDER,2002,1888,43562,2013-05-08
BALDER,2003,2149,43562,2013-05-08
BALDER,2004,1087,43562,2013-05-08
BALDER,2005,725,43562,2013-05-08
BALDER,2006,168,43562,2013-05-08
BALDER,2007,786,43562,2013-05-08
BALDER,2008,35,43562,2013-05-08
BALDER,2009,384,43562,2013-05-08
BALDER,2010,376,43562,2013-05-08
BALDER,2011,1526,43562,2013-05-08
BALDER,2012,0,43562,2013-05-08
BALDER,2013,0,43562,2013-05-08
BALDER,2014,0,43562,2013-05-08
BLANE,2005,51,3437650,2013-05-08
BLANE,2006,300,3437650,2013-05-08
BLANE,2007,129,3437650,2013-05-08
BLANE,2008,61,3437650,2013-05-08
BLANE,2009,3,3437650,2013-05-08
BLANE,2010,3,3437650,2013-05-08
BLANE,2011,2,3437650,2013-05-08
BLANE,2012,0,3437650,2013-05-08
