fldName,fldOwnerName,fldOwnerKind,fldOwnerFrom,fldOwnerTo,fldLicenseeFrom,fldLicenseeTo,cmpLongName,fldCompanyShare,fldSdfiShare,fldNpdidField,cmpNpdidCompany,fldLicenseeDateUpdated,dateSyncNPD
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-11-02,9999-12-31,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-11-02,9999-12-31,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-11-02,9999-12-31,Eni Norge AS,12.38800,NULL,43437,2388594,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-11-02,9999-12-31,Statoil Petroleum AS,7.60400,NULL,43437,17237817,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-11-02,9999-12-31,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-01-01,2009-11-02,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-01-01,2009-11-02,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-01-01,2009-11-02,Eni Norge AS,12.38800,NULL,43437,2388594,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-01-01,2009-11-02,StatoilHydro Petroleum AS,7.60400,NULL,43437,4511658,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2009-01-01,2009-11-02,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,Eni Norge AS,12.38800,NULL,43437,2388594,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,StatoilHydro Petroleum AS,6.65400,NULL,43437,4511658,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-10-01,2009-01-01,StatoilHydro ASA,0.95000,NULL,43437,4511854,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,Eni Norge AS,12.38800,NULL,43437,2388594,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,Norsk Hydro Petroleum AS,6.65400,NULL,43437,4524355,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,Petoro AS,5.00000,NULL,43437,1626839,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2007-01-01,2007-10-01,Statoil ASA (old),0.95000,NULL,43437,1622484,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,Total E&P Norge AS,39.89600,NULL,43437,2410708,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,ConocoPhillips Skandinavia AS,35.11200,NULL,43437,2410696,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,Eni Norge AS,12.38800,NULL,43437,2388594,9999-12-31,2013-05-08
ALBUSKJELL,018,PRODUCTION LICENSE,1975-04-25,9999-12-31,2003-12-15,2007-01-01,Norsk Hydro Produksjon AS,6.65400,NULL,43437,430,9999-12-31,2013-05-08
