fldName,fldOwnerKind,fldOwnerName,fldOwnershipFromDate,fldOwnershipToDate,fldNpdidField,fldNpdidOwner,fldOwnerDateUpdated,dateSyncNPD
ALBUSKJELL,PRODUCTION LICENSE,018,1975-04-25,9999-12-31,43437,20900,9999-12-31,2013-05-08
ALVE,PRODUCTION LICENSE,159 B,2007-03-16,9999-12-31,4444332,2819945,9999-12-31,2013-05-08
ALVHEIM,PRODUCTION LICENSE,203,2004-10-06,9999-12-31,2845712,22436,9999-12-31,2013-05-08
ATLA,PRODUCTION LICENSE,102 C,2011-11-04,9999-12-31,21106284,5467035,9999-12-31,2013-05-08
BALDER,PRODUCTION LICENSE,001,1996-02-02,9999-12-31,43562,20756,9999-12-31,2013-05-08
BLANE,BUSINESS ARRANGEMENT AREA,BLANE UNIT,2005-07-01,9999-12-31,3437650,3437667,9999-12-31,2013-05-08
BRAGE,PRODUCTION LICENSE,055,1990-03-29,1993-12-26,43651,21236,9999-12-31,2013-05-08
BRAGE,BUSINESS ARRANGEMENT AREA,BRAGE UNIT,1993-12-27,9999-12-31,43651,40432,9999-12-31,2013-05-08
BRYNHILD,PRODUCTION LICENSE,148,2011-11-11,9999-12-31,21123063,21996,9999-12-31,2013-05-08
BØYLA,PRODUCTION LICENSE,340,2012-10-26,9999-12-31,22492497,2986630,9999-12-31,2013-05-08
COD,PRODUCTION LICENSE,018,1973-05-04,9999-12-31,43785,20900,9999-12-31,2013-05-08
DRAUGEN,PRODUCTION LICENSE,093,1988-12-19,9999-12-31,43758,21548,9999-12-31,2013-05-08
EDDA,PRODUCTION LICENSE,018,1975-04-25,9999-12-31,43541,20900,9999-12-31,2013-05-08
EDVARD GRIEG,PRODUCTION LICENSE,338,2012-06-11,9999-12-31,21675433,2986578,9999-12-31,2013-05-08
EKOFISK,PRODUCTION LICENSE,018,1972-03-01,9999-12-31,43506,20900,9999-12-31,2013-05-08
ELDFISK,PRODUCTION LICENSE,018,1975-04-25,9999-12-31,43527,20900,9999-12-31,2013-05-08
EMBLA,PRODUCTION LICENSE,018,1990-12-14,9999-12-31,43534,20900,9999-12-31,2013-05-08
ENOCH,BUSINESS ARRANGEMENT AREA,ENOCH UNIT,2005-07-01,9999-12-31,3437659,3437805,9999-12-31,2013-05-08
FRAM,PRODUCTION LICENSE,090,2001-03-23,9999-12-31,1578840,21524,9999-12-31,2013-05-08
FRIGG,PRODUCTION LICENSE,024,1974-06-13,1977-12-11,43555,20964,9999-12-31,2013-05-08
FRIGG,BUSINESS ARRANGEMENT AREA,FRIGG UNIT,1977-12-12,9999-12-31,43555,45634,9999-12-31,2013-05-08
FRØY,BUSINESS ARRANGEMENT AREA,FRØY UNIT,1992-08-19,2002-12-31,43597,41175,9999-12-31,2013-05-08
FRØY,PRODUCTION LICENSE,364,2006-01-06,9999-12-31,43597,3810636,9999-12-31,2013-05-08
GAUPE,PRODUCTION LICENSE,292,2010-06-25,9999-12-31,18161341,2407572,9999-12-31,2013-05-08
GIMLE,BUSINESS ARRANGEMENT AREA,GIMLE UNIT,2006-05-18,9999-12-31,4005142,4007192,9999-12-31,2013-05-08
GJØA,PRODUCTION LICENSE,153,2007-06-14,9999-12-31,4467574,22036,9999-12-31,2013-05-08
GLITNE,PRODUCTION LICENSE,048,2000-09-08,2001-01-09,1272071,21172,9999-12-31,2013-05-08
GLITNE,PRODUCTION LICENSE,048 B,2001-01-10,9999-12-31,1272071,1342723,9999-12-31,2013-05-08
GOLIAT,PRODUCTION LICENSE,229,2009-06-18,9999-12-31,5774394,22644,9999-12-31,2013-05-08
GRANE,BUSINESS ARRANGEMENT AREA,GRANE UNIT,2000-06-14,9999-12-31,1035937,1031365,9999-12-31,2013-05-08
GUDRUN,PRODUCTION LICENSE,025,2010-06-16,9999-12-31,18116481,34512,9999-12-31,2013-05-08
GULLFAKS,PRODUCTION LICENSE,050,1981-10-09,9999-12-31,43686,21188,9999-12-31,2013-05-08
GULLFAKS SØR,PRODUCTION LICENSE,050,1996-03-29,9999-12-31,43699,21188,9999-12-31,2013-05-08
GUNGNE,PRODUCTION LICENSE,046,1995-08-29,9999-12-31,43464,21156,9999-12-31,2013-05-08
GYDA,PRODUCTION LICENSE,019 B,1987-06-02,9999-12-31,43492,20924,9999-12-31,2013-05-08
HEIDRUN,PRODUCTION LICENSE,095,1991-05-14,1991-11-26,43771,21564,9999-12-31,2013-05-08
HEIDRUN,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,1991-11-27,9999-12-31,43771,40490,9999-12-31,2013-05-08
HEIMDAL,BUSINESS ARRANGEMENT AREA,HEIMDAL UNIT,1981-06-10,2003-10-12,43590,41470,9999-12-31,2013-05-08
HEIMDAL,PRODUCTION LICENSE,036 BS,2003-10-13,9999-12-31,43590,2473189,9999-12-31,2013-05-08
HOD,PRODUCTION LICENSE,033,1988-06-26,9999-12-31,43485,21052,9999-12-31,2013-05-08
HULDRA,BUSINESS ARRANGEMENT AREA,HULDRA UNIT,1999-02-02,9999-12-31,97002,41189,9999-12-31,2013-05-08
