prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3
1971,6,0.000,0.000,0.000,0.000,0.000,0.000
1971,7,0.034,0.000,0.000,0.000,0.034,0.000
1971,8,0.051,0.000,0.000,0.000,0.051,0.000
1971,9,0.064,0.000,0.000,0.000,0.064,0.000
1971,10,0.086,0.000,0.000,0.000,0.086,0.000
1971,11,0.058,0.000,0.000,0.000,0.058,0.000
1971,12,0.063,0.000,0.000,0.000,0.063,0.000
1972,1,0.047,0.000,0.000,0.000,0.047,0.000
1972,2,0.145,0.000,0.000,0.000,0.145,0.000
1972,3,0.173,0.000,0.000,0.000,0.173,0.000
1972,4,0.195,0.000,0.000,0.000,0.195,0.000
1972,5,0.199,0.000,0.000,0.000,0.199,0.000
1972,6,0.188,0.000,0.000,0.000,0.188,0.000
1972,7,0.203,0.000,0.000,0.000,0.203,0.000
1972,8,0.205,0.000,0.000,0.000,0.205,0.000
1972,9,0.173,0.000,0.000,0.000,0.173,0.000
1972,10,0.173,0.000,0.000,0.000,0.173,0.000
1972,11,0.101,0.000,0.000,0.000,0.101,0.000
1972,12,0.125,0.000,0.000,0.000,0.125,0.000
1973,1,0.185,0.000,0.000,0.000,0.185,0.000
1973,2,0.119,0.000,0.000,0.000,0.119,0.000
1973,3,0.207,0.000,0.000,0.000,0.207,0.000
1973,4,0.136,0.000,0.000,0.000,0.136,0.000
1973,5,0.190,0.000,0.000,0.000,0.190,0.000
1973,6,0.190,0.000,0.000,0.000,0.190,0.000
1973,7,0.171,0.000,0.000,0.000,0.171,0.000
1973,8,0.180,0.000,0.000,0.000,0.180,0.000
1973,9,0.194,0.000,0.000,0.000,0.194,0.000
1973,10,0.189,0.000,0.000,0.000,0.189,0.000
1973,11,0.092,0.000,0.000,0.000,0.092,0.000
1973,12,0.017,0.000,0.000,0.000,0.017,0.000
1974,1,0.009,0.000,0.000,0.000,0.009,0.000
1974,2,0.113,0.000,0.000,0.000,0.113,0.000
1974,3,0.083,0.000,0.000,0.000,0.083,0.000
1974,4,0.070,0.000,0.000,0.000,0.070,0.000
1974,5,0.124,0.000,0.000,0.000,0.124,0.000
1974,6,0.179,0.000,0.000,0.000,0.179,0.000
1974,7,0.247,0.000,0.000,0.000,0.247,0.000
1974,8,0.226,0.000,0.000,0.000,0.226,0.000
1974,9,0.237,0.000,0.000,0.000,0.237,0.000
1974,10,0.219,0.000,0.000,0.000,0.219,0.000
1974,11,0.280,0.000,0.000,0.000,0.280,0.000
1974,12,0.227,0.000,0.000,0.000,0.227,0.000
1975,1,0.117,0.000,0.000,0.000,0.117,0.000
1975,2,0.342,0.000,0.000,0.000,0.342,0.000
1975,3,0.604,0.000,0.000,0.000,0.604,0.000
1975,4,0.718,0.000,0.000,0.000,0.718,0.000
1975,5,0.824,0.000,0.000,0.000,0.824,0.000
1975,6,1.045,0.000,0.000,0.000,1.045,0.000
1975,7,1.255,0.000,0.000,0.000,1.255,0.000
1975,8,1.074,0.000,0.000,0.000,1.074,0.000
1975,9,1.383,0.000,0.000,0.000,1.383,0.000
1975,10,1.291,0.000,0.000,0.000,1.291,0.000
1975,11,1.097,0.000,0.000,0.000,1.097,0.000
1975,12,1.245,0.000,0.000,0.000,1.245,0.000
1976,1,1.298,0.000,0.000,0.000,1.298,0.000
1976,2,1.285,0.000,0.000,0.000,1.285,0.000
1976,3,1.320,0.000,0.000,0.000,1.320,0.000
1976,4,0.935,0.000,0.000,0.000,0.935,0.000
1976,5,0.830,0.000,0.000,0.000,0.830,0.000
1976,6,1.338,0.000,0.000,0.000,1.338,0.000
1976,7,1.568,0.000,0.000,0.000,1.568,0.000
1976,8,1.600,0.000,0.000,0.000,1.600,0.000
1976,9,1.477,0.000,0.000,0.000,1.477,0.000
1976,10,1.719,0.000,0.000,0.000,1.719,0.000
1976,11,1.143,0.000,0.000,0.000,1.143,0.000
1976,12,1.713,0.000,0.000,0.000,1.713,0.000
1977,1,1.700,0.000,0.000,0.000,1.700,0.000
1977,2,1.494,0.000,0.000,0.000,1.494,0.000
1977,3,1.571,0.000,0.000,0.000,1.571,0.000
