prfYear,prfPrdOilNetMillSm,prfPrdGasNetBillSm,prfPrdCondensateNetMillSm3,prfPrdNGLNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3
1971,0.357,0.000,0.000,0.000,0.357,0.000
1972,1.927,0.000,0.000,0.000,1.927,0.000
1973,1.870,0.000,0.000,0.000,1.870,0.000
1974,2.014,0.000,0.000,0.000,2.014,0.000
1975,10.995,0.000,0.000,0.000,10.995,0.000
1976,16.227,0.000,0.000,0.000,16.227,0.000
1977,16.643,2.655,0.000,0.002,19.300,0.000
1978,20.644,14.201,0.000,0.021,34.866,0.000
1979,22.478,20.670,1.128,0.044,44.319,0.000
1980,28.221,25.088,2.440,0.048,55.798,0.000
1981,27.485,24.951,2.168,0.048,54.652,0.000
1982,28.528,23.960,2.286,0.043,54.817,0.000
1983,35.645,23.613,2.680,0.041,61.979,0.000
1984,41.093,25.963,2.642,0.064,69.762,0.000
1985,44.758,26.186,2.968,0.076,73.987,0.000
1986,48.771,26.090,3.845,0.061,78.767,0.000
1987,56.959,28.151,4.117,0.055,89.281,0.000
1988,64.723,28.330,4.846,0.047,97.945,0.000
1989,85.983,28.738,4.898,0.053,119.672,0.000
1990,94.542,25.479,5.011,0.048,125.081,0.000
1991,108.510,25.027,4.897,0.057,138.492,0.000
1992,123.999,25.834,4.959,0.054,154.846,0.000
1993,131.843,24.804,5.518,0.474,162.639,0.000
1994,146.282,26.842,7.122,2.403,182.649,0.000
1995,156.776,27.814,7.942,3.178,195.709,0.000
1996,175.501,37.407,8.232,3.784,224.925,0.000
1997,175.914,42.950,8.074,5.376,232.313,0.000
1998,168.744,44.190,7.390,5.047,225.371,0.000
1999,168.690,48.479,6.992,5.512,229.673,0.000
2000,181.181,49.790,7.225,5.411,243.606,112.162
2001,180.884,54.038,10.924,5.666,251.512,127.960
2002,173.649,65.593,11.798,7.323,258.364,133.675
2003,165.475,73.714,12.877,10.315,262.382,152.011
2004,162.778,78.595,13.581,8.675,263.628,168.721
2005,148.137,85.089,15.735,7.952,256.912,174.879
2006,136.577,87.943,16.672,7.625,248.817,171.718
2007,128.276,89.702,16.610,3.126,237.714,180.510
2008,122.662,99.335,16.926,3.914,242.836,174.563
2009,115.051,104.827,16.947,4.424,241.249,159.859
2010,104.459,107.702,15.428,4.121,231.709,158.212
2011,97.555,101.697,16.300,4.551,220.102,154.827
2012,89.244,114.918,17.713,4.549,226.424,161.504
2013,13.710,19.272,2.903,0.644,36.530,23.709
