fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,dateSyncNPD
ALBUSKJELL,7.40,15.60,1.00,0.00,24.90,0.00,0.00,0.00,0.00,0.00,2012-12-31,43437,2013-05-08
ALVE,1.90,5.70,1.10,0.00,9.69,0.80,2.70,0.60,0.00,4.64,2012-12-31,4444332,2013-05-08
ALVHEIM,37.20,6.80,0.00,0.00,44.00,17.50,4.70,0.00,0.00,22.20,2012-12-31,2845712,2013-05-08
ATLA,0.30,1.40,0.00,0.00,1.70,0.30,1.30,0.00,0.00,1.60,2012-12-31,21106284,2013-05-08
BALDER,72.10,2.00,0.00,0.00,74.10,16.20,0.60,0.00,0.00,16.80,2012-12-31,43562,2013-05-08
BLANE,0.80,0.00,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,2012-12-31,3437650,2013-05-08
BRAGE,59.30,4.50,1.50,0.00,66.65,4.00,1.20,0.30,0.00,5.77,2012-12-31,43651,2013-05-08
BRYNHILD,3.60,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,3.60,2012-12-31,21123063,2013-05-08
BØYLA,3.40,0.30,0.00,0.00,3.70,3.40,0.30,0.00,0.00,3.70,2012-12-31,22492497,2013-05-08
COD,2.90,7.30,0.50,0.00,11.15,0.00,0.00,0.00,0.00,0.00,2012-12-31,43785,2013-05-08
DRAUGEN,146.70,1.60,2.80,0.00,153.62,14.90,0.10,0.40,0.00,15.76,2012-12-31,43758,2013-05-08
EDDA,4.80,2.00,0.20,0.00,7.18,0.00,0.00,0.00,0.00,0.00,2012-12-31,43541,2013-05-08
EDVARD GRIEG,26.20,1.80,0.60,0.00,29.14,26.20,1.80,0.60,0.00,29.14,2012-12-31,21675433,2013-05-08
EKOFISK,569.20,164.50,15.20,0.00,762.58,129.80,22.80,2.20,0.00,156.78,2012-12-31,43506,2013-05-08
ELDFISK,137.90,44.80,4.10,0.00,190.49,37.30,5.40,0.20,0.00,43.08,2012-12-31,43527,2013-05-08
EMBLA,11.90,7.50,0.70,0.00,20.73,1.50,3.60,0.30,0.00,5.67,2012-12-31,43534,2013-05-08
ENOCH,0.40,0.00,0.00,0.00,0.40,0.10,0.00,0.00,0.00,0.10,2012-12-31,3437659,2013-05-08
FRAM,30.70,8.80,0.60,0.00,40.64,5.90,6.30,0.40,0.00,12.96,2012-12-31,1578840,2013-05-08
FRIGG,0.00,116.20,0.00,0.50,116.70,0.00,0.00,0.00,0.00,0.00,2012-12-31,43555,2013-05-08
