prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,dateSyncNPD
001,1-A,North sea,ACTIVE,1965-09-01,2030-03-01,2145.855,100.779,PRODUCTION EXTENDED,20756,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756,http://www.npd.no/FactMapSearch?NPDID_production_licence=20756,9999-12-31,9999-12-31,2013-05-08
001 B,Awarded additionaly to round 1-A,North sea,ACTIVE,1999-12-15,2013-12-17,214.180,94.505,PRODUCTION EXTENDED,917266,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917266,http://www.npd.no/FactMapSearch?NPDID_production_licence=917266,9999-12-31,9999-12-31,2013-05-08
001 P,Awarded additionaly to round 1-A,North sea,INACTIVE,1994-01-19,1999-12-14,214.180,0.000,NULL,20764,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20764,NULL,9999-12-31,9999-12-31,2013-05-08
002,1-A,North sea,INACTIVE,1965-09-01,1977-09-01,2172.688,0.000,NULL,20772,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20772,NULL,9999-12-31,9999-12-31,2013-05-08
003,1-A,North sea,INACTIVE,1965-09-01,1977-09-01,2218.308,0.000,NULL,20780,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20780,NULL,9999-12-31,9999-12-31,2013-05-08
004,1-A,North sea,INACTIVE,1965-09-01,1971-08-31,970.291,0.000,NULL,20788,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20788,NULL,9999-12-31,9999-12-31,2013-05-08
005,1-A,North sea,INACTIVE,1965-09-01,1971-08-31,1659.956,0.000,NULL,20796,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796,NULL,9999-12-31,9999-12-31,2013-05-08
006,1-A,North sea,ACTIVE,1965-09-01,2028-12-31,2278.556,37.960,PRODUCTION EXTENDED,20804,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804,http://www.npd.no/FactMapSearch?NPDID_production_licence=20804,9999-12-31,9999-12-31,2013-05-08
006 B,Awarded additionaly to round 1-A,North sea,ACTIVE,2000-10-09,2028-12-31,128.282,128.282,PRODUCTION,1333048,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333048,http://www.npd.no/FactMapSearch?NPDID_production_licence=1333048,9999-12-31,9999-12-31,2013-05-08
006 C,Awarded additionaly to round 1-A,North sea,ACTIVE,2000-10-09,2028-12-31,678.000,93.197,PRODUCTION,1333089,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333089,http://www.npd.no/FactMapSearch?NPDID_production_licence=1333089,2013-01-04,2013-01-04,2013-05-08
006 D,TFO2007,North sea,INACTIVE,2008-02-29,2011-08-29,46.622,0.000,NULL,4909688,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4909688,NULL,9999-12-31,2012-06-21,2013-05-08
007,1-A,North sea,INACTIVE,1965-09-01,1990-09-01,2153.548,0.000,NULL,20812,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20812,NULL,9999-12-31,9999-12-31,2013-05-08
008,1-A,North sea,INACTIVE,1965-09-01,2002-12-31,2214.404,0.000,NULL,20820,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20820,NULL,9999-12-31,9999-12-31,2013-05-08
009,1-A,North sea,INACTIVE,1965-09-01,1999-01-01,2233.446,0.000,NULL,20828,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20828,NULL,9999-12-31,9999-12-31,2013-05-08
010,1-A,North sea,INACTIVE,1965-09-01,1979-09-01,2172.621,0.000,NULL,20836,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20836,NULL,9999-12-31,9999-12-31,2013-05-08
011,1-A,North sea,INACTIVE,1965-09-01,1999-12-31,1681.660,0.000,NULL,20844,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20844,NULL,9999-12-31,9999-12-31,2013-05-08
