prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
001,2004-10-01,9999-12-31,ExxonMobil Exploration & Production Norway AS,100.00000,NULL,2004-10-01,9999-12-31,20756,2835212,9999-12-31,2013-05-08
001,1965-09-01,2004-10-01,Esso Exploration and Production Norway A/S,100.00000,NULL,1965-09-01,2004-10-01,20756,353,9999-12-31,2013-05-08
001 B,2009-12-22,9999-12-31,Det norske oljeselskap ASA,35.00000,NULL,2009-12-22,9999-12-31,917266,17342870,9999-12-31,2013-05-08
001 B,2009-12-22,9999-12-31,Statoil Petroleum AS,50.00000,NULL,9999-12-31,9999-12-31,917266,17237817,9999-12-31,2013-05-08
001 B,2009-12-22,9999-12-31,Bayerngas Norge AS,15.00000,NULL,9999-12-31,9999-12-31,917266,4444493,9999-12-31,2013-05-08
001 B,2009-11-02,2009-12-22,Det norske oljeselskap ASA (old),35.00000,NULL,2008-01-01,2009-12-21,917266,4539989,9999-12-31,2013-05-08
001 B,2009-11-02,2009-12-22,Bayerngas Norge AS,15.00000,NULL,9999-12-31,9999-12-31,917266,4444493,9999-12-31,2013-05-08
001 B,2009-11-02,2009-12-22,Statoil Petroleum AS,50.00000,NULL,9999-12-31,9999-12-31,917266,17237817,9999-12-31,2013-05-08
001 B,2009-03-23,2009-11-02,Det norske oljeselskap ASA (old),35.00000,NULL,2008-01-01,2009-12-21,917266,4539989,9999-12-31,2013-05-08
001 B,2009-03-23,2009-11-02,StatoilHydro Petroleum AS,50.00000,NULL,9999-12-31,9999-12-31,917266,4511658,9999-12-31,2013-05-08
001 B,2009-03-23,2009-11-02,Bayerngas Norge AS,15.00000,NULL,9999-12-31,9999-12-31,917266,4444493,9999-12-31,2013-05-08
001 B,2009-01-21,2009-03-23,Det norske oljeselskap ASA (old),35.00000,NULL,2008-01-01,2009-12-21,917266,4539989,9999-12-31,2013-05-08
001 B,2009-01-21,2009-03-23,StatoilHydro Petroleum AS,50.00000,NULL,9999-12-31,9999-12-31,917266,4511658,9999-12-31,2013-05-08
001 B,2009-01-21,2009-03-23,Bayerngas Produksjon Norge AS,15.00000,NULL,9999-12-31,9999-12-31,917266,5461974,9999-12-31,2013-05-08
001 B,2009-01-01,2009-01-21,PA Resources Norway AS,15.00000,NULL,9999-12-31,9999-12-31,917266,3986418,9999-12-31,2013-05-08
001 B,2009-01-01,2009-01-21,Det norske oljeselskap ASA (old),35.00000,NULL,2008-01-01,2009-12-21,917266,4539989,9999-12-31,2013-05-08
001 B,2009-01-01,2009-01-21,StatoilHydro Petroleum AS,50.00000,NULL,9999-12-31,9999-12-31,917266,4511658,9999-12-31,2013-05-08
001 B,2008-01-01,2009-01-01,PA Resources Norway AS,15.00000,NULL,9999-12-31,9999-12-31,917266,3986418,9999-12-31,2013-05-08
