ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,dateSyncNPD
001,ExxonMobil Exploration & Production Norway AS,100.00000,20756,2835212,9999-12-31,2013-05-08
001 B,Det norske oljeselskap ASA,35.00000,917266,17342870,9999-12-31,2013-05-08
001 B,Statoil Petroleum AS,50.00000,917266,17237817,9999-12-31,2013-05-08
001 B,Bayerngas Norge AS,15.00000,917266,4444493,9999-12-31,2013-05-08
006,Total E&P Norge AS,100.00000,20804,2410708,9999-12-31,2013-05-08
006 B,BP Norge AS,35.83333,1333048,2052695,9999-12-31,2013-05-08
006 B,Hess Norge AS,64.16667,1333048,4038735,9999-12-31,2013-05-08
006 C,Lundin Norway AS,75.00000,1333089,2767314,9999-12-31,2013-05-08
006 C,Noreco Norway AS,15.00000,1333089,22223020,9999-12-31,2013-05-08
006 C,Faroe Petroleum Norge AS,10.00000,1333089,4062883,9999-12-31,2013-05-08
018,Petoro AS,5.00000,20900,1626839,9999-12-31,2013-05-08
018,ConocoPhillips Skandinavia AS,35.11200,20900,2410696,9999-12-31,2013-05-08
018,Statoil Petroleum AS,7.60400,20900,17237817,9999-12-31,2013-05-08
018,Eni Norge AS,12.38800,20900,2388594,9999-12-31,2013-05-08
018,Total E&P Norge AS,39.89600,20900,2410708,9999-12-31,2013-05-08
018 B,ConocoPhillips Skandinavia AS,35.11200,20908,2410696,9999-12-31,2013-05-08
018 B,Statoil Petroleum AS,7.60400,20908,17237817,9999-12-31,2013-05-08
018 B,Eni Norge AS,12.38800,20908,2388594,9999-12-31,2013-05-08
018 B,Total E&P Norge AS,39.89600,20908,2410708,9999-12-31,2013-05-08
018 B,Petoro AS,5.00000,20908,1626839,9999-12-31,2013-05-08
018 C,Petoro AS,5.00000,2246113,1626839,9999-12-31,2013-05-08
018 C,Statoil Petroleum AS,6.65400,2246113,17237817,9999-12-31,2013-05-08
018 C,Maersk Oil Norway AS,88.34600,2246113,4719674,9999-12-31,2013-05-08
018 DS,Petoro AS,5.00000,21139552,1626839,9999-12-31,2013-05-08
018 DS,Statoil Petroleum AS,6.65400,21139552,17237817,9999-12-31,2013-05-08
018 DS,Noreco Norway AS,13.33800,21139552,22223020,9999-12-31,2013-05-08
018 DS,Skeie Energy AS,15.00000,21139552,23286115,2013-04-10,2013-05-08
018 DS,Maersk Oil Norway AS,60.00800,21139552,4719674,9999-12-31,2013-05-08
019,BP Norge AS,80.00000,20916,2052695,9999-12-31,2013-05-08
019,DONG E&P Norge AS,20.00000,20916,4070011,9999-12-31,2013-05-08
019 B,Norske AEDC A/S,5.00000,20924,34,9999-12-31,2013-05-08
019 B,Talisman Energy Norge AS,61.00000,20924,2425093,9999-12-31,2013-05-08
019 B,DONG E&P Norge AS,34.00000,20924,4070011,9999-12-31,2013-05-08
019 C,Talisman Energy Norge AS,65.00000,47992,2425093,9999-12-31,2013-05-08
019 C,DONG E&P Norge AS,35.00000,47992,4070011,9999-12-31,2013-05-08
019 D,DONG E&P Norge AS,34.00000,5488531,4070011,9999-12-31,2013-05-08
019 D,Talisman Energy Norge AS,61.00000,5488531,2425093,9999-12-31,2013-05-08
019 D,Norske AEDC A/S,5.00000,5488531,34,9999-12-31,2013-05-08
024,Total E&P Norge AS,47.13000,20964,2410708,9999-12-31,2013-05-08
024,Statoil Petroleum AS,52.87000,20964,17237817,9999-12-31,2013-05-08
025,Statoil Petroleum AS,75.00000,34512,17237817,9999-12-31,2013-05-08
025,GDF SUEZ E&P Norge AS,25.00000,34512,5267845,9999-12-31,2013-05-08
026,Total E&P Norge AS,62.13000,20980,2410708,9999-12-31,2013-05-08
026,Centrica Resources (Norge) AS,37.87000,20980,4238233,9999-12-31,2013-05-08
027,ExxonMobil Exploration & Production Norway AS,100.00000,20988,2835212,9999-12-31,2013-05-08
027 B,ExxonMobil Exploration & Production Norway AS,50.00000,917344,2835212,9999-12-31,2013-05-08
027 B,Dana Petroleum Norway AS,50.00000,917344,4526555,9999-12-31,2013-05-08
027 C,ExxonMobil Exploration & Production Norway AS,100.00000,1333301,2835212,2013-05-03,2013-05-08
