ptlName,cmpLongName,prlNpdidLicence,cmpNpdidCompany,ptlOperDateUpdated,dateSyncNPD
001,ExxonMobil Exploration & Production Norway AS,20756,2835212,9999-12-31,2013-05-08
001 B,Det norske oljeselskap ASA,917266,17342870,9999-12-31,2013-05-08
006,Total E&P Norge AS,20804,2410708,9999-12-31,2013-05-08
006 B,BP Norge AS,1333048,2052695,9999-12-31,2013-05-08
006 C,Lundin Norway AS,1333089,2767314,9999-12-31,2013-05-08
018,ConocoPhillips Skandinavia AS,20900,2410696,9999-12-31,2013-05-08
018 B,ConocoPhillips Skandinavia AS,20908,2410696,9999-12-31,2013-05-08
018 C,Maersk Oil Norway AS,2246113,4719674,9999-12-31,2013-05-08
018 DS,Maersk Oil Norway AS,21139552,4719674,9999-12-31,2013-05-08
019,BP Norge AS,20916,2052695,9999-12-31,2013-05-08
019 B,Talisman Energy Norge AS,20924,2425093,9999-12-31,2013-05-08
019 C,Talisman Energy Norge AS,47992,2425093,9999-12-31,2013-05-08
019 D,Talisman Energy Norge AS,5488531,2425093,9999-12-31,2013-05-08
024,Total E&P Norge AS,20964,2410708,9999-12-31,2013-05-08
025,Statoil Petroleum AS,34512,17237817,9999-12-31,2013-05-08
026,Total E&P Norge AS,20980,2410708,9999-12-31,2013-05-08
027,ExxonMobil Exploration & Production Norway AS,20988,2835212,9999-12-31,2013-05-08
027 B,ExxonMobil Exploration & Production Norway AS,917344,2835212,9999-12-31,2013-05-08
027 C,ExxonMobil Exploration & Production Norway AS,1333301,2835212,2013-05-03,2013-05-08
027 D,Det norske oljeselskap ASA,4943160,17342870,9999-12-31,2013-05-08
028,ExxonMobil Exploration & Production Norway AS,21004,2835212,9999-12-31,2013-05-08
028 B,Det norske oljeselskap ASA,917484,17342870,9999-12-31,2013-05-08
028 C,Statoil Petroleum AS,1333344,17237817,9999-12-31,2013-05-08
028 S,ExxonMobil Exploration & Production Norway AS,18054740,2835212,9999-12-31,2013-05-08
029,ExxonMobil Exploration & Production Norway AS,21020,2835212,9999-12-31,2013-05-08
029 B,Statoil Petroleum AS,1626782,17237817,9999-12-31,2013-05-08
029 C,Total E&P Norge AS,22493034,2410708,9999-12-31,2013-05-08
033,BP Norge AS,21052,2052695,9999-12-31,2013-05-08
033 B,BP Norge AS,1622353,2052695,9999-12-31,2013-05-08
034,Statoil Petroleum AS,21060,17237817,9999-12-31,2013-05-08
035,Det norske oljeselskap ASA,21068,17342870,9999-12-31,2013-05-08
035 B,Centrica Resources (Norge) AS,5105684,4238233,9999-12-31,2013-05-08
035 C,Statoil Petroleum AS,21559372,17237817,2013-03-19,2013-05-08
036,Centrica Resources (Norge) AS,21076,4238233,9999-12-31,2013-05-08
036 BS,Statoil Petroleum AS,2473189,17237817,9999-12-31,2013-05-08
036 C,Marathon Oil Norge AS,2473241,20485291,9999-12-31,2013-05-08
036 D,Marathon Oil Norge AS,5081703,20485291,9999-12-31,2013-05-08
037,Statoil Petroleum AS,21084,17237817,9999-12-31,2013-05-08
037 B,Statoil Petroleum AS,48081,17237817,9999-12-31,2013-05-08
037 C,Wintershall Norge AS,853671,21666830,9999-12-31,2013-05-08
037 D,Wintershall Norge AS,2787322,21666830,9999-12-31,2013-05-08
037 E,Statoil Petroleum AS,3000656,17237817,9999-12-31,2013-05-08
037 F,Statoil Petroleum AS,22813049,17237817,9999-12-31,2013-05-08
038,Talisman Energy Norge AS,21092,2425093,9999-12-31,2013-05-08
038 C,Talisman Energy Norge AS,4005057,2425093,9999-12-31,2013-05-08
038 D,Talisman Energy Norge AS,5500999,2425093,9999-12-31,2013-05-08
040,Total E&P Norge AS,21108,2410708,9999-12-31,2013-05-08
043,Total E&P Norge AS,21132,2410708,9999-12-31,2013-05-08
043 BS,Total E&P Norge AS,3811810,2410708,9999-12-31,2013-05-08
043 CS,Total E&P Norge AS,18116800,2410708,9999-12-31,2013-05-08
043 DS,Total E&P Norge AS,18116829,2410708,9999-12-31,2013-05-08
044,ConocoPhillips Skandinavia AS,21140,2410696,9999-12-31,2013-05-08
046,Statoil Petroleum AS,21156,17237817,9999-12-31,2013-05-08
046 B,Statoil Petroleum AS,4227611,17237817,9999-12-31,2013-05-08
046 BS,Statoil Petroleum AS,4227659,17237817,9999-12-31,2013-05-08
046 C,Statoil Petroleum AS,21350140,17237817,9999-12-31,2013-05-08
046 D,Statoil Petroleum AS,21559399,17237817,2013-02-05,2013-05-08
048 B,Statoil Petroleum AS,1342723,17237817,9999-12-31,2013-05-08
048 D,Statoil Petroleum AS,3489553,17237817,9999-12-31,2013-05-08
048 E,Statoil Petroleum AS,18450020,17237817,9999-12-31,2013-05-08
050,Statoil Petroleum AS,21188,17237817,9999-12-31,2013-05-08
050 B,Statoil Petroleum AS,21196,17237817,9999-12-31,2013-05-08
050 C,Statoil Petroleum AS,102490,17237817,9999-12-31,2013-05-08
050 D,Statoil Petroleum AS,4237912,17237817,9999-12-31,2013-05-08
050 DS,Statoil Petroleum AS,4380141,17237817,9999-12-31,2013-05-08
050 ES,Statoil Petroleum AS,21668200,17237817,9999-12-31,2013-05-08
050 FS,Statoil Petroleum AS,21668235,17237817,9999-12-31,2013-05-08
050 GS,Statoil Petroleum AS,21668262,17237817,9999-12-31,2013-05-08
050 HS,Statoil Petroleum AS,21668287,17237817,9999-12-31,2013-05-08
051,Statoil Petroleum AS,21204,17237817,9999-12-31,2013-05-08
052,Statoil Petroleum AS,21212,17237817,9999-12-31,2013-05-08
052 B,Statoil Petroleum AS,1840712,17237817,9999-12-31,2013-05-08
053,Statoil Petroleum AS,21220,17237817,9999-12-31,2013-05-08
053 B,Statoil Petroleum AS,48207,17237817,9999-12-31,2013-05-08
054,Statoil Petroleum AS,21228,17237817,9999-12-31,2013-05-08
055,Statoil Petroleum AS,21236,17237817,9999-12-31,2013-05-08
055 B,Statoil Petroleum AS,102499,17237817,9999-12-31,2013-05-08
055 C,Statoil Petroleum AS,2424830,17237817,9999-12-31,2013-05-08
055 D,StatoilHydro Petroleum AS,22813096,4511658,9999-12-31,2013-05-08
057,Statoil Petroleum AS,21252,17237817,9999-12-31,2013-05-08
062,Statoil Petroleum AS,21292,17237817,9999-12-31,2013-05-08
064,Statoil Petroleum AS,21308,17237817,9999-12-31,2013-05-08
065,BP Norge AS,21316,2052695,9999-12-31,2013-05-08
072,ExxonMobil Exploration & Production Norway AS,21372,2835212,9999-12-31,2013-05-08
072 B,ExxonMobil Exploration & Production Norway AS,1630345,2835212,9999-12-31,2013-05-08
072 C,Statoil Petroleum AS,21350207,17237817,9999-12-31,2013-05-08
073,Statoil Petroleum AS,21380,17237817,9999-12-31,2013-05-08
073 B,Statoil Petroleum AS,2987414,17237817,9999-12-31,2013-05-08
074,Statoil Petroleum AS,21388,17237817,9999-12-31,2013-05-08
074 B,Statoil Petroleum AS,4918544,17237817,9999-12-31,2013-05-08
077,Statoil Petroleum AS,21412,17237817,9999-12-31,2013-05-08
078,Statoil Petroleum AS,21420,17237817,9999-12-31,2013-05-08
079,Statoil Petroleum AS,34635,17237817,9999-12-31,2013-05-08
085,Statoil Petroleum AS,21476,17237817,9999-12-31,2013-05-08
085 B,Statoil Petroleum AS,21484,17237817,9999-12-31,2013-05-08
085 C,Statoil Petroleum AS,2051285,17237817,9999-12-31,2013-05-08
088,Centrica Resources (Norge) AS,21508,4238233,9999-12-31,2013-05-08
088 BS,Marathon Oil Norge AS,2787418,20485291,9999-12-31,2013-05-08
089,Statoil Petroleum AS,21516,17237817,9999-12-31,2013-05-08
090,Statoil Petroleum AS,21524,17237817,9999-12-31,2013-05-08
090 B,Statoil Petroleum AS,3426781,17237817,9999-12-31,2013-05-08
090 C,Statoil Petroleum AS,3426824,17237817,9999-12-31,2013-05-08
090 E,Statoil Petroleum AS,17642079,17237817,9999-12-31,2013-05-08
090 F,Statoil Petroleum AS,23268186,17237817,9999-12-31,2013-05-08
090 G,Statoil Petroleum AS,23268222,17237817,9999-12-31,2013-05-08
090 HS,Statoil Petroleum AS,23297006,17237817,9999-12-31,2013-05-08
091,Statoil Petroleum AS,21532,17237817,9999-12-31,2013-05-08
091 D,Statoil Petroleum AS,22813131,17237817,9999-12-31,2013-05-08
092,Statoil Petroleum AS,21540,17237817,9999-12-31,2013-05-08
093,A/S Norske Shell,21548,562,9999-12-31,2013-05-08
093 B,A/S Norske Shell,17654585,562,9999-12-31,2013-05-08
093 C,A/S Norske Shell,22813180,562,9999-12-31,2013-05-08
094,Statoil Petroleum AS,21556,17237817,9999-12-31,2013-05-08
094 B,Statoil Petroleum AS,2092082,17237817,9999-12-31,2013-05-08
095,ConocoPhillips Skandinavia AS,21564,2410696,9999-12-31,2013-05-08
097,Statoil Petroleum AS,21580,17237817,9999-12-31,2013-05-08
099,Statoil Petroleum AS,21596,17237817,9999-12-31,2013-05-08
100,Statoil Petroleum AS,21604,17237817,9999-12-31,2013-05-08
102,Total E&P Norge AS,21620,2410708,9999-12-31,2013-05-08
102 C,Total E&P Norge AS,5467035,2410708,9999-12-31,2013-05-08
102 D,Total E&P Norge AS,21568785,2410708,9999-12-31,2013-05-08
102 E,Total E&P Norge AS,21568578,2410708,9999-12-31,2013-05-08
103 B,Det norske oljeselskap ASA,40772,17342870,9999-12-31,2013-05-08
104,Statoil Petroleum AS,21636,17237817,9999-12-31,2013-05-08
107,Statoil Petroleum AS,21660,17237817,9999-12-31,2013-05-08
107 B,Statoil Petroleum AS,5107376,17237817,9999-12-31,2013-05-08
107 C,Statoil Petroleum AS,5115394,17237817,9999-12-31,2013-05-08
107 D,Statoil Petroleum AS,21124705,17237817,9999-12-31,2013-05-08
110,Statoil Petroleum AS,21684,17237817,9999-12-31,2013-05-08
110 B,Statoil Petroleum AS,3001885,17237817,9999-12-31,2013-05-08
110 C,Statoil Petroleum AS,3986340,17237817,9999-12-31,2013-05-08
113,DONG E&P Norge AS,21708,4070011,9999-12-31,2013-05-08
120,Statoil Petroleum AS,21772,17237817,9999-12-31,2013-05-08
120 B,Statoil Petroleum AS,4380181,17237817,9999-12-31,2013-05-08
121,Statoil Petroleum AS,21780,17237817,9999-12-31,2013-05-08
122,Eni Norge AS,21788,2388594,9999-12-31,2013-05-08
122 B,Eni Norge AS,2134110,2388594,9999-12-31,2013-05-08
122 C,Eni Norge AS,2987454,2388594,9999-12-31,2013-05-08
122 D,Eni Norge AS,3811939,2388594,9999-12-31,2013-05-08
124,Statoil Petroleum AS,21804,17237817,9999-12-31,2013-05-08
127,Total E&P Norge AS,21828,2410708,9999-12-31,2013-05-08
128,Statoil Petroleum AS,21836,17237817,9999-12-31,2013-05-08
128 B,Statoil Petroleum AS,41361,17237817,9999-12-31,2013-05-08
132,Statoil Petroleum AS,21868,17237817,9999-12-31,2013-05-08
134,Statoil Petroleum AS,21884,17237817,9999-12-31,2013-05-08
134 B,Statoil Petroleum AS,1025257,17237817,9999-12-31,2013-05-08
134 C,Statoil Petroleum AS,3812006,17237817,9999-12-31,2013-05-08
143,ConocoPhillips Skandinavia AS,21956,2410696,9999-12-31,2013-05-08
143 BS,Talisman Energy Norge AS,2424891,2425093,9999-12-31,2013-05-08
145,ConocoPhillips Skandinavia AS,21972,2410696,9999-12-31,2013-05-08
146,Statoil Petroleum AS,21980,17237817,9999-12-31,2013-05-08
147,DONG E&P Norge AS,21988,4070011,9999-12-31,2013-05-08
148,Lundin Norway AS,21996,2767314,9999-12-31,2013-05-08
150,Marathon Oil Norge AS,22012,20485291,9999-12-31,2013-05-08
150 B,Marathon Oil Norge AS,20108072,20485291,9999-12-31,2013-05-08
152,Statoil Petroleum AS,22028,17237817,9999-12-31,2013-05-08
153,GDF SUEZ E&P Norge AS,22036,5267845,9999-12-31,2013-05-08
153 B,GDF SUEZ E&P Norge AS,4918242,5267845,9999-12-31,2013-05-08
158,A/S Norske Shell,22076,562,9999-12-31,2013-05-08
159,Statoil Petroleum AS,22084,17237817,9999-12-31,2013-05-08
159 B,Statoil Petroleum AS,2819945,17237817,9999-12-31,2013-05-08
159 C,Statoil Petroleum AS,4939362,17237817,9999-12-31,2013-05-08
159 D,Statoil Petroleum AS,4939421,17237817,9999-12-31,2013-05-08
167,Statoil Petroleum AS,22148,17237817,9999-12-31,2013-05-08
167 B,Statoil Petroleum AS,2407874,17237817,9999-12-31,2013-05-08
169,Statoil Petroleum AS,22164,17237817,9999-12-31,2013-05-08
169 B1,Statoil Petroleum AS,1030964,17237817,9999-12-31,2013-05-08
169 B2,Statoil Petroleum AS,1031002,17237817,9999-12-31,2013-05-08
169 C,Det norske oljeselskap ASA,5479914,17342870,9999-12-31,2013-05-08
169 D,Statoil Petroleum AS,17320383,17237817,9999-12-31,2013-05-08
169 E,Statoil Petroleum AS,21124742,17237817,9999-12-31,2013-05-08
171 B,Statoil Petroleum AS,1333384,17237817,9999-12-31,2013-05-08
176,A/S Norske Shell,22220,562,9999-12-31,2013-05-08
185,Statoil Petroleum AS,22292,17237817,9999-12-31,2013-05-08
187,Statoil Petroleum AS,22308,17237817,9999-12-31,2013-05-08
190,Statoil Petroleum AS,22332,17237817,9999-12-31,2013-05-08
190 B,Statoil Petroleum AS,22813207,17237817,9999-12-31,2013-05-08
193,Statoil Petroleum AS,22356,17237817,9999-12-31,2013-05-08
