prlName,ptlMessageDocumentNo,ptlMessage,ptlMessageRegisteredDate,ptlMessageKindDesc,ptlMessageDateUpdated,prlNpdidLicence,dateSyncNPD
001,1113,Enterprise Oil Norwegian A/S og Enterprise Oil Norge Ltd. har overdratt sin 50% andel i tillatelsen til Esso Exploration and Production Norway AS med virkning fra 15.desember 1999.,2000-05-23,Endring i tillatelse,2013-01-28,20756,2013-05-08
001,2586,Esso Exploration and Production Norway A/S har endret navn til ExxonMobil Exploration and Production Norway AS,2005-04-27,Andre meldinger,9999-12-31,20756,2013-05-08
001,769,Utvinningstillatelse 001 overført til nytt Petroleumsregister med endringer iht. ILGI-basen.,1997-07-23,Ny tillatelse,9999-12-31,20756,2013-05-08
001 B,1154,Utvinningstillatelsen innført i Petroleumsregisteret.,2000-11-27,Ny tillatelse,9999-12-31,917266,2013-05-08
001 B,1622,Enterprise Oil Norwegian AS har endret navn til Enterprise Oil Norge AS.,2002-01-17,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,2041,Enterprise Oil Norge AS har overdratt sin 50% andel i tillatelsen til Statoil ASA.,2003-07-11,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,2617,Esso Exploration and Production Norway A/S har endret navn til ExxonMobil Exploration and Production Norway AS,2005-04-28,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,2648,ExxonMobil Exploration and Production Norway AS har overdratt sin 50% andel i tillatelsen til Det Norske Oljeselskap AS.,2005-06-09,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,2791,Det Norske Oljeselskap AS har overdratt en 15 % andel i tillatelsen til PA Resources Norway AS.,2006-05-09,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,3039,Det Norske Oljeselskap AS har endret navn til Det Norske Oljeselskap ASA.,2007-07-03,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,3096,Statoil ASA har endret navn til StatoilHydro ASA,2007-10-06,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,3596,Det Norske Oljeselskap ASA har endret navn til Noil Energy ASA med virkning fra 16.11.2007,2008-01-13,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,3869,"Olje- og energidepartemet har i brev av 01.07.2008 gitt samtykke etter petroleumsloven § 10-12 til gjennomføring av fusjonsplanen. Finansdepartement har i brev av 24.06.2008 gitt sitt samtykke. NOIL Energy ASA er innfusjonert i Det norske oljeselskap ASA fra 21.05.2008. Fusjonen gjennomføres på følgende måte: NOIL Energy ASA overfører vederlagsfritt alle sine eiendeler, rettigheter og forpliktelser til Det norske oljeselskap ASA i tillatelsen.",2008-07-07,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,4231,StatoilHydro ASA har overdratt sin 50 % deltakerandel i tillatelsen til StatoilHydro Petroleum AS med virkning fra 1.1.2009.,2009-02-26,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,4373,PA Resources Norway AS har endret navn til Bayerngas Produksjon Norge AS med virkning fra 21.1.2009,2009-04-15,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,4803,StatoilHydro Petroleum AS har endret navn til Statoil Petroleum AS med virkning fra 2.11.2009.,2009-11-12,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,4925,Aker Exploration ASA har fusjonert med Det norske oljeselskap ASA med virkning fra 22.12.2009.,2009-12-23,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,4979,De fusjonerte selskapene Aker Exploration ASA og Det norske oljeselskap ASA har fra 22.12.2009 navnet Det norske oljeselskap ASA.,2009-12-23,Andre meldinger,9999-12-31,917266,2013-05-08
001 B,5201,"Det norske oljeselskap ASA pantsetter sin 35 % deltakerandel i utvinningstillatelsen til fordel for DnB Nor Bank ASA. Første prioritet panteobligasjon stor NOK 4,500,000,000, skriver norske kroner firemilliarderfemhundre millioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Olje- og energidepartementet har i brev av 4.1.2010 gitt samtykke i medhold av petroleumsloven § 6-2 første ledd. Pantsettelsen utgjør et såkalt krysspant.",2010-03-05,Heftelse,9999-12-31,917266,2013-05-08
001 B,5487,Bayern Gas Produksjon Norge AS overdrar sin 15 % deltakerandel til Bayerngas Norge AS med virkning fra 23.3.2009.,2010-09-03,Endring i tillatelse,9999-12-31,917266,2013-05-08
001 B,5996,Pantobligasjon pålydende NOK 4 500 000 000 skriver norske kroner firemilliarderfemhundremillioner  00/100 datert 5.3.2010 (dok. nr. 5201) hvor Det norske oljeselskap ASA pantsetter sin 35 % deltakerandel i utvinningstillatelsen til DnB NOR Bank ASA er slettet. Samtykke fra panthaver foreligger i brev datert 21.11.2011.,2011-11-22,Sletting av heftelse,9999-12-31,917266,2013-05-08
001 B,6450,"Det norske oljeselskap ASA pantsetter sin 35 % deltakerandel i utvinningstillatelsen til fordel for DNB  Bank ASA. Første prioritet panteobligasjon stor USD 750,000,000, skriver US dollar syvhundreogfemtimillioner 00/100. Pantsetter har ikke rett til å overdra eller foreta ytterligere pantsettelser av pantsatte objekt uten skriftlig samtykke fra panthaver. Olje- og energidepartementet har i brev av 20.4.2012 gitt samtykke i medhold av petroleumsloven § 6-2 første ledd. Pantsettelsen utgjør et såkalt krysspant.",2012-05-10,Heftelse,9999-12-31,917266,2013-05-08
006,0240,"Overføring av avtale vedrørende Valhall QP, DP og PCP fra Stav. Skipsreg. Avtale mellom eierne om gjensidig rett til å kreve avståelse av andeler i plattformen ved mislighold og om forkjøpsrett.Prioritet regnes fra registrering i Skipsreg.",1988-04-12,Heftelse,2013-05-08,20804,2013-05-08
006,0252,"Avtale mellom eierne av det unitiserte Torfeltet om gjensidig rett til å kreve avståelse av andeler i tilfelle mislighold (art.12) , og om begrensninger i retten til overdragelse av andeler (art.25).",1988-05-02,Heftelse,9999-12-31,20804,2013-05-08
006,1612,"Amerada Hess Norge AS har overdratt sin andel på 28,33% til TotalFinaElf Exploration Norge AS.",2001-10-17,Endring i tillatelse,9999-12-31,20804,2013-05-08
006,1623,Enterprise Oil Norwegian AS har endret navn til Enterprise Oil Norge AS.,2002-01-17,Andre meldinger,9999-12-31,20804,2013-05-08
006,1695,Elf Petroleum Norge AS har endret navn til TotalFinaElf Exploration Norge AS.,2002-01-21,Andre meldinger,9999-12-31,20804,2013-05-08
006,1748,BP Petroleum Development of Norway AS og  Amoco Norway AS og Amoco Norway Oil Company har fusjonert til BP Amoco Norge AS. BP Amoco Norge AS har senere endret navn til BP Norge AS,2002-03-21,Endring i tillatelse,2013-01-28,20804,2013-05-08
006,1958,TotalFinaElf Exploration Norge AS har endret navn til Total E&P Norge AS.,2003-06-13,Andre meldinger,9999-12-31,20804,2013-05-08
006,2384,BP Norge AS har overdratt sin 28.333 % andel i tillatelsen til Total E & P Norge AS.,2004-04-21,Endring i tillatelse,9999-12-31,20804,2013-05-08
006,2385,Enterprise Oil Norge AS har overdratt sin 28.333 % andel i tillatelsen til Total E&P Norge AS.,2004-04-22,Endring i tillatelse,9999-12-31,20804,2013-05-08
006,770,Utvinningstillatelse 006 overført til nytt Petroleumsregister med endringer iht. ILGI-basen.,1997-07-23,Ny tillatelse,9999-12-31,20804,2013-05-08
006 B,1146,Utvinningstillatelsen innført i Petroleumsegisteret.,2000-11-02,Ny tillatelse,9999-12-31,1333048,2013-05-08
006 B,1624,Enterprise Oil Norwegian AS har endret navn til Enterprise Oil Norge AS.,2002-01-17,Andre meldinger,9999-12-31,1333048,2013-05-08
006 B,1696,Elf Petroleum Norge AS har endret navn til TotalFinaElf Exploration Norge AS.,2002-01-21,Andre meldinger,9999-12-31,1333048,2013-05-08
006 B,1773,BP Amoco Norge AS har endret navn til BP Norge AS.,2002-03-21,Andre meldinger,9999-12-31,1333048,2013-05-08
006 B,1969,TotalFinaElf Exploration Norge AS har endret navn til Total E&P Norge AS.,2003-06-17,Andre meldinger,9999-12-31,1333048,2013-05-08
006 B,2851,Amarada Hess Norge AS har endret navn til Hess Norge AS.,2006-07-14,Andre meldinger,9999-12-31,1333048,2013-05-08
006 B,5495,"Total E&P Norge AS overdrar en 7,5 % deltakerandel i utvinningstillatelsen til BP Norge AS med virkning fra 1.1. 2010.",2010-09-07,Endring i tillatelse,9999-12-31,1333048,2013-05-08
