prlName,prlTransferDateValidFrom,prlTransferDirection,prlTransferKind,cmpLongName,prlTransferredInterest,prlTransferSdfi,prlNpdidLicence,cmpNpdidCompany,prlTransferDateUpdated,dateSyncNPD
001,2004-10-01,FROM,CHANGE OF COMPANY NAME,Esso Exploration and Production Norway A/S,100.00000,NULL,20756,353,9999-12-31,2013-05-08
001,2004-10-01,TO,CHANGE OF COMPANY NAME,ExxonMobil Exploration & Production Norway AS,100.00000,NULL,20756,2835212,9999-12-31,2013-05-08
001 B,2009-12-22,FROM,MERGER/TAKEOVER,Det norske oljeselskap ASA (old),35.00000,NULL,917266,4539989,9999-12-31,2013-05-08
001 B,2009-12-22,TO,MERGER/TAKEOVER,Det norske oljeselskap ASA,35.00000,NULL,917266,17342870,9999-12-31,2013-05-08
001 B,2009-11-02,FROM,CHANGE OF COMPANY NAME,StatoilHydro Petroleum AS,50.00000,NULL,917266,4511658,9999-12-31,2013-05-08
001 B,2009-11-02,TO,CHANGE OF COMPANY NAME,Statoil Petroleum AS,50.00000,NULL,917266,17237817,9999-12-31,2013-05-08
001 B,2009-03-23,FROM,TRANSFER,Bayerngas Produksjon Norge AS,15.00000,NULL,917266,5461974,9999-12-31,2013-05-08
001 B,2009-03-23,TO,TRANSFER,Bayerngas Norge AS,15.00000,NULL,917266,4444493,9999-12-31,2013-05-08
001 B,2009-01-21,FROM,CHANGE OF COMPANY NAME,PA Resources Norway AS,15.00000,NULL,917266,3986418,9999-12-31,2013-05-08
001 B,2009-01-21,TO,CHANGE OF COMPANY NAME,Bayerngas Produksjon Norge AS,15.00000,NULL,917266,5461974,9999-12-31,2013-05-08
001 B,2009-01-01,FROM,TRANSFER,StatoilHydro ASA,50.00000,NULL,917266,4511854,9999-12-31,2013-05-08
001 B,2009-01-01,TO,TRANSFER,StatoilHydro Petroleum AS,50.00000,NULL,917266,4511658,9999-12-31,2013-05-08
001 B,2008-01-01,FROM,CHANGE OF COMPANY NAME,Noil Energy ASA,35.00000,NULL,917266,4539976,9999-12-31,2013-05-08
001 B,2008-01-01,TO,CHANGE OF COMPANY NAME,Det norske oljeselskap ASA (old),35.00000,NULL,917266,4539989,9999-12-31,2013-05-08
001 B,2007-11-16,FROM,CHANGE OF COMPANY NAME,Det Norske Oljeselskap ASA (old),35.00000,NULL,917266,4468177,9999-12-31,2013-05-08
001 B,2007-11-16,TO,CHANGE OF COMPANY NAME,Noil Energy ASA,35.00000,NULL,917266,4539976,9999-12-31,2013-05-08
001 B,2007-10-01,FROM,CHANGE OF COMPANY NAME,Statoil ASA (old),50.00000,NULL,917266,1622484,9999-12-31,2013-05-08
