pipNpdidPipe,pipNpdidFromFacility,pipNpdidToFacility,pipNpdidOperator,pipName,pipNameFromFacility,pipNameToFacility,pipNameCurrentOperator,pipCurrentPhase,pipMedium,pipMainGrouping,pipDimension,pipLineGeometryWKT
322634,277573,280569,17237817,"Gas HULDRA, HEIMDAL HRP","HULDRA","HEIMDAL HRP","Statoil Petroleum AS","IN SERVICE","Gas","Feeder",22.0,"MULTILINESTRING((2.64766459103228 60.8515355728183,2.28641801834561 60.4585609928012,2.26473601886254 60.4102939926488,2.26506201884858 60.401061992648,2.41847801506509 59.9765129934591,2.41928501504554 59.9712369934624,2.36872201600127 59.7324829930969,2.36534401607296 59.7274359930749,2.34343601654999 59.7037809929334,2.28722335744935 59.6579924407592),(2.27954503466099 59.6517267381666,2.2234310194132 59.6058539921253,2.21965601950818 59.6001009920979,2.21714001956658 59.5886649920772,2.21999501948766 59.582820992095,2.22399230624467 59.5792037351311))"
321070,277797,286169,17237817,"Condensate SLEIPNER R, KÅRSTØ","SLEIPNER R","KÅRSTØ","Statoil Petroleum AS","IN SERVICE","Condensate","Transportation",20.0,"LINESTRING(1.91790662332946 58.3726965657804,1.92195302764323 58.3746109894005,1.93015602735403 58.3768529894724,2.15344402041783 58.4034559912753,3.47440600287362 58.5924249975482,3.50407500273461 58.5961189976256,3.52769400262793 58.5966609976855,3.5387000025797 58.5987359977132,3.61565300226566 58.6311359979002,3.6964940019746 58.6871249980843,3.71310000191961 58.7044919981207,3.72490000188117 58.7147639981462,3.73541900184718 58.7205249981684,3.76392800175738 58.7315389982272,3.78725600168699 58.7431279982743,3.80030600164851 58.7471969983001,3.87302800144751 58.7641859984376,3.94224700127732 58.7920249985604,4.06427500101928 58.832207998757,4.08109700098768 58.8396329987823,4.1088530009376 58.8557329988233,4.12240800091388 58.8618139988429,4.23194200074016 58.8967059989906,4.88878900018357 59.139335999587,4.90272200017774 59.1471359995954,4.91258600017376 59.1563669996013,4.94250800016241 59.2069529996191,4.94779400016044 59.2129919996222,4.98642500014654 59.2453559996436,5.01562800013668 59.2650809996591,5.08735600011496 59.3239889996949,5.09596400011254 59.3283079996989,5.10736900010939 59.3322919997042,5.11845000010639 59.3347609997092,5.13020300010327 59.3361939997145,5.15178600009773 59.3361359997238,5.17609400009178 59.3330669997341,5.18638734629468 59.3332456283669)"
369498,277797,369424,1944954,"Gas SLEIPNER R, EASINGTON","SLEIPNER R","EASINGTON","GASSCO AS","IN SERVICE","Gas","Transportation",44.0,"LINESTRING(1.90135342699091 58.3649940878553,1.88003902915679 58.3566979890243,1.85176303021568 58.3416539887633,1.84256303055931 58.3295079886747,1.82701103115796 58.3176079885269,1.81879503147242 58.3061579884462,1.80089903218062 58.2926719882732,1.78854503266839 58.2756079881497,1.76658303356907 58.2593999879328,1.75127203419738 58.2381249877759,1.73748603478285 58.2274869876365,1.6141750403833 58.102285986319,1.6117710404939 58.0957599862905,1.61183804047473 58.0851369862868,1.60165304093174 58.0480539861617,1.40563005120199 57.6369679837164,1.31955005650664 57.5160259825687,1.29590105796179 57.4440499822237,1.19119906504067 57.2240399806822,1.17006606621971 57.0463239802923,1.16962006563453 56.803450980169,1.16054806629847 56.7894969800307,1.11355206991698 56.7478719793168,1.1092510702535 56.7428909792499,0.938820084455785 56.4435129764052,0.937693084545117 56.4378139763835,0.938976084401523 56.4316989764017,0.941970084098354 56.4268099764489,0.957752082541813 56.4088759767008,0.960008082310601 56.402988976735,0.959739082315424 56.3967149767274,0.704446106090418 55.5760589717732,0.59160011448463 54.4473809690461,0.539981120497427 54.3298169679216,0.397998139439453 54.163388964728,0.298413153653609 53.9604389623195,0.275542157045844 53.9075209617479,0.268078158199891 53.8949189615616,0.190580170368656 53.730351959577,0.180991171979664 53.7164939593284,0.172741173334277 53.6991829591121,0.169262173928921 53.6945149590214,0.16423717481045 53.6902419588909,0.129835181038148 53.6715039579926,0.123976182108395 53.6671209578378,0.116031183552533 53.6592309576265)"
327394,286841,286141,1944954,"Gas EUROPIPE-SCP, EMDEN","EUROPIPE-SCP","EMDEN","GASSCO AS","IN SERVICE","Gas","Transportation",40.0,"LINESTRING(4.228099650552 55.7037472659116,5.75180300000217 54.7760059998882,6.60220799999698 54.2312499999818,6.61749999999704 54.2204419999824,6.63761699999712 54.1998419999833,6.65670299999719 54.1820329999841,6.67095299999724 54.1718859999847,6.68340599999729 54.1656059999851,6.71236099999742 54.1564059999862,6.72527799999747 54.1504669999867,6.91509699999819 54.0249499999921,6.93972499999827 54.0096639999926,7.02397499999856 53.9718079999943,7.05874399999866 53.9553389999948,7.07604999999872 53.9484469999951,7.20129399999905 53.8918809999967,7.23010599999912 53.878021999997,7.2675939999992 53.8567749999974,7.28841099999925 53.8475779999976,7.33014399999933 53.8333639999979,7.37774199999941 53.8117719999982,7.38729199999943 53.8065829999983,7.39349699999944 53.8011189999983,7.46114999999954 53.6914999999987,7.45898999999953 53.6922999999987,7.40246999999945 53.6724999999984,7.32641999999931 53.6796999999979)"
327938,272561,271245,NULL,"Condensate FRIGG TCP2, OSEBERG A","FRIGG TCP2","OSEBERG A",NULL,"DECOMMISSIONED","Condensate","Transportation",16.0,"LINESTRING(2.08028403759126 59.884049623694,2.08785302347731 59.8862109912585,2.09409402328735 59.8894029913055,2.09915602313593 59.8941329913442,2.10126402307567 59.8993969913615,2.10085602310883 59.9263279913679,2.10243102306419 59.930732991381,2.10603902295764 59.9348309914086,2.76703900932913 60.4692109953458,2.77785300918451 60.4752279953943,2.80961700876899 60.485696995533,2.82074534267662 60.4887964339042)"
322464,271777,271945,1944954,"Gas HEIMDAL, DRAUPNER S","HEIMDAL","DRAUPNER S","GASSCO AS","IN SERVICE","Gas","Transportation",36.0,"MULTILINESTRING((2.2345135844201 59.5707469945465,2.24152801891803 59.5639329922348,2.24588901880202 59.5563419922618,2.24732201876217 59.5509719922698,2.246492018777 59.5414579922614,2.23214401911801 59.5023029921531,2.23140001913153 59.4938219921455,2.23262070083685 59.4816813624758),(2.23351667899915 59.4727626650516,2.24730301862109 59.3347249922061,2.26027501818644 59.1643079922449,2.47053101313014 58.2141419933506,2.4733110130716 58.1999279933643,2.47292467883199 58.193238863954))"
406833,406672,287597,5267845,"Oil GJØA, TOR II Y","GJØA","TOR II Y","GDF SUEZ E&P Norge AS","IN SERVICE","Oil","Transportation",16.0,"LINESTRING(3.90570028479399 61.3309898349618,3.90579600152389 61.3309749986453,3.92945400145996 61.3253139986819,3.9498200014067 61.3176729987126,3.95847600138449 61.3126909987254,3.96607800136516 61.3066639987364,3.97147300135148 61.3002739987441,3.97472600134316 61.2938539987485,4.06005217703767 60.8534249845968)"
310326,286533,286281,1944954,"Gas ZEEPIPE-SCP, ZEEBRUGGE","ZEEPIPE-SCP","ZEEBRUGGE","GASSCO AS","IN SERVICE","Gas","Transportation",40.0,"MULTILINESTRING((3.29932639564176 54.7850339300425,3.28226100318065 54.6291559967237,3.13674400379371 53.6983109961644,3.09173900395709 53.2633969959763,3.09173100395257 53.2475689959759,3.09587200391922 53.2239779959921,3.12816831333715 53.0990721298137),(3.13043369552582 53.0902788780214,3.2052390031657 52.7975419964065,3.2075080031499 52.7826169964146,3.20668100314772 52.7566469964114,3.1742250032608 52.520107996289,3.1746810032528 52.4994219962906,3.18514400317407 52.4152779963296,3.1848360031714 52.3989169963284,3.15653100326247 52.1695109962211,3.15269200327966 52.1555279962064,3.1480920033018 52.1439169961888,3.12704400340923 52.106252996107,3.11900800344896 52.0847469960754,3.11620300346127 52.0715809960644,3.0824030035872 51.8311689959301,3.02182800389715 51.6311359956795,3.01890600391148 51.6179829956672,3.01802800391385 51.6082999956636,3.01981100389573 51.5885189956715,3.02535800385449 51.5710919956954,3.03454700379086 51.5539609957346,3.04799400370212 51.5374219957914,3.05863100363403 51.5269779958359,3.22581400270257 51.3892329964851,3.23400600266252 51.3816109965147,3.23722200264598 51.3749139965262,3.23728900264434 51.3696639965266,3.22979700267403 51.3505079965))"
414837,278329,286729,17237817,"Gas TROLL A, KOLLSNES","TROLL A","KOLLSNES","Statoil Petroleum AS","IN SERVICE","Gas","Transportation",36.0,"LINESTRING(3.73558010700217 60.6460466105094,3.77618500186899 60.6478649983766,3.80484700177679 60.6451989984286,3.8458800016515 60.6368219985004,3.87896100155647 60.6338499985566,3.9122360014656 60.6275899986111,3.95062200136689 60.6253509986722,3.98764100127707 60.6185719987287,4.0118970012212 60.6165849987648,4.10971000101702 60.6052779989017,4.64414400034554 60.5015719994469,4.66081500033331 60.4989399994594,4.67298400032463 60.4980159994683,4.68940600031326 60.4980239994803,4.70931600029997 60.4996219994945,4.72261100029139 60.5020979995038,4.73347200028457 60.5053249995114,4.76108700026787 60.5158839995302,4.79896700024633 60.528193999555,4.83859457287074 60.5453805856676)"
365878,286729,286253,17237817,"Condensate KOLLSNES, STURE","KOLLSNES","STURE","Statoil Petroleum AS","IN SERVICE","Condensate","Transportation",8.0,"LINESTRING(4.85076050333488 60.6166497152206,4.84575163687055 60.5527943307467)"
