prlName,prlActive,prlCurrentArea,prlDateGranted,prlDateValidTo,prlAreaPolyDateValidFrom,prlAreaPolyDateValidTo,prlAreaPolyFromZvalue,prlAreaPolyToZvalue,prlAreaPolyVertLimEn,prlAreaPolyVertLimNo,prlStratigraphical,prlAreaPolyStratigraphical,prlNpdidLicence,prlLastOperatorNameShort,prlLastOperatorNameLong,prlLicensingActivityName,prlLastOperatorNpdidCompany,prlFactUrl,prlAreaGeometryWKT
"001","ACTIVE","ACTIVE",1965-09-01,2030-03-01,1994-01-19,9999-12-31,0,100,NULL,NULL,"NO","NO",20756,"EXXON MO","ExxonMobil Exploration & Production Norway AS","1-A",2835212,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756","MULTIPOLYGON(((2.333333 59.133333,2.366667 59.133333,2.366667 59.15,2.383333 59.15,2.383333 59.166667,2.483333 59.166667,2.483333 59.2,2.5 59.2,2.5 59.216667,2.533333 59.216667,2.533333 59.25,2.333333 59.25,2.333333 59.133333)))"
"001","ACTIVE","INACTIVE",1965-09-01,2030-03-01,1971-09-01,1974-09-01,0,100,NULL,NULL,"NO","NO",20756,"EXXON MO","ExxonMobil Exploration & Production Norway AS","1-A",2835212,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756","POLYGON((2.333333 58.75,2 58.75,2 59,2.333333 59,2.333333 59.25,2.666667 59.25,2.666667 59,2.666667 58.75,2.333333 58.75))"
"001","ACTIVE","INACTIVE",1965-09-01,2030-03-01,1977-09-01,1994-01-19,0,100,NULL,NULL,"NO","NO",20756,"EXXON MO","ExxonMobil Exploration & Production Norway AS","1-A",2835212,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756","MULTIPOLYGON(((2 58.75,2.133333 58.75,2.133333 58.85,2.166667 58.85,2.166667 58.866667,2.216667 58.866667,2.216667 58.883333,2.25 58.883333,2.25 58.9,2.283333 58.9,2.283333 58.95,2.266667 58.95,2.266667 58.966667,2.25 58.966667,2.25 59,2.116667 59,2.116667 58.85,2 58.85,2 58.75)),((2.333333 59.133333,2.366667 59.133333,2.366667 59.15,2.383333 59.15,2.383333 59.166667,2.483333 59.166667,2.483333 59.2,2.5 59.2,2.5 59.216667,2.533333 59.216667,2.533333 59.25,2.333333 59.25,2.333333 59.133333)))"
"001","ACTIVE","INACTIVE",1965-09-01,2030-03-01,1965-09-01,1971-09-01,0,100,NULL,NULL,"NO","NO",20756,"EXXON MO","ExxonMobil Exploration & Production Norway AS","1-A",2835212,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756","MULTIPOLYGON(((2 58.25,2.333333 58.25,2.333333 58.5,2 58.5,2 58.25)),((2.666667 59,2.666667 58.75,2.333333 58.75,2 58.75,2 59,2.333333 59,2.333333 59.25,2.666667 59.25,2.666667 59)))"
"001","ACTIVE","INACTIVE",1965-09-01,2030-03-01,1974-09-01,1977-09-01,0,100,NULL,NULL,"NO","NO",20756,"EXXON MO","ExxonMobil Exploration & Production Norway AS","1-A",2835212,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20756","POLYGON((2.333333 58.833333,2.133333 58.833333,2.133333 58.75,2 58.75,2 58.85,2.116667 58.85,2.116667 59,2.333333 59,2.333333 59.25,2.533333 59.25,2.533333 59.116667,2.666667 59.116667,2.666667 59,2.5 59,2.5 58.9,2.666667 58.9,2.666667 58.75,2.333333 58.75,2.333333 58.833333))"
"001 B","ACTIVE","ACTIVE",1999-12-15,2013-12-17,2000-01-01,9999-12-31,0,100,NULL,NULL,"NO","NO",917266,"DET NORSKE","Det norske oljeselskap ASA","Awarded additionaly to round 1-A",17342870,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917266","MULTIPOLYGON(((2 58.816667,2.083333 58.816667,2.083333 58.833333,2.116667 58.833333,2.116667 58.85,2 58.85,2 58.816667)),((2.116667 58.866667,2.15 58.866667,2.15 58.883333,2.166667 58.883333,2.166667 58.9,2.233333 58.9,2.233333 58.916667,2.266667 58.916667,2.266667 58.933333,2.25 58.933333,2.25 58.95,2.183333 58.95,2.183333 59,2.116667 59,2.116667 58.866667)))"
"001 B","ACTIVE","INACTIVE",1999-12-15,2013-12-17,1999-12-15,2000-01-01,0,100,NULL,NULL,"NO","NO",917266,"DET NORSKE","Det norske oljeselskap ASA","Awarded additionaly to round 1-A",17342870,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917266","MULTIPOLYGON(((2 58.75,2.133333 58.75,2.133333 58.85,2.166667 58.85,2.166667 58.866667,2.216667 58.866667,2.216667 58.883333,2.25 58.883333,2.25 58.9,2.283333 58.9,2.283333 58.95,2.266667 58.95,2.266667 58.966667,2.25 58.966667,2.25 59,2.116667 59,2.116667 58.85,2 58.85,2 58.75)))"
"001 P","INACTIVE","INACTIVE",1994-01-19,1999-12-14,1994-01-19,1999-12-14,0,100,NULL,NULL,"NO","NO",20764,"ESSO","Esso Exploration and Production Norway A/S","Awarded additionaly to round 1-A",353,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20764","MULTIPOLYGON(((2 58.75,2.133333 58.75,2.133333 58.85,2.166667 58.85,2.166667 58.866667,2.216667 58.866667,2.216667 58.883333,2.25 58.883333,2.25 58.9,2.283333 58.9,2.283333 58.95,2.266667 58.95,2.266667 58.966667,2.25 58.966667,2.25 59,2.116667 59,2.116667 58.85,2 58.85,2 58.75)))"
"002","INACTIVE","INACTIVE",1965-09-01,1977-09-01,1965-09-01,1971-09-01,0,100,NULL,NULL,"NO","NO",20772,"ESSO","Esso Exploration and Production Norway A/S","1-A",353,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20772","MULTIPOLYGON(((2.666667 58.25,3 58.25,3 58.5,2.666667 58.5,2.666667 58.25)),((4 58.5,4.333333 58.5,4.333333 58.25,4 58.25,3.666667 58.25,3.333333 58.25,3.333333 58.5,3.666667 58.5,4 58.5)))"
"002","INACTIVE","INACTIVE",1965-09-01,1977-09-01,1971-09-01,1977-09-01,0,100,NULL,NULL,"NO","NO",20772,"ESSO","Esso Exploration and Production Norway A/S","1-A",353,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20772","POLYGON((3.666667 58.333333,3.333333 58.333333,3.333333 58.5,3.666667 58.5,4 58.5,4.333333 58.5,4.333333 58.333333,4 58.333333,3.666667 58.333333))"
"003","INACTIVE","INACTIVE",1965-09-01,1977-09-01,1971-09-01,1977-09-01,0,100,NULL,NULL,"NO","NO",20780,"ESSO","Esso Exploration and Production Norway A/S","1-A",353,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20780","POLYGON((3.666667 57.75,3.333333 57.75,3.333333 57.866667,3.666667 57.866667,3.666667 58,4 58,4 57.75,3.666667 57.75))"
"003","INACTIVE","INACTIVE",1965-09-01,1977-09-01,1965-09-01,1971-09-01,0,100,NULL,NULL,"NO","NO",20780,"ESSO","Esso Exploration and Production Norway A/S","1-A",353,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20780","MULTIPOLYGON(((4.333333 57.25,4 57.25,4 57.5,4.333333 57.5,4.666667 57.5,4.666667 57.25,4.333333 57.25)),((3.666667 58,4 58,4 57.75,3.666667 57.75,3.333333 57.75,3.333333 58,3.666667 58)))"
"004","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1971-09-01,1974-09-01,0,100,NULL,NULL,"NO","NO",20788,"AMOCO","Amoco Norway Oil Company","1-A",78,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20788","POLYGON((2.333333 57.75,2.333333 57.616667,2.3 57.616667,2.3 57.6,2.120264 57.6,2.044244 57.75,2 57.836711,2 57.883333,2.083333 57.883333,2.083333 57.9,2.166667 57.9,2.166667 57.966667,2.083333 57.966667,2.083333 58,2.333333 58,2.333333 57.75))"
"004","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1965-09-01,1971-08-31,0,100,NULL,NULL,"NO","NO",20788,"AMOCO","Amoco Norway Oil Company","1-A",78,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20788","POLYGON((2.333333 57.75,2.333333 57.5,2.170583 57.5,2.044244 57.75,2 57.836711,1.965 57.905,1.879014 58,2 58,2.333333 58,2.333333 57.75))"
"004","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1974-09-01,1977-09-01,0,100,NULL,NULL,"NO","NO",20788,"AMOCO","Amoco Norway Oil Company","1-A",78,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20788","POLYGON((2.333333 57.75,2.333333 57.616667,2.3 57.616667,2.3 57.6,2.120264 57.6,2.044244 57.75,2 57.836711,2 57.883333,2.083333 57.883333,2.083333 57.9,2.166667 57.9,2.166667 57.783333,2.333333 57.783333,2.333333 57.75))"
"005","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1974-09-01,1978-09-01,0,100,NULL,NULL,"NO","NO",20796,"UNION OIL","Union Norge A/S","1-A",881,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796","POLYGON((3 57.583333,3 57.566667,2.833333 57.566667,2.833333 57.666667,2.916667 57.666667,2.916667 57.733333,2.866667 57.733333,2.866667 57.75,2.866667 57.783333,2.8 57.783333,2.8 57.866667,2.666667 57.866667,2.666667 58,3 58,3 57.95,2.916667 57.95,2.916667 57.983333,2.766667 57.983333,2.766667 57.95,2.8 57.95,2.8 57.933333,2.883333 57.933333,2.883333 57.916667,2.95 57.916667,2.95 57.816667,3 57.816667,3 57.75,3.333333 57.75,3.333333 57.616667,3.05 57.616667,3.05 57.583333,3 57.583333))"
"005","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1971-09-01,1974-09-01,0,100,NULL,NULL,"NO","NO",20796,"UNION OIL","Union Norge A/S","1-A",881,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796","POLYGON((3 57.583333,3 57.5,2.666667 57.5,2.666667 57.666667,2.75 57.666667,2.75 57.6,2.833333 57.6,2.833333 57.666667,2.916667 57.666667,2.916667 57.733333,2.866667 57.733333,2.866667 57.75,2.866667 57.783333,2.8 57.783333,2.8 57.866667,2.666667 57.866667,2.666667 58,3 58,3 57.75,3.333333 57.75,3.333333 57.5,3.216667 57.5,3.216667 57.583333,3.166667 57.583333,3.166667 57.616667,3.033333 57.616667,3.033333 57.583333,3 57.583333))"
"005","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1978-09-01,1982-09-01,0,100,NULL,NULL,"NO","NO",20796,"UNION OIL","Union Norge A/S","1-A",881,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796","MULTIPOLYGON(((2.816667 57.8,2.883333 57.8,2.883333 57.783333,2.95 57.783333,2.95 57.916667,2.883333 57.916667,2.883333 57.933333,2.8 57.933333,2.8 57.95,2.766667 57.95,2.766667 57.983333,2.7 57.983333,2.7 57.9,2.816667 57.9,2.816667 57.8)))"
"005","INACTIVE","INACTIVE",1965-09-01,1971-08-31,1965-09-01,1971-08-31,0,100,NULL,NULL,"NO","NO",20796,"UNION OIL","Union Norge A/S","1-A",881,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20796","POLYGON((3 57.5,2.666667 57.5,2.666667 57.75,2.666667 58,3 58,3 57.75,3.333333 57.75,3.333333 57.5,3 57.5))"
"006","ACTIVE","ACTIVE",1965-09-01,2028-12-31,2000-10-09,9999-12-31,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((3.333333 56.608333,3.416667 56.608333,3.416667 56.675,3.333333 56.675,3.333333 56.608333)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1971-09-01,1974-09-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.133333 56.5,4.133333 56.533333,4.1 56.533333,4.1 56.55,4.05 56.55,4.05 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4.166667 56.7,4.166667 56.683333,4.216667 56.683333,4.216667 56.666667,4.266667 56.666667,4.266667 56.65,4.3 56.65,4.3 56.633333,4.333333 56.633333,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.75,3.333333 57,3.45 57,3.45 56.916667,3.383333 56.916667,3.383333 56.833333,3.35 56.833333,3.35 56.8,3.383333 56.8,3.383333 56.783333,3.416667 56.783333,3.416667 56.75,3.583333 56.75,3.583333 56.866667,3.55 56.866667,3.55 56.916667,3.583333 56.916667,3.583333 57,3.666667 57,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1996-01-01,1999-01-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4 56.7,4 56.6)),((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1965-09-01,1971-09-01,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.333333 56.5,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.75,3.333333 57,3.666667 57,3.666667 56.75,3.666667 56.5)))"
"006","ACTIVE","INACTIVE",1965-09-01,2028-12-31,1974-09-01,1995-12-31,0,100,NULL,NULL,"NO","NO",20804,"TOTAL E&P NORGE","Total E&P Norge AS","1-A",2410708,"http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20804","MULTIPOLYGON(((4 56.5,4.133333 56.5,4.133333 56.533333,4.1 56.533333,4.1 56.55,4.05 56.55,4.05 56.6,4.133333 56.6,4.133333 56.666667,4.05 56.666667,4.05 56.7,4.166667 56.7,4.166667 56.683333,4.216667 56.683333,4.216667 56.666667,4.266667 56.666667,4.266667 56.65,4.3 56.65,4.3 56.633333,4.333333 56.633333,4.333333 56.75,4 56.75,4 56.5)),((3.666667 56.5,3.666667 56.416667,3.5 56.416667,3.5 56.4,3.516667 56.4,3.516667 56.383333,3.566667 56.383333,3.566667 56.366667,3.583333 56.366667,3.583333 56.25,3.333333 56.25,3.333333 56.5,3.333333 56.683333,3.433333 56.683333,3.433333 56.65,3.45 56.65,3.45 56.633333,3.5 56.633333,3.5 56.616667,3.516667 56.616667,3.516667 56.583333,3.583333 56.583333,3.583333 56.633333,3.616667 56.633333,3.616667 56.7,3.583333 56.7,3.583333 56.716667,3.533333 56.716667,3.533333 56.733333,3.466667 56.733333,3.466667 56.75,3.666667 56.75,3.666667 56.5)))"
