seaSurveyName,seaNpdidSurvey,seaFactMapUrl,seaFactPageUrl,seaStatus,seaGeographicalArea,seaMarketAvailable,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaSourceType,seaSourceNumber,seaSourceSize,seaSourcePressure,seaSensorType,seaSensorNumbers,seaSensorLength,seaPlanFromDate,seaDateStarting,seaPlanToDate,seaDateFinalized,seaPlanCdpKm,seaCdpTotalKm,seaPlanBoatKm,seaBoatTotalKm,sea3DKm2,seaPolygonKind,seaPolyGeometryWKT
"MNR09",7001,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7001","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7001","Ferdig","Norskehavet",Ja,"Ordinær seismisk undersøkelse","2D","Fugro Multi Client Services AS","Seismisk kilde",1,UNKNOWN,"5869 Cu. Inc","Kabler",1,10000,2009-04-06,9999-12-31,2010-01-31,2009-12-05,13000,20229,13000,20229,NULL,"Område inkludert snuområde","POLYGON((-0.856694 64.165925,0.856694 64.165925,0.955842 64.165075,0.870517 67.1514,2.537239 67.181192,2.509178 67.911708,4.557906 67.924478,4.560436 68.158656,8.001728 68.166139,8 67,9.986108 67,10.524522 67.000086,12.142828 67.001344,10.284922 64.8359,10 64.5685,9.298622 64.223406,8.461669 63.9117,7.776939 63.5,7.165 63.1183,6.265 62.815,5.27 62.336728,5.061669 62.1867,4.551919 61.646161,4.548547 61.587661,1.781939 61.584328,1.287289 61.578642,0.4292 62.691481,-0.851653 63.834325,-0.856694 64.165925))"
"LN0901",7003,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7003","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7003","Ferdig","Barentshavet - Sør",Nei,"Ordinær seismisk undersøkelse","3D","Fugro Multi Client Services AS","Seismisk kilde",2,3400,"3400 cu.in.","Kabler",8,6000 m,2009-04-20,2009-04-20,2009-05-31,2009-05-15,7580,11314,550,787,NULL,"Område unntatt snuområde","POLYGON((20.334444 71.733056,21.002222 71.761944,21.000833 71.691944,20.854167 71.685833,20.705556 71.644167,20.695278 71.641389,20.451944 71.628889,20.451389 71.593056,20.358333 71.589167,20.358889 71.569722,20.0975 71.556667,20.101389 71.633056,20.334444 71.643611,20.334444 71.733056,20.334444 71.733056))"
"LN0901",7003,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7003","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7003","Ferdig","Barentshavet - Sør",Nei,"Ordinær seismisk undersøkelse","3D","Fugro Multi Client Services AS","Seismisk kilde",2,3400,"3400 cu.in.","Kabler",8,6000 m,2009-04-20,2009-04-20,2009-05-31,2009-05-15,7580,11314,550,787,NULL,"Område inkludert snuområde","POLYGON((21.436111 71.823889,21.428611 71.556389,19.676389 71.488611,19.677222 71.759167,21.436111 71.823889,21.436111 71.823889))"
"LN0902",7004,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7004","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7004","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse",NULL,"Lundin Norway AS","Seismisk kilde",2,3090 cu.in,"2000 psi","Kabler",6,5100,2009-04-01,2009-04-01,2009-07-01,2009-06-20,66415,66432,5535,5536,NULL,"Område unntatt snuområde","POLYGON((2.003611 58.895833,2.326944 59.055278,2.468889 59.047222,2.506944 59.0275,2.864167 59.025833,2.867778 58.8425,2.955556 58.797778,2.444444 58.549444,2.173889 58.600833,1.989722 58.698333,2.003611 58.895833,2.003611 58.895833))"
"LN0902",7004,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7004","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7004","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse",NULL,"Lundin Norway AS","Seismisk kilde",2,3090 cu.in,"2000 psi","Kabler",6,5100,2009-04-01,2009-04-01,2009-07-01,2009-06-20,66415,66432,5535,5536,NULL,"Område inkludert snuområde","POLYGON((2.003611 58.895833,2.326944 59.055278,2.468889 59.047222,2.506944 59.0275,2.864167 59.025833,2.867778 58.8425,2.955556 58.797778,2.444444 58.549444,2.173889 58.600833,1.989722 58.698333,2.003611 58.895833,2.003611 58.895833))"
"NX0901",7005,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7005","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7005","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","Nexen Exploration Norge AS","Seismisk kilde",2,4740 cu/inches,UNKNOWN,"Kabler",10,6000,2009-06-09,2009-06-09,2009-07-30,2009-07-02,47240,49119,2651,2456,NULL,"Område inkludert snuområde","POLYGON((1.853331 61.044781,1.798294 60.801242,2.583333 60.79785,2.583311 60.833314,2.599978 60.833225,2.599997 60.966775,2.666372 60.966628,2.666653 61.043389,1.853331 61.044781))"
"NX0901",7005,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7005","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7005","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","Nexen Exploration Norge AS","Seismisk kilde",2,4740 cu/inches,UNKNOWN,"Kabler",10,6000,2009-06-09,2009-06-09,2009-07-30,2009-07-02,47240,49119,2651,2456,NULL,"Område unntatt snuområde","POLYGON((1.853331 61.044781,1.798294 60.800131,2.583333 60.797847,2.583311 60.833314,2.599978 60.833225,2.599997 60.966775,2.666372 60.966628,2.666653 61.043389,1.853331 61.044781))"
"NX0902",7006,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7006","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7006","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","Nexen Exploration Norge AS","Seismisk kilde",2,UNKNOWN,"4740 cu/inches","Kabler",10,6000,2009-05-31,2009-05-30,2009-06-09,2009-07-14,7200,7858,441,392,NULL,"Område inkludert snuområde","POLYGON((1.907267 60.588053,2.100008 60.500108,2.333328 60.499061,2.332753 60.587275,1.907267 60.588053))"
"NX0902",7006,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7006","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7006","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","Nexen Exploration Norge AS","Seismisk kilde",2,UNKNOWN,"4740 cu/inches","Kabler",10,6000,2009-05-31,2009-05-30,2009-06-09,2009-07-14,7200,7858,441,392,NULL,"Område unntatt snuområde","POLYGON((1.907267 60.588053,2.100008 60.500108,2.333328 60.499061,2.332753 60.587275,1.907267 60.588053))"
"MC3D-SBS2009",7008,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7008","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7008","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","PGS Geophysical AS","Seismisk kilde",6,6000,"3090","Kabler",6,6000,2009-04-15,9999-12-31,2009-06-15,2009-07-16,7000,48271,1000,4023,NULL,"Område inkludert snuområde","POLYGON((2.8293 59.1613,3.45 59.1614,3.4572 58.989,3.8872 58.9835,3.8807 58.8551,2.8167 58.8588,2.8293 59.1613))"
