seaSurveyName,seaFactMapUrl,seaFactPageUrl,seaStatus,seaMarketAvailable,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaSourceType,seaSourceNumber,seaSourceSize,seaSourcePressure,seaSensorType,seaSensorNumbers,seaSensorLength,seaPlanFromDate,seaDateStarting,seaPlanToDate,seaDateFinalized,seaPlanCdpKm,seaCdpTotalKm,seaPlanBoatKm,seaBoatTotalKm,seaMultilineGeometryWKT
"DN0904","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7062","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7062","Ferdig",Nei,"Havbunnseismisk undersøkelse","2D","Det norske oljeselskap ASA (old)","Seismisk kilde",1,150 cu. in.,UNKNOWN,"Kabler",1,2400,2009-07-01,2009-07-04,2009-08-15,2009-07-18,600,970,600,970,"MULTILINESTRING((2.568542 60.777281,2.567344 60.866233),(2.513711 60.760772,2.511444 60.909808),(2.458939 60.744242,2.455647 60.938481),(2.404222 60.727689,2.400286 60.938564),(2.349561 60.711114,2.344925 60.938639),(2.294956 60.694517,2.289836 60.926478),(2.240408 60.677897,2.234897 60.909794),(2.185917 60.661256,2.180014 60.893092),(2.131281 60.652008,2.125192 60.876364),(2.076422 60.651642,2.070425 60.859614),(2.021564 60.651253,2.015714 60.842842),(2.154919 60.652158,2.586825 60.783319),(2.119667 60.651933,2.586689 60.793819),(2.084411 60.651697,2.586556 60.804322),(2.049158 60.65145,2.586419 60.814822),(2.013906 60.651194,2.586283 60.825322),(1.999872 60.657472,2.586147 60.835822),(1.999872 60.668069,2.586011 60.846322),(1.999869 60.678669,2.581189 60.855417),(1.999869 60.689269,2.571442 60.863033),(1.999867 60.699869,2.561689 60.870647),(1.999867 60.710467,2.551931 60.878261),(1.999864 60.721067,2.542169 60.885875),(1.999864 60.731667,2.532403 60.893486),(1.999861 60.742267,2.522631 60.9011),(1.999858 60.752864,2.512856 60.908711),(1.999858 60.763464,2.483678 60.910492),(1.999856 60.774064,2.482214 60.920603),(1.999856 60.784664,2.480753 60.930714),(1.999853 60.795261,2.471333 60.938436),(1.99985 60.805861,2.436464 60.938503),(1.99985 60.816461,2.401597 60.938561),(1.999847 60.827058,2.366728 60.938611),(1.999844 60.837658,2.331861 60.938653))"
"DN0903","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7068","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7068","Ferdig",Nei,"Ordinær seismisk undersøkelse","2D","Det norske oljeselskap ASA (old)","Seismisk kilde",1,150 cu.in,UNKNOWN,"Kabler",1,1200,2009-05-20,2009-06-05,2009-06-28,2009-06-14,150,354,150,354,"MULTILINESTRING((1.948283 58.1831,2.032442 58.183767),(2.032319 58.188256,1.94815 58.187592),(2.032197 58.192747,1.948019 58.192081),(1.947886 58.196572,2.032075 58.197236),(1.947753 58.201061,2.031953 58.201728),(1.947686 58.203306,2.031892 58.203972),(2.031856 58.205319,1.947647 58.204653),(1.947606 58.206,2.031817 58.206667),(1.947542 58.208244,2.031756 58.208911),(1.947408 58.212733,2.031633 58.2134),(2.031511 58.217892,1.947275 58.217225),(2.031389 58.222381,1.947142 58.221714),(1.947008 58.226206,2.031267 58.226872),(1.831208 58.252817,2.020294 58.254406),(1.831061 58.257308,2.020169 58.258897),(1.830914 58.261797,2.020044 58.263386),(2.019922 58.267878,1.830764 58.266286),(2.019797 58.272367,1.830617 58.270775),(2.019736 58.274611,1.830544 58.273022),(1.8305 58.274369,2.019697 58.275958),(2.019661 58.277306,1.830456 58.275714),(1.830381 58.277961,2.0196 58.27955),(1.830233 58.28245,2.019475 58.284042),(1.830083 58.286939,2.01935 58.288531),(1.829936 58.291428,2.019228 58.293019),(2.019103 58.297511,1.829789 58.295919),(1.879681 58.278881,1.771369 58.210658),(1.831464 58.296833,1.832942 58.251936),(1.841458 58.252014,1.839992 58.296911),(1.849975 58.252089,1.848519 58.296986),(1.857047 58.297064,1.858492 58.252167),(1.865575 58.297139,1.867008 58.252242),(1.871267 58.252281,1.869839 58.297178),(1.872397 58.2972,1.873822 58.252303),(1.874956 58.297222,1.876378 58.252325),(1.880636 58.252361,1.879219 58.297258),(1.889153 58.252436,1.887747 58.297333),(1.897669 58.252511,1.896275 58.297408),(1.906186 58.252583,1.904803 58.297481),(1.913331 58.297553,1.914703 58.252656),(1.921858 58.297625,1.923219 58.252728),(1.930386 58.297697,1.931739 58.2528),(1.938914 58.297769,1.940256 58.252869),(1.947442 58.297839,1.951778 58.151019),(1.955969 58.297908,1.960272 58.151089),(1.964497 58.297978,1.968764 58.151158),(1.977258 58.151225,1.973025 58.298047),(1.98575 58.151294,1.981553 58.298117),(1.988086 58.18275,1.986808 58.22765),(1.990636 58.182769,1.987353 58.298161),(1.991914 58.227689,1.994072 58.151358),(1.997436 58.182822,1.994175 58.298217),(2.002703 58.298283,2.005936 58.182889),(2.011231 58.298347,2.014436 58.182956),(2.021706 58.227922,2.022939 58.183019),(2.030217 58.227986,2.031439 58.183086))"
"TGS0902","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7073","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7073","Ferdig",Ja,"Ordinær seismisk undersøkelse","2D","TGS Nopec Geophysical Company  ASA","Seismisk kilde",1,4100 cu.inch,"2000 psi","Kabler",1,8000 m,2009-05-23,2009-05-25,2009-11-01,2009-09-23,9000,3301,9000,3301,"MULTILINESTRING((0.372394 59.894908,1.566656 59.696508),(0.647253 59.944792,1.526594 59.798183,1.605542 59.786233,1.667925 59.774831,2.790139 59.574794),(0.813264 60.012117,1.197864 59.948644,1.270233 59.934047,1.348733 59.923369,2.738119 59.679714),(0.952558 60.083739,1.316442 60.023269,1.419978 60.011231,1.426053 60.009903,1.530025 59.987206,1.9497 59.915731,2.023144 59.902308,2.095261 59.8897,2.4177 59.832725,2.50335 59.815386,2.589178 59.802025,2.859814 59.753),(1.091867 60.155317,1.916519 60.016261,1.985086 60.001822,2.067758 59.989583,2.897078 59.841728),(1.211444 60.230122,1.927756 60.108903,1.986364 60.095992,2.050064 60.087725,2.448644 60.017736,2.5228 60.006739,2.593219 59.991978,2.943936 59.928719),(1.310294 60.308364,1.444164 60.286017,1.493497 60.276719,1.556772 60.267089,1.683453 60.245736,1.740178 60.238633,1.799661 60.229286,1.868581 60.214064,2.16125 60.163467,2.212031 60.1543,2.264219 60.145475,2.885283 60.034778),(1.1821 60.424228,1.623847 60.3506,1.697406 60.341186,1.860997 60.313031,1.94515 60.298644,2.038672 60.279808,2.948553 60.118881),(1.059344 60.538933,1.087697 60.532728,1.161239 60.522275,2.680975 60.2624,2.751869 60.253372,2.823639 60.236892,2.882986 60.226478),(0.931436 60.6542,1.092303 60.628125,1.156594 60.616908,1.225911 60.606289,1.345258 60.586644,1.432572 60.570322,1.520972 60.557483,1.631561 60.538986,1.677414 60.5304,1.716914 60.524631,2.875614 60.322897),(0.805058 60.768953,0.891419 60.755125,0.984486 60.736667,1.101375 60.721225,1.627947 60.634431,1.654069 60.630058,1.685511 60.624789,1.774817 60.609822,1.820122 60.601356,1.865897 60.594372,2.549964 60.476278,2.636797 60.463528,2.724294 60.446089,3.066661 60.384178),(0.675958 60.883853,0.758075 60.870844,0.846497 60.854578,0.940492 60.841725,1.342136 60.776542,1.408617 60.766881,1.488553 60.752414,2.871417 60.514747),(0.546208 60.998586,0.878575 60.946103,0.972308 60.934983,1.056503 60.917597,1.390811 60.863258,1.471033 60.853156,1.556258 60.835989,1.665111 60.817911,1.739386 60.809856,1.805983 60.794353,2.941783 60.597708),(1.407119 60.955306,1.623561 60.919656,1.697456 60.911817,1.767944 60.895636,2.673553 60.740586,2.746608 60.725186,2.826344 60.713672,2.902933 60.700097,2.954731 60.689533,3.013531 60.6804,3.578289 60.578003,3.679142 60.556408,3.763328 60.543792,3.907631 60.516917),(1.791306 60.986647,1.872278 60.973119,1.938706 60.964436,1.996433 60.952256,3.605658 60.66965,3.728153 60.646278,3.841333 60.626089,4.739781 60.454278),(1.766864 61.085611,3.490183 60.785783,3.556044 60.772458,3.64135 60.756281,3.755769 60.737903,3.936233 60.699656,4.156711 60.663114,4.675389 60.563244),(0.506561 61.381875,1.463286 61.230325,1.537367 61.220164,1.606953 61.206853,1.649975 61.199617),(2.434222 61.068022,3.353836 60.906244,3.469261 60.882228,3.495861 60.877031,3.559636 60.867422,3.598906 60.861789,4.620714 60.670233),(0.517761 61.474425,0.7919 61.431944,0.877997 61.419533,0.960881 61.405428,1.453139 61.326714,1.525608 61.315358,1.602467 61.301831,1.674783 61.290558,1.758858 61.276725),(2.578106 61.138564,3.029111 61.059833,3.129633 61.047186,3.240067 61.022358,3.537792 60.968758,3.630119 60.954731,3.725536 60.934528,4.553878 60.779467),(0.528164 61.567097,0.765744 61.530417,0.85285 61.516108,0.989067 61.495478,1.445269 61.422717,1.541533 61.403806,1.643947 61.390442,1.898019 61.348644,1.988558 61.337178,2.068411 61.321178,2.118489 61.3119,3.133136 61.137011,3.228022 61.117708,3.322489 61.103311,4.486286 60.888717),(0.081264 61.728761,1.072497 61.57685,1.173106 61.558356,1.296672 61.541275,1.827894 61.455161,1.919733 61.438639,2.009661 61.425106,2.337236 61.370183,2.456889 61.354986,2.567872 61.330925,3.390025 61.186956,3.460367 61.174183,3.540919 61.162692,3.61265 61.146881,4.422903 60.997053),(0.307742 61.789089,2.058978 61.511942,2.073114 61.50905,2.197153 61.487122,2.275431 61.475775,2.391206 61.456256,2.477614 61.442511,2.555489 61.428342,4.363081 61.104608),(0.3558 61.876003,1.487822 61.700078,1.561378 61.688872,1.606489 61.680978),(0.479511 61.951494,4.360297 61.297694),(2.021356 61.803231,4.365025 61.393086),(2.143614 61.878117,4.373347 61.487819),(0.935506 62.165331,4.377031 61.583425),(0.992064 62.250958,4.385506 61.678144),(1.114072 62.326711,3.695239 61.899914,3.875511 61.865592,4.072892 61.832239,4.393703 61.772928),(1.250361 62.400325,4.393344 61.869283),(1.643558 62.433506,4.401864 61.964017),(1.852489 62.496056,3.636283 62.197192),(1.975547 62.57135,3.686725 62.284236,4.485375 62.177636),(2.033686 62.657033,3.820525 62.356686,4.355097 62.264486),(2.170881 62.730553,4.082989 62.407486),(2.383786 62.791481,4.220992 62.476653),(2.511908 62.865825,4.376175 62.547419),(2.337239 62.988297,4.495175 62.622208),(2.705183 63.024594,4.587072 62.701081),(2.262036 59.641756,2.279967 59.657325,2.318108 59.676317,2.929792 60.047194),(3.752619 60.528964,4.464814 60.930653),(2.083839 59.673336,2.799719 60.109456,2.853447 60.146139,2.915639 60.178647,2.940369 60.193356),(3.520767 60.533467,4.406461 61.034461),(1.904914 59.704428,2.916731 60.319192),(4.352914 61.141117,3.305292 60.547289),(1.663661 59.696417,1.711636 59.726489,1.764422 59.765553,1.834361 59.8031,2.741578 60.355278,2.798653 60.390744,2.864489 60.428211,2.967914 60.489239,3.034928 60.521897,3.096525 60.5647,3.483308 60.788797,3.495933 60.794619,3.587978 60.841533,3.673431 60.893419,3.725553 60.926644,4.360422 61.281558),(1.436917 59.697069,1.517361 59.749625,1.553339 59.772047,1.610783 59.806486,2.603217 60.413169,2.651097 60.445083,2.715053 60.479694,2.922744 60.602506,2.991872 60.6365,3.044883 60.673772,4.368186 61.422114),(1.265528 59.732508,1.682506 59.99445,1.750633 60.030736,1.811725 60.074533,2.694303 60.608031,2.757692 60.644786,2.811319 60.677036,3.448883 61.046114,3.518319 61.085914,3.562492 61.109183,3.619189 61.142761,4.377222 61.563306),(1.067056 59.750669,1.894297 60.267978,1.94515 60.298644,1.9921 60.327747,3.394872 61.153967,3.467064 61.196514,3.529239 61.23015,3.809392 61.386906,3.976703 61.481481,4.127375 61.562786,4.385453 61.704011),(0.909336 59.794797,1.493344 60.163511,1.562447 60.205594,1.622289 60.243486,1.957892 60.44925,2.027914 60.491494,2.100628 60.535728,2.570525 60.816144,2.648656 60.868647,2.732278 60.911175,3.281231 61.228086,3.367822 61.271403,3.507331 61.3596,3.584678 61.399625,4.395117 61.845433),(1.383706 60.239014,1.691781 60.429453,1.761622 60.466933,1.837067 60.512814,1.895989 60.554086,4.401403 61.984983),(1.291347 60.325511,1.590756 60.510681,1.673875 60.555553,1.742003 60.603172,3.821917 61.806639,3.98995 61.893994,4.108769 61.963197,4.303219 62.068569),(1.195647 60.410172,1.582339 60.648897,1.649783 60.685589,1.70915 60.726186,4.112911 62.1028),(1.105094 60.498278,1.420742 60.693517,1.481283 60.730983,1.535917 60.763994,2.071433 61.086394,2.150175 61.126314,2.276292 61.2042,2.339217 61.244411,3.920664 62.135956),(1.0089 60.583111,1.408131 60.829636,1.461839 60.86185,1.513514 60.893892,1.725006 61.021822),(2.2735 61.347442,2.6206 61.548833,2.687203 61.582806,2.749492 61.622761,3.729519 62.169672),(0.916553 60.670578,0.944792 60.684278,0.983542 60.704556,1.0481 60.752375,1.712903 61.157564,1.7754 61.196639,1.83285 61.229244,2.059553 61.363547,2.119469 61.397533,2.186939 61.438347,4.531769 62.733878),(0.819978 60.755667,1.2938 61.047883,1.370325 61.086772,1.435956 61.1342,1.929753 61.429297,1.993844 61.467578,2.060231 61.506058,4.353622 62.775664),(0.723894 60.841314,1.356206 61.229864,1.434 61.275814,1.524194 61.330164,1.585808 61.367917,1.808508 61.500303,1.867708 61.537911,1.946697 61.581711,4.141342 62.801992),(1.481056 61.448794,1.576436 61.5049,1.6372 61.541767,1.705683 61.582417,3.94545 62.835642),(2.199117 62.012425,3.749108 62.869019),(2.160772 62.132272,3.552322 62.902122),(0.495697 61.283653,3.355092 62.934953),(0.509911 61.438856,3.157422 62.967506),(0.530697 61.598014,2.959311 62.999781),(0.535117 61.747053,1.647692 62.407417),(0.562281 61.909889,1.402336 62.408892),(3.509628 59.731214,4.251947 60.1632),(3.421117 59.747986,4.162461 60.180356),(3.332514 59.764697,4.072883 60.197453),(3.243822 59.78135,3.983208 60.214489,3.983208 60.214489))"
"DN0906","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7083","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7083","Ferdig",Nei,"Havbunnseismisk undersøkelse","2D","Det norske oljeselskap ASA (old)","Seismisk kilde",1,140 cu in,"2000psi","Kabler",1,1200,2009-08-11,2009-09-06,2009-09-20,2009-09-11,130,160,130,160,"MULTILINESTRING((2.801983 57.008336,2.884306 57.008442),(2.801958 57.012828,2.884292 57.012933),(2.801936 57.017319,2.884278 57.017425),(2.801911 57.021811,2.884264 57.021914),(2.801889 57.026303,2.88425 57.026406),(2.801875 57.02855,2.884242 57.028653),(2.801869 57.029897,2.884239 57.03),(2.801861 57.031244,2.884233 57.031347),(2.80185 57.033489,2.884228 57.033594),(2.801825 57.037981,2.884214 57.038083),(2.801803 57.042472,2.884197 57.042575),(2.801778 57.046964,2.884183 57.047067),(2.801753 57.051456,2.884169 57.051558),(2.803633 57.007442,2.803397 57.052356),(2.811867 57.007456,2.811639 57.052369),(2.820097 57.007467,2.819881 57.052381),(2.828331 57.007478,2.828122 57.052394),(2.836561 57.007489,2.836364 57.052406),(2.840678 57.007494,2.840486 57.052408),(2.843147 57.007497,2.842958 57.052414),(2.845617 57.0075,2.845431 57.052417),(2.849733 57.007506,2.849553 57.052419),(2.857964 57.007514,2.857794 57.052431),(2.866197 57.007525,2.866036 57.052439),(2.874428 57.007533,2.874278 57.052447),(2.882661 57.007542,2.882519 57.052456))"
"NSR09 VG","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7104","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7104","Ferdig",Ja,"Ordinær seismisk undersøkelse","2D","TGS Nopec Geophysical Company  ASA","Seismisk kilde",1,4100 cu.inch,"2000 psi","Kabler",1,8000 m,2009-06-25,2009-07-11,2009-09-30,2009-09-11,9000,2958,9000,2958,"MULTILINESTRING((-2.194011 62.928889,0.310483 62.589403),(-1.720211 63.241472,0.89785 62.879506),(-1.110867 63.536164,1.433258 63.176944),(-0.686092 63.854525,2.873406 63.3304),(-0.166639 64.160242,3.417367 63.623569),(-1.967892 63.086603,0.568992 62.739731),(-1.487211 63.398164,1.161722 63.029081),(-0.779736 63.679683,1.692886 63.326922),(-0.600608 63.749531,1.752653 63.412653),(-0.427781 64.007608,3.143992 63.477244),(-2.304422 63.035681,0.519369 62.652914),(-1.844506 63.164106,0.691283 62.81605),(-1.595272 63.318736,0.950683 62.9662),(-1.309619 63.468594,1.216567 63.115353),(-0.952558 63.608922,1.485167 63.264022),(-0.557286 63.931122,3.008353 63.403886),(-0.297567 64.083983,3.280331 63.550472),(-0.933853 62.811019,0.372589 62.627497),(-0.813406 62.888403,0.582989 62.690761),(-0.687639 62.964908,0.712953 62.765761),(-0.561083 63.041283,0.763444 62.852661),(-0.434578 63.117647,0.884119 62.929675),(-0.309439 63.194178,1.100458 62.991728),(-0.183758 63.270617,1.226078 63.067264),(-0.052586 63.346272,1.355814 63.141569),(0.073544 63.422619,1.418258 63.226875),(2.111036 63.380028,2.863192 63.787344),(0.217953 62.582739,2.455689 63.851461),(0.0215 62.612075,1.240014 63.326364),(-0.179947 62.638339,2.046344 63.914422),(-0.378389 62.666369,0.835883 63.386061),(-0.574403 62.695819,1.635183 63.976222),(-0.779736 62.719481,0.430108 63.444603),(-0.973425 62.750256,1.222236 64.036844),(-1.376814 62.801703,0.807528 64.096283),(-1.781458 62.852019,0.391081 64.154531),(-2.184308 62.903172,-0.027075 64.211572))"
"ST09322","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7111","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7111","Ferdig",Ja,"Havbunnseismisk undersøkelse","2D","StatoilHydro ASA","Seismisk kilde",1,160 kubikk tommer / 2.6 liter,"2000 psi","Kabler",1,1200,2009-07-23,2009-08-05,2009-09-09,2009-08-19,233,290,233,290,"MULTILINESTRING((3.094819 56.656658,3.098572 56.710519),(3.102969 56.656486,3.106733 56.710347),(3.111117 56.656314,3.114894 56.710175),(3.119267 56.656139,3.123056 56.71),(3.127417 56.655967,3.131217 56.709828),(3.131492 56.655878,3.135294 56.709739),(3.135567 56.655792,3.139378 56.709653),(3.139642 56.655706,3.143456 56.709564),(3.143714 56.655617,3.147536 56.709478),(3.147789 56.655528,3.151617 56.709389),(3.151864 56.655442,3.155697 56.7093),(3.155939 56.655353,3.159778 56.709214),(3.160014 56.655264,3.163858 56.709125),(3.168161 56.655089,3.172019 56.708947),(3.176308 56.654911,3.180181 56.708769),(3.184458 56.654733,3.188339 56.708594),(3.192606 56.654556,3.1965 56.708414),(3.094819 56.656658,3.192606 56.654556),(3.095133 56.661147,3.192931 56.659044),(3.095444 56.665636,3.193256 56.663533),(3.095758 56.670122,3.193578 56.668019),(3.096069 56.674611,3.193903 56.672508),(3.096225 56.676856,3.194067 56.674753),(3.096383 56.6791,3.194228 56.676997),(3.096539 56.681344,3.194389 56.679242),(3.096694 56.683589,3.194553 56.681486),(3.096853 56.685833,3.194714 56.683731),(3.097008 56.688078,3.194875 56.685972),(3.097164 56.690322,3.195039 56.688219),(3.097319 56.692567,3.1952 56.690461),(3.097633 56.697056,3.195525 56.69495),(3.097947 56.701544,3.19585 56.699439),(3.098258 56.706031,3.196175 56.703928),(3.098572 56.710519,3.1965 56.708414),(3.147144 56.6718,3.143786 56.695542),(3.136969 56.692217,3.159231 56.667336),(3.135933 56.673178,3.172522 56.708519))"
"ST09324",NULL,NULL,"Avlyst",Ja,"Havbunnseismisk undersøkelse","2D","StatoilHydro ASA","Seismisk kilde",1,160 kubikk tommer / 2.6 liter,"2000 psi","Kabler",1,1200,2009-10-29,9999-12-31,2009-11-29,9999-12-31,25,NULL,25,NULL,"MULTILINESTRING((2.340789 61.281017,2.386658 61.320106),(2.323058 61.311589,2.404331 61.289525),(2.364164 61.278122,2.363256 61.323006),(2.31705 61.300336,2.410369 61.300775))"
"St09326",NULL,NULL,"Avlyst",Ja,"Havbunnseismisk undersøkelse","2D","Statoil ASA","Seismisk kilde",1,160 kubikk tommer / 2.6 liter,"2000 psi","Kabler",1,1200,2009-11-29,9999-12-31,2010-01-29,9999-12-31,25,NULL,25,NULL,"MULTILINESTRING((2.548567 61.399558,2.594869 61.438575),(2.530972 61.430156,2.612406 61.407969),(2.572011 61.396628,2.571397 61.441511),(2.524867 61.418914,2.618542 61.419208))"
"ST09328","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7143","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2010&nav3=7143","Ferdig",Ja,"Havbunnseismisk undersøkelse","2D","StatoilHydro ASA","Seismisk kilde",1,160 kubikk tommer / 2.6 liter,"2000 psi","Kabler",1,1200,2009-11-29,2010-01-07,2010-01-29,2010-01-15,134,219,134,219,"MULTILINESTRING((7.126769 64.572797,7.231108 64.572361),(7.126858 64.577275,7.231214 64.57685),(7.126947 64.581764,7.231319 64.581331),(7.127036 64.586244,7.231447 64.585819),(7.127125 64.590733,7.231553 64.5903),(7.127178 64.592978,7.231594 64.592544),(7.1272 64.593878,7.231619 64.593442),(7.127222 64.594775,7.231644 64.594339),(7.127256 64.597019,7.231708 64.596583),(7.127344 64.6015,7.231814 64.601072),(7.127456 64.605989,7.231919 64.605553),(7.127544 64.610469,7.232025 64.610042),(7.127633 64.614958,7.232133 64.614522),(7.129869 64.571436,7.130803 64.616292),(7.140311 64.571397,7.141242 64.616253),(7.150733 64.571356,7.1517 64.616211),(7.161175 64.571308,7.162139 64.616172),(7.171594 64.571267,7.172597 64.616131),(7.176817 64.57125,7.177825 64.616106),(7.178906 64.571242,7.179917 64.616097),(7.180992 64.571231,7.182011 64.616086),(7.186214 64.571206,7.187239 64.616069),(7.196656 64.571164,7.197678 64.616028),(7.207075 64.571119,7.208136 64.615975),(7.217517 64.571075,7.218575 64.615931),(7.227939 64.571031,7.229033 64.615886),(7.124397 64.597289,7.201844 64.592183))"
"AX0901","http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7145","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7145","Ferdig",Nei,"Borestedundersøkelse / sitesurvey","2D","Aker Exploration AS","Seismisk kilde",En rekke 4 kanoner,4 x 40 cu in (Totalt 160 cu in.),"2000","Kabler",1,1200,2009-10-01,2009-10-13,2009-11-30,2009-10-27,179,441,104,441,"MULTILINESTRING((5.927544 63.417461,5.783336 63.484192),(5.928986 63.418083,5.784778 63.484817),(5.930425 63.418708,5.786219 63.485439),(5.931867 63.419331,5.787661 63.486064),(5.933308 63.419953,5.7891 63.486689),(5.93475 63.420575,5.790542 63.487314),(5.936189 63.4212,5.791983 63.487939),(5.937631 63.421822,5.793425 63.488561),(5.939072 63.422444,5.794867 63.489186),(5.940514 63.423067,5.796308 63.489811),(5.941956 63.423692,5.79775 63.490436),(5.943397 63.424314,5.799192 63.491058),(5.944839 63.424936,5.800633 63.491683),(5.946281 63.425558,5.802075 63.492308),(5.947722 63.426181,5.803517 63.492933),(5.949164 63.426806,5.804958 63.493556),(5.950606 63.427428,5.8064 63.494181),(5.952047 63.42805,5.807842 63.494806),(5.953489 63.428672,5.809283 63.495428),(5.954931 63.429294,5.810725 63.496053),(5.956372 63.429919,5.812167 63.496678),(5.957814 63.430542,5.813608 63.497303),(5.959256 63.431164,5.815053 63.497925),(5.960697 63.431786,5.816494 63.49855),(5.962142 63.432408,5.817936 63.499175),(5.963583 63.433031,5.819378 63.499797),(5.965025 63.433656,5.820822 63.500422),(5.966467 63.434278,5.822264 63.501047),(5.967911 63.4349,5.823706 63.501669),(5.969353 63.435522,5.82515 63.502294),(5.970794 63.436144,5.826592 63.502919),(5.972239 63.436767,5.828033 63.503542),(5.973681 63.437389,5.829478 63.504167),(5.975122 63.438014,5.830919 63.504792),(5.976567 63.438636,5.832364 63.505414),(5.978008 63.439258,5.833806 63.506039),(5.979453 63.439881,5.83525 63.506661),(5.980894 63.440503,5.836692 63.507286),(5.982339 63.441125,5.838136 63.507911),(5.983781 63.441747,5.839581 63.508533),(5.985225 63.442369,5.841022 63.509158),(5.783336 63.484192,5.841022 63.509158),(5.790319 63.480969,5.848006 63.505936),(5.797303 63.47775,5.854986 63.502711),(5.804281 63.474528,5.861967 63.499486),(5.811261 63.471306,5.868944 63.496261),(5.818239 63.468083,5.875922 63.493036),(5.825214 63.464861,5.882897 63.489811),(5.832186 63.461639,5.889872 63.486586),(5.839161 63.458414,5.896844 63.483358),(5.871881 63.443272,5.929564 63.468206),(5.878844 63.440047,5.936528 63.464975),(5.885806 63.436822,5.943489 63.461747),(5.892767 63.433597,5.950447 63.458519),(5.899725 63.430369,5.957406 63.455289),(5.906683 63.427142,5.964364 63.452061),(5.913639 63.423917,5.971319 63.448831),(5.920592 63.420689,5.978272 63.4456),(5.927544 63.417461,5.985225 63.442369),(5.726581 63.484575),(5.841956 63.534531),(6.041897 63.441883),(5.926539 63.392089))"
