seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
DN1302,2013-08-28,7852,Under behandling,Nordsjøen,Havbunnseismisk undersøkelse,3D,Det Norske Oljeselskap AS,2013-09-30,9999-12-31,9999-12-31,NULL,NULL,264.49,NULL,NULL,NULL,2013-05-08
ST13455-2,2013-08-20,7839,Planlagt,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-09-20,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
FP13002,2013-07-30,7850,Under behandling,Nordsjøen,Ordinær seismisk undersøkelse,3D,Faroe Petroleum Norge AS,2013-08-20,9999-12-31,9999-12-31,NULL,NULL,300.53,NULL,NULL,NULL,2013-05-08
EO13003,2013-07-05,7855,Planlagt,Norskehavet,Ordinær seismisk undersøkelse,3D,E.ON E&P Norge AS,2013-08-25,9999-12-31,9999-12-31,NULL,NULL,1259.40,NULL,NULL,NULL,2013-05-08
MC3D-CGR2013,2013-07-01,7787,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Multiklient Invest AS,2013-12-31,9999-12-31,9999-12-31,NULL,NULL,1256.35,NULL,NULL,NULL,2013-05-08
EO13002,2013-06-25,7854,Planlagt,Norskehavet,Ordinær seismisk undersøkelse,3D,E.ON E&P Norge AS,2013-08-10,9999-12-31,9999-12-31,NULL,NULL,993.16,NULL,NULL,NULL,2013-05-08
BPN13201,2013-06-24,7847,Under behandling,Nordsjøen,Havbunnseismisk undersøkelse,3D,BP Norge AS,2013-09-15,9999-12-31,9999-12-31,NULL,NULL,313.87,NULL,NULL,NULL,2013-05-08
ST13301,2013-06-19,7864,Under behandling,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-09-26,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
SUN13002,2013-06-10,7829,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Suncor Energy Norge AS,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
TE1301,2013-06-10,7860,Under behandling,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Talisman Energy Norge AS,2013-07-10,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
