seaSurveyName,seaNpdidSurvey,seaPolygonPointNumber,seaPolygonNSDeg,seaPolygonNSMin,seaPolygonNSSec,seaPolygonEWDeg,seaPolygonEWMin,seaPolygonEWSec,dateSyncNPD
AX0901,7145,1,63,29,4.47,5,43,35.69,2013-05-08
AX0901,7145,2,63,32,4.31,5,50,31.04,2013-05-08
AX0901,7145,3,63,26,30.78,6,2,30.83,2013-05-08
AX0901,7145,4,63,23,31.52,5,55,35.54,2013-05-08
AX0902,7147,1,59,13,13.00,2,13,36.00,2013-05-08
AX0902,7147,2,59,13,16.00,2,22,0.00,2013-05-08
AX0902,7147,3,59,8,57.00,2,22,5.00,2013-05-08
AX0902,7147,4,59,8,55.00,2,13,42.00,2013-05-08
BBE,7513,1,74,17,36.30,21,57,41.50,2013-05-08
BBE,7513,2,73,49,1.80,25,46,19.20,2013-05-08
BBE,7513,3,72,21,51.80,23,14,54.20,2013-05-08
BBE,7513,4,72,53,12.80,19,29,29.00,2013-05-08
BE1101,7437,1,61,39,1.13,2,43,48.71,2013-05-08
BE1101,7437,2,61,36,50.01,2,53,9.09,2013-05-08
BE1101,7437,3,61,32,19.89,2,48,12.25,2013-05-08
BE1101,7437,4,61,34,29.90,2,38,38.36,2013-05-08
BG0901,7041,1,61,46,39.40,2,31,17.90,2013-05-08
BG0901,7041,2,61,46,2.60,2,43,23.10,2013-05-08
BG0901,7041,3,61,41,44.80,2,43,27.30,2013-05-08
BG0901,7041,4,61,41,41.50,2,31,25.00,2013-05-08
BG0902,7042,1,61,49,23.70,2,49,4.00,2013-05-08
BG0902,7042,2,61,48,49.60,2,51,9.40,2013-05-08
BG0902,7042,3,61,48,36.20,2,49,57.00,2013-05-08
BG0902,7042,4,61,49,7.60,2,48,35.90,2013-05-08
BG0903,7043,1,61,49,3.79,2,47,19.85,2013-05-08
BG0903,7043,2,61,49,47.20,2,41,24.65,2013-05-08
BG0903,7043,3,61,46,34.16,2,39,39.66,2013-05-08
BG0903,7043,4,61,45,50.83,2,45,34.28,2013-05-08
BG0904,7074,1,65,58,7.00,3,45,55.00,2013-05-08
BG0904,7074,2,65,59,40.00,3,38,38.00,2013-05-08
BG0904,7074,3,66,30,10.00,4,24,29.00,2013-05-08
BG0904,7074,4,66,37,45.00,3,44,35.00,2013-05-08
BG0904,7074,5,66,43,49.00,3,52,4.00,2013-05-08
BG0904,7074,6,66,55,20.00,4,1,0.00,2013-05-08
BG0904,7074,7,66,45,49.00,4,50,42.00,2013-05-08
BG0904,7074,8,67,10,44.00,5,30,59.00,2013-05-08
BG0904,7074,9,67,10,35.00,5,40,0.00,2013-05-08
BG0904,7074,10,66,55,37.00,5,40,0.00,2013-05-08
BG0904,7074,11,66,44,2.00,5,0,9.00,2013-05-08
BG0904,7074,12,66,40,24.00,5,18,39.00,2013-05-08
BG0904,7074,13,66,27,31.00,5,14,7.00,2013-05-08
BG0904,7074,14,66,21,45.00,5,7,59.00,2013-05-08
BG0904,7074,15,66,28,42.00,4,31,59.00,2013-05-08
BG0905,7132,1,57,57,30.89,1,50,2.54,2013-05-08
BG0905,7132,2,57,59,4.01,1,51,12.57,2013-05-08
BG0905,7132,3,58,1,2.72,1,55,35.06,2013-05-08
BG0905,7132,4,58,0,11.64,1,56,54.56,2013-05-08
BG0905,7132,5,57,59,5.02,1,54,20.66,2013-05-08
BG0905,7132,6,57,57,43.44,1,56,41.86,2013-05-08
BG0905,7132,7,57,57,13.80,1,55,37.65,2013-05-08
BG1001,7239,1,58,3,29.50,1,59,49.00,2013-05-08
BG1001,7239,2,58,3,10.30,1,50,11.10,2013-05-08
BG1001,7239,3,57,54,59.40,1,51,13.70,2013-05-08
BG1001,7239,4,57,55,17.20,2,0,47.40,2013-05-08
BG1002,7276,1,72,5,31.73,25,10,32.69,2013-05-08
BG1002,7276,2,72,0,7.33,24,14,50.67,2013-05-08
BG1002,7276,3,72,28,31.76,23,44,20.31,2013-05-08
BG1002,7276,4,72,34,4.51,24,41,21.37,2013-05-08
BG1003,7290,1,66,41,46.83,4,38,56.11,2013-05-08
BG1003,7290,2,66,45,10.23,4,21,32.75,2013-05-08
BG1003,7290,3,66,51,57.95,4,29,46.35,2013-05-08
BG1003,7290,4,66,48,35.02,4,47,28.73,2013-05-08
BG1003,7290,5,66,41,46.83,4,38,56.11,2013-05-08
BG1004,7332,1,66,37,1.46,4,45,4.61,2013-05-08
BG1004,7332,2,66,30,42.36,4,37,25.24,2013-05-08
BG1004,7332,3,66,34,19.71,4,18,51.17,2013-05-08
BG1004,7332,4,66,40,40.26,4,26,17.91,2013-05-08
BG1004,7332,5,66,37,1.46,4,45,4.61,2013-05-08
bg1101,7384,1,61,52,51.20,2,54,53.53,2013-05-08
bg1101,7384,2,61,42,33.63,2,54,55.24,2013-05-08
bg1101,7384,3,61,42,31.17,2,33,29.52,2013-05-08
bg1101,7384,4,61,52,48.71,2,33,20.63,2013-05-08
bg1102,7390,1,61,38,46.16,3,11,25.60,2013-05-08
bg1102,7390,2,61,42,21.50,3,24,46.22,2013-05-08
bg1102,7390,3,61,46,57.90,3,30,17.40,2013-05-08
bg1102,7390,4,62,5,4.01,2,21,28.55,2013-05-08
bg1102,7390,5,61,54,57.77,2,9,41.78,2013-05-08
bg1102,7390,6,61,47,37.14,2,1,16.13,2013-05-08
bg1102,7390,7,61,31,29.33,3,2,49.78,2013-05-08
bg1103,7402,1,61,44,34.93,2,51,18.51,2013-05-08
bg1103,7402,2,61,41,57.03,2,44,4.18,2013-05-08
bg1103,7402,3,61,35,48.51,2,34,34.48,2013-05-08
bg1103,7402,4,61,23,46.47,2,16,1.44,2013-05-08
bg1103,7402,5,61,15,12.92,2,3,3.54,2013-05-08
bg1103,7402,6,61,2,57.76,1,47,33.13,2013-05-08
bg1103,7402,7,61,2,21.56,1,46,18.60,2013-05-08
bg1103,7402,8,61,0,56.88,1,41,46.68,2013-05-08
bg1103,7402,9,61,1,10.83,1,41,29.12,2013-05-08
bg1103,7402,10,61,2,34.97,1,45,59.88,2013-05-08
bg1103,7402,11,61,3,7.47,1,47,6.49,2013-05-08
bg1103,7402,12,61,15,21.38,2,2,34.83,2013-05-08
bg1103,7402,13,61,23,55.72,2,15,33.25,2013-05-08
bg1103,7402,14,61,36,0.22,2,34,5.89,2013-05-08
bg1103,7402,15,61,42,6.26,2,43,27.83,2013-05-08
bg1103,7402,16,61,43,47.23,2,41,9.67,2013-05-08
bg1103,7402,17,61,49,9.11,2,39,16.34,2013-05-08
bg1103,7402,18,61,49,56.94,2,49,26.97,2013-05-08
BG1104,7409,1,58,14,28.12,3,50,11.60,2013-05-08
BG1104,7409,2,58,14,23.65,4,0,30.29,2013-05-08
BG1104,7409,3,58,8,4.76,4,0,19.58,2013-05-08
BG1104,7409,4,58,8,9.21,3,50,2.72,2013-05-08
BG1201,7621,1,61,43,14.08,2,46,25.81,2013-05-08
BG1201,7621,2,61,47,24.97,2,58,58.82,2013-05-08
BG1201,7621,3,61,51,36.26,2,52,45.89,2013-05-08
BG1201,7621,4,61,47,24.80,2,40,12.02,2013-05-08
BG1202,7624,1,61,50,4.70,2,44,36.27,2013-05-08
BG1202,7624,2,61,50,23.22,2,48,15.45,2013-05-08
BG1202,7624,3,61,48,22.76,2,52,36.01,2013-05-08
BG1202,7624,4,61,45,58.52,2,53,32.93,2013-05-08
BG1202,7624,5,61,40,25.14,2,42,23.92,2013-05-08
BG1202,7624,6,61,20,58.20,2,12,7.46,2013-05-08
BG1202,7624,7,61,13,10.94,2,0,56.51,2013-05-08
BG1202,7624,8,61,13,26.50,1,59,47.31,2013-05-08
BG1202,7624,9,61,17,59.84,2,4,7.44,2013-05-08
BG1202,7624,10,61,21,17.09,2,11,11.31,2013-05-08
BG27-03-2012,7617,1,58,9,4.14,3,50,58.01,2013-05-08
BG27-03-2012,7617,2,58,13,22.78,3,51,4.18,2013-05-08
BG27-03-2012,7617,3,58,13,19.01,3,59,45.01,2013-05-08
BG27-03-2012,7617,4,58,9,0.38,3,59,37.78,2013-05-08
BGN1201,7626,1,61,14,6.00,3,21,0.00,2013-05-08
BGN1201,7626,2,61,55,2.00,3,20,36.00,2013-05-08
BGN1201,7626,3,61,55,2.00,3,46,53.00,2013-05-08
BGN1201,7626,4,61,14,5.00,3,46,42.00,2013-05-08
BP083D004,7035,1,58,20,36.47,1,33,49.69,2013-05-08
BP083D004,7035,2,58,20,40.13,1,39,26.64,2013-05-08
BP083D004,7035,3,58,18,45.48,1,39,30.99,2013-05-08
BP083D004,7035,4,58,18,47.84,1,43,21.32,2013-05-08
BP083D004,7035,5,58,11,15.29,1,43,37.57,2013-05-08
BP083D004,7035,6,58,11,14.60,1,42,28.43,2013-05-08
BPB11305,7502,1,65,47,18.00,7,36,54.00,2013-05-08
BPB11305,7502,2,65,50,30.00,7,41,44.00,2013-05-08
BPB11305,7502,3,65,50,27.00,7,41,59.00,2013-05-08
BPB11305,7502,4,65,58,46.00,7,40,2.00,2013-05-08
BPB11305,7502,5,65,58,46.00,7,41,21.00,2013-05-08
BPB11305,7502,6,65,50,5.00,7,43,23.00,2013-05-08
BPB11305,7502,7,65,48,31.00,7,49,33.00,2013-05-08
BPB11305,7502,8,65,45,19.00,7,44,42.00,2013-05-08
BPN0301_12,7300,1,56,11,20.00,3,24,10.00,2013-05-08
BPN0301_12,7300,2,56,19,38.00,3,17,18.00,2013-05-08
BPN0301_12,7300,3,56,21,38.00,3,25,9.00,2013-05-08
BPN0301_12,7300,4,56,13,20.00,3,31,59.00,2013-05-08
BPN0301_13,7376,1,56,11,20.00,3,24,10.00,2013-05-08
BPN0301_13,7376,2,56,19,38.00,3,17,18.00,2013-05-08
BPN0301_13,7376,3,56,21,38.00,3,25,9.00,2013-05-08
BPN0301_13,7376,4,56,13,20.00,3,31,59.00,2013-05-08
BPN0301_14,7459,1,56,11,20.00,3,24,10.00,2013-05-08
BPN0301_14,7459,2,56,19,38.00,3,17,18.00,2013-05-08
BPN0301_14,7459,3,56,21,38.00,3,25,9.00,2013-05-08
BPN0301_14,7459,4,56,13,20.00,3,31,59.00,2013-05-08
BPN0301-15,7601,1,56,11,20.00,3,24,10.00,2013-05-08
BPN0301-15,7601,2,56,19,38.00,3,17,18.00,2013-05-08
BPN0301-15,7601,3,56,21,38.00,3,25,9.00,2013-05-08
BPN0301-15,7601,4,56,13,20.00,3,31,59.00,2013-05-08
BPN0990,7152,1,56,18,50.00,3,21,0.00,2013-05-08
BPN0990,7152,2,56,18,50.00,3,26,50.00,2013-05-08
BPN0990,7152,3,56,15,0.00,3,26,50.00,2013-05-08
BPN0990,7152,4,56,15,0.00,3,21,50.00,2013-05-08
BPN10301,7325,1,56,17,39.00,3,18,2.00,2013-05-08
BPN10301,7325,2,56,17,38.00,3,24,14.00,2013-05-08
BPN10301,7325,3,56,21,15.00,3,24,16.00,2013-05-08
BPN10301,7325,4,56,21,16.00,3,18,4.00,2013-05-08
BPN10302,7326,1,56,11,46.00,3,22,14.00,2013-05-08
BPN10302,7326,2,56,11,44.00,3,29,47.00,2013-05-08
BPN10302,7326,3,56,15,24.00,3,29,50.00,2013-05-08
BPN10302,7326,4,56,15,26.00,3,22,16.00,2013-05-08
BPN10303,7327,1,56,9,4.00,3,24,49.00,2013-05-08
BPN10303,7327,2,56,9,2.00,3,30,19.00,2013-05-08
BPN10303,7327,3,56,12,10.00,3,30,22.00,2013-05-08
BPN10303,7327,4,56,12,11.00,3,24,51.00,2013-05-08
BPN11101,7385,1,57,14,2.33,2,25,8.59,2013-05-08
BPN11101,7385,2,57,21,46.89,2,50,47.66,2013-05-08
BPN11101,7385,3,57,2,39.06,3,16,8.07,2013-05-08
BPN11101,7385,4,56,53,37.75,2,45,58.32,2013-05-08
BPN11102,7495,1,56,20,36.00,3,9,33.00,2013-05-08
BPN11102,7495,2,56,24,23.00,3,24,22.00,2013-05-08
BPN11102,7495,3,56,11,55.00,3,34,38.00,2013-05-08
BPN11102,7495,4,56,8,9.00,3,19,53.00,2013-05-08
BPN11301,7391,1,56,17,39.00,3,18,2.00,2013-05-08
BPN11301,7391,2,56,17,38.00,3,24,14.00,2013-05-08
BPN11301,7391,3,56,21,15.00,3,24,16.00,2013-05-08
BPN11301,7391,4,56,21,16.00,3,18,4.00,2013-05-08
BPN11302,7392,1,56,12,54.23,3,21,28.60,2013-05-08
BPN11302,7392,2,56,15,36.30,3,29,53.29,2013-05-08
BPN11302,7392,3,56,10,33.88,3,34,39.58,2013-05-08
BPN11302,7392,4,56,7,35.00,3,26,15.59,2013-05-08
BPN11303,7485,1,56,12,20.00,3,23,7.00,2013-05-08
BPN11303,7485,2,56,14,20.00,3,29,26.00,2013-05-08
BPN11303,7485,3,56,10,49.00,3,33,0.00,2013-05-08
BPN11303,7485,4,56,8,49.00,3,26,42.00,2013-05-08
BPN11304,7486,1,65,56,59.00,7,49,26.00,2013-05-08
BPN11304,7486,2,65,53,18.00,7,41,45.00,2013-05-08
BPN11304,7486,3,65,56,25.00,7,32,42.00,2013-05-08
BPN11304,7486,4,66,0,7.00,7,40,22.00,2013-05-08
BPN11304,7486,5,65,58,36.00,7,50,0.00,2013-05-08
BPN11305,7512,1,65,47,18.00,7,36,54.00,2013-05-08
BPN11305,7512,2,65,50,30.00,7,41,44.00,2013-05-08
BPN11305,7512,3,65,50,27.00,7,41,59.00,2013-05-08
BPN11305,7512,4,65,58,46.00,7,40,2.00,2013-05-08
BPN11305,7512,5,65,58,46.00,7,41,21.00,2013-05-08
BPN11305,7512,6,65,50,5.00,7,43,23.00,2013-05-08
BPN11305,7512,7,65,48,31.00,7,49,33.00,2013-05-08
BPN11305,7512,8,65,45,19.00,7,44,42.00,2013-05-08
BPN12001,7638,1,56,15,43.00,3,3,41.00,2013-05-08
BPN12001,7638,2,56,24,0.00,3,3,51.00,2013-05-08
BPN12001,7638,3,56,31,32.00,3,23,20.00,2013-05-08
BPN12001,7638,4,56,10,5.00,3,49,21.00,2013-05-08
BPN12001,7638,5,56,5,27.00,3,36,36.00,2013-05-08
BPN12001,7638,6,56,1,41.00,3,23,50.00,2013-05-08
BPN12301,7639,1,56,11,53.00,3,27,1.00,2013-05-08
BPN12301,7639,2,56,20,55.00,3,19,33.00,2013-05-08
BPN12301,7639,3,56,21,10.00,3,20,37.00,2013-05-08
BPN12301,7639,4,56,12,9.00,3,28,4.00,2013-05-08
BPN13201,7847,1,56,20,57.00,3,6,9.00,2013-05-08
BPN13201,7847,2,56,26,36.00,3,28,13.00,2013-05-08
BPN13201,7847,3,56,8,41.00,3,42,53.00,2013-05-08
BPN13201,7847,4,56,3,5.00,3,20,58.00,2013-05-08
BPN13301,7845,1,56,22,9.00,3,22,40.00,2013-05-08
BPN13301,7845,2,56,18,16.00,3,27,32.00,2013-05-08
BPN13301,7845,3,56,18,15.00,3,33,56.00,2013-05-08
BPN13301,7845,4,56,14,55.00,3,33,53.00,2013-05-08
BPN13301,7845,5,56,14,56.00,3,30,30.00,2013-05-08
BPN13301,7845,6,56,14,9.00,3,31,12.00,2013-05-08
BPN13301,7845,7,56,11,50.00,3,30,5.00,2013-05-08
BPN13301,7845,8,56,10,49.00,3,27,7.00,2013-05-08
BPN13301,7845,9,56,11,31.00,3,23,17.00,2013-05-08
BPN13301,7845,10,56,14,12.00,3,18,15.00,2013-05-08
BPN13301,7845,11,56,21,3.00,3,17,14.00,2013-05-08
BPN13302,7848,1,56,6,47.00,3,27,26.00,2013-05-08
BPN13302,7848,2,56,10,40.00,3,20,46.00,2013-05-08
BPN13302,7848,3,56,14,24.00,3,27,45.00,2013-05-08
BPN13302,7848,4,56,10,29.00,3,34,25.00,2013-05-08
BST6,7215,1,73,12,28.49,22,56,56.95,2013-05-08
BST6,7215,2,72,57,5.15,21,28,23.32,2013-05-08
BST6,7215,3,72,49,17.82,21,27,49.03,2013-05-08
BST6,7215,4,72,42,22.68,21,44,15.95,2013-05-08
BST6,7215,5,73,2,45.57,23,34,55.22,2013-05-08
BST6,7215,6,73,12,1.51,23,16,2.53,2013-05-08
BST6,7215,7,73,12,28.49,22,56,56.95,2013-05-08
Caterpillar2010,7247,1,59,17,19.00,1,51,29.00,2013-05-08
Caterpillar2010,7247,2,59,18,42.00,1,54,42.00,2013-05-08
Caterpillar2010,7247,3,59,16,24.00,1,59,8.00,2013-05-08
Caterpillar2010,7247,4,59,15,0.00,1,55,54.00,2013-05-08
CE0901,7121,1,65,15,54.23,6,35,39.13,2013-05-08
CE0901,7121,2,65,19,6.74,6,48,36.05,2013-05-08
CE0901,7121,3,65,15,32.74,6,53,38.66,2013-05-08
CE0901,7121,4,65,12,20.66,6,40,42.87,2013-05-08
CE0902,7122,1,64,17,49.91,7,51,13.79,2013-05-08
CE0902,7122,2,64,13,37.13,7,56,44.01,2013-05-08
CE0902,7122,3,64,11,13.41,7,47,3.99,2013-05-08
CE0902,7122,4,64,15,25.82,7,41,32.78,2013-05-08
CE1001,7318,1,57,6,7.77,3,3,24.44,2013-05-08
CE1001,7318,2,57,3,19.74,3,7,16.33,2013-05-08
CE1001,7318,3,57,1,23.15,3,2,31.82,2013-05-08
CE1001,7318,4,57,4,11.04,2,58,39.77,2013-05-08
CE1001,7318,5,57,6,7.85,2,50,37.68,2013-05-08
CE1001,7318,6,57,4,32.00,3,1,50.00,2013-05-08
CE1001,7318,7,57,8,16.76,3,3,59.09,2013-05-08
CE1002,7361,1,57,4,10.00,3,2,15.00,2013-05-08
CE1002,7361,2,57,4,10.00,3,2,50.00,2013-05-08
CE1002,7361,3,57,3,25.00,3,2,50.00,2013-05-08
CE1002,7361,4,57,3,25.00,3,2,15.00,2013-05-08
CE1101,7407,1,65,13,20.66,6,33,51.81,2013-05-08
CE1101,7407,2,65,11,53.81,6,41,0.13,2013-05-08
