seaProgressDate,seaProgressText2,seaProgressText,seaProgressDescription,seaNpdidSurvey
2013-05-07,TEPN-13-4,Melding - endringsmelding,Endring av fiskerikyndig representant.,7841
2013-05-07,FP13,Melding - ukemelding,NULL,7774
2013-05-07,EMGS1302,Melding - ukemelding,NULL,7797
2013-05-07,EMGS1301,Melding - ukemelding,NULL,7772
2013-05-07,HF13,Melding - ukemelding,"Ukemelding, samt oppdatert kalle signal for Oceanic Challenger",7791
2013-05-07,MARIA-SBS,Melding - ukemelding,NULL,7801
2013-05-07,ST13003,Melding - ukemelding,NULL,7773
2013-05-07,MAE13301,Melding - endringsmelding,Grunnet særdeles mye dårlig vær og noen tekniske problemer vil denne borestedsundersøkelsen vare to uker lengre enn planlagt.,7813
2013-05-07,TRO13,Status - satt av OD,Planlagt,7812
2013-05-07,LN13304,Status - satt av OD,Under behandling,7865
2013-05-07,MC3D-DPT2013,Melding - endringsmelding,2 Feil i tidligere versjion:-Kontraktør som utfører innsamlingen er PGS Geophysical AS -Inmarsat-C og programvare for fiskerisporingssystem: JA,7862
2013-05-07,ST13465,Melding - oppstartsmelding,NULL,7835
2013-05-07,ST13465,Status - satt av OD,Pågående,7835
2013-05-07,ST13314,Melding - ukemelding,NULL,7795
2013-05-07,RD1302,Melding - ukemelding,Kjernetatt bunnsedimenter vest av bremangerlandet. En del WOW.,7815
2013-05-06,SUN13302,Status - satt av OD,Planlagt,7831
2013-05-06,WG1301,Melding - ukemelding,NULL,7781
2013-05-06,ST13301,Status - satt av OD,Under behandling,7864
2013-05-06,ST13307,Status - satt av OD,Under behandling,7863
2013-05-06,ST13001,Melding - endringsmelding,"(1) Oppstartstidspkt endret fra 15.05 til 10.05, (2) lagt inn navn på fiskerikyndige, (3) lagt til navn på følgefartøy, (4) Endret type fra 4D til 3D",7833
2013-05-06,MCG1301,Melding - ukemelding,NULL,7796
2013-05-06,WIN13301,Melding - ukemelding,NULL,7802
2013-05-06,ST13312,Melding - ukemelding,NULL,7808
2013-05-06,ST12332,Melding - ukemelding,NULL,7720
2013-05-06,SUN13001,Melding - ukemelding,NULL,7789
2013-05-06,MC3D-Q162013,Melding - ukemelding,Ukemelding for uke 18.,7782
2013-05-06,CGGV1301,Melding - ukemelding,NULL,7769
2013-05-06,MC3D-DPT2013,Status - satt av OD,Under behandling,7862
2013-05-06,MAE13301,Melding - ukemelding,Mye dårlig vær og noen tekniske problemer har gitt lite produksjon siste uke.,7813
2013-05-06,MAE13301,Melding - endringsmelding,Grunnet særdeles mye dårlig vær og noen tekniske problemer vil denne borestedsundersøkelsen vare to uker lengre enn planlagt.,7813
2013-05-06,ST13459,Melding - oppstartsmelding,"Fartøyet 'Deep Cygnus' starter mobiliseringen i Hammerfest 06.05.2013. Mobiliseringen forventes å ta 1 til 2 dager og deretter vil fartøyet seile ut til Skrugard området (Skrugard har skiftet navn til Johan Castberg) og starte grunnundersøkelsen ST13459 (OD nr 7806)",7806
2013-05-06,ST13459,Status - satt av OD,Pågående,7806
