wlbName,lsuTopDepth,lsuBottomDepth,lsuName,lsuLevel,lsuNpdidLithoStrat,wlbCompletionDate,wlbNpdidWellbore,lsuWellboreUpdatedDate,dateSyncNPD
1/2-1,94,1777,NORDLAND GP,GROUP,113,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,1777,3059,HORDALAND GP,GROUP,67,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3059,3121,BALDER FM,FORMATION,6,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3059,3407,ROGALAND GP,GROUP,131,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3121,3275,FORTIES FM,FORMATION,44,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3275,3335,LISTA FM,FORMATION,95,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3335,3407,MAUREEN FM,FORMATION,102,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3407,3574,SHETLAND GP,GROUP,143,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3407,3514,EKOFISK FM,FORMATION,33,1989-06-04,1382,9999-12-31,2013-05-08
1/2-1,3514,3574,TOR FM,FORMATION,171,1989-06-04,1382,9999-12-31,2013-05-08
1/2-2,114,1675,NORDLAND GP,GROUP,113,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,1675,3077,HORDALAND GP,GROUP,67,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3077,3094,BALDER FM,FORMATION,6,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3077,3418,ROGALAND GP,GROUP,131,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3094,3135,SELE FM,FORMATION,142,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3135,3296,FORTIES FM,FORMATION,44,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3296,3368,LISTA FM,FORMATION,95,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3368,3418,MAUREEN FM,FORMATION,102,2006-02-02,5192,9999-12-31,2013-05-08
1/2-2,3418,3434,SHETLAND GP,GROUP,143,2006-02-02,5192,9999-12-31,2013-05-08
