tufName,cmpLongName,tufOwnerDateValidFrom,tufOwnerDateValidTo,tufOwnerShare,tufNpdidTuf,cmpNpdidCompany,dateSyncNPD
ALVE RØRLEDNING,DONG E&P Norge AS,2009-11-01,9999-12-31,15.00000,21078140,4070011,2013-05-08
ALVE RØRLEDNING,Statoil Petroleum AS,2009-11-01,9999-12-31,85.00000,21078140,17237817,2013-05-08
ALVE RØRLEDNING,DONG E&P Norge AS,2009-01-01,2009-11-01,15.00000,21078140,4070011,2013-05-08
ALVE RØRLEDNING,StatoilHydro Petroleum AS,2009-01-01,2009-11-01,85.00000,21078140,4511658,2013-05-08
ALVE RØRLEDNING,DONG E&P Norge AS,2008-01-01,2009-01-01,15.00000,21078140,4070011,2013-05-08
ALVE RØRLEDNING,StatoilHydro ASA,2008-01-01,2009-01-01,85.00000,21078140,4511854,2013-05-08
ALVE RØRLEDNING,DONG E&P Norge AS,2007-10-01,2008-01-01,15.00000,21078140,4070011,2013-05-08
ALVE RØRLEDNING,StatoilHydro Petroleum AS,2007-10-01,2008-01-01,10.00000,21078140,4511658,2013-05-08
ALVE RØRLEDNING,StatoilHydro ASA,2007-10-01,2008-01-01,75.00000,21078140,4511854,2013-05-08
ALVE RØRLEDNING,Norsk Hydro Petroleum AS,2007-03-16,2007-10-01,10.00000,21078140,4524355,2013-05-08
ALVE RØRLEDNING,DONG E&P Norge AS,2007-03-16,2007-10-01,15.00000,21078140,4070011,2013-05-08
ALVE RØRLEDNING,Statoil ASA (old),2007-03-16,2007-10-01,75.00000,21078140,1622484,2013-05-08
ALVHEIM RIKGASSRØR,Lundin Norway AS,2011-07-04,9999-12-31,15.00000,21078235,2767314,2013-05-08
ALVHEIM RIKGASSRØR,ConocoPhillips Skandinavia AS,2011-07-04,9999-12-31,20.00000,21078235,2410696,2013-05-08
ALVHEIM RIKGASSRØR,Marathon Oil Norge AS,2011-07-04,9999-12-31,65.00000,21078235,20485291,2013-05-08
ALVHEIM RIKGASSRØR,Lundin Norway AS,2007-01-01,2011-07-04,15.00000,21078235,2767314,2013-05-08
ALVHEIM RIKGASSRØR,Marathon Petroleum Norge AS,2007-01-01,2011-07-04,65.00000,21078235,463,2013-05-08
ALVHEIM RIKGASSRØR,ConocoPhillips Skandinavia AS,2007-01-01,2011-07-04,20.00000,21078235,2410696,2013-05-08
ALVHEIM RIKGASSRØR,Lundin Norway AS,2004-12-07,2007-01-01,15.00000,21078235,2767314,2013-05-08
ALVHEIM RIKGASSRØR,Norske ConocoPhillips AS,2004-12-07,2007-01-01,20.00000,21078235,2399056,2013-05-08
ALVHEIM RIKGASSRØR,Marathon Petroleum Norge AS,2004-12-07,2007-01-01,65.00000,21078235,463,2013-05-08
DRAUGEN GASSEKSPORT,A/S Norske Shell,2012-01-01,9999-12-31,44.56000,1035952,562,2013-05-08
DRAUGEN GASSEKSPORT,Petoro AS,2012-01-01,9999-12-31,47.88000,1035952,1626839,2013-05-08
DRAUGEN GASSEKSPORT,Chevron Norge AS,2012-01-01,9999-12-31,7.56000,1035952,3488906,2013-05-08
DRAUGEN GASSEKSPORT,A/S Norske Shell,2005-09-17,2012-01-01,26.20000,1035952,562,2013-05-08
DRAUGEN GASSEKSPORT,Petoro AS,2005-09-17,2012-01-01,47.88000,1035952,1626839,2013-05-08
DRAUGEN GASSEKSPORT,BP Norge AS,2005-09-17,2012-01-01,18.36000,1035952,2052695,2013-05-08
DRAUGEN GASSEKSPORT,Chevron Norge AS,2005-09-17,2012-01-01,7.56000,1035952,3488906,2013-05-08
DRAUGEN GASSEKSPORT,A/S Norske Shell,2002-11-19,2005-09-17,26.20000,1035952,562,2013-05-08
DRAUGEN GASSEKSPORT,Petoro AS,2002-11-19,2005-09-17,47.88000,1035952,1626839,2013-05-08
