ptlName,tufName,ptlDateValidFrom,ptlDateValidTo,tufNpdidTuf,ptlDateUpdated,ptlDateUpdatedMax,dateSyncNPD
EUROPIPE,EUROPIPE I,1992-12-11,2028-12-31,124262,9999-12-31,2013-05-08,2013-05-08
EUROPIPE II,EUROPIPE II,1996-12-16,2028-12-31,2454909,9999-12-31,2013-05-08,2013-05-08
FRANPIPE,FRANPIPE,1995-08-15,2028-12-31,124202,9999-12-31,2013-05-08,2013-05-08
GJØA GAS PIPELINE,GJØA GASSRØR,2010-07-04,2028-12-31,4480765,9999-12-31,2013-05-08,2013-05-08
HALTENPIPE,HALTENPIPE,1992-03-09,2028-12-31,124293,9999-12-31,2013-05-08,2013-05-08
KOLLSNES GASSBEHANDLINGSANLEGG,KOLLSNES GASSANLEGG,2002-11-19,2028-12-31,124354,9999-12-31,2013-05-08,2013-05-08
KVITEBJØRN GASSTRANSPORT SYSTEM,KVITEBJØRN GASSRØR,2004-10-01,2028-12-31,2417249,9999-12-31,2013-05-08,2013-05-08
KVITEBJØRN OLJETRANSPORT SYSTEM,KVITEBJØRN OLJERØR,2005-08-02,2020-12-31,917586,9999-12-31,2013-05-08,2013-05-08
GASSBEHANDLINGSANLEGGENE PÅ KÅRSTØ,KÅRSTØ GASSANLEGG,2001-06-15,2028-12-31,3471786,9999-12-31,2013-05-08,2013-05-08
LANGELED,LANGELED,2004-04-02,2035-12-31,2450169,9999-12-31,2013-05-08,2013-05-08
NORNE GASSTRANSPORTSYSTEM,NORNE GASSTRANSPORT,2001-02-05,2020-12-31,1035984,9999-12-31,2013-05-08,2013-05-08
NORPIPE GASSRØR,NORPIPE GASSLEDNING,1977-10-01,2028-12-31,124165,9999-12-31,2013-05-08,2013-05-08
NORPIPE OIL AS,NORPIPE OLJELEDNING,1973-05-04,2028-12-31,124133,9999-12-31,2013-05-08,2013-05-08
OSEBERG GASSTRANSPORT,OSEBERG GASSTRANSPORT,1999-01-15,2028-12-31,124170,9999-12-31,2013-05-08,2013-05-08
OSEBERG TRANSPORT SYSTEM (OTS),OSEBERG TRANSPORTSYSTEM,1984-11-28,2028-12-31,124301,9999-12-31,2013-05-08,2013-05-08
SLEIPNER ØST KONDENSAT,SLEIPNER KONDENSATRØR,1989-12-21,2028-12-31,124340,9999-12-31,2013-05-08,2013-05-08
STATPIPE,STATPIPE,1981-06-10,2028-12-31,123940,9999-12-31,2013-05-08,2013-05-08
TAMPEN LINK,TAMPEN LINK,2005-04-22,2032-09-30,3113815,9999-12-31,2013-05-08,2013-05-08
ULA,ULA OLJETRANSPORT,1984-10-30,2028-12-31,124285,9999-12-31,2013-05-08,2013-05-08
VESTERLED,VESTERLED,2000-10-13,2028-12-31,124280,9999-12-31,2013-05-08,2013-05-08
ZEEPIPE,ZEEPIPE,1988-06-21,2028-12-31,124227,9999-12-31,2013-05-08,2013-05-08
ZEEPIPE FASE II-A,ZEEPIPE IIA,1992-07-03,2028-12-31,124244,9999-12-31,2013-05-08,2013-05-08
ZEEPIPE FASE II-B,ZEEPIPE IIB,1995-01-27,2028-12-31,124253,9999-12-31,2013-05-08,2013-05-08
ÅSGARD TRANSPORT,ÅSGARD TRANSPORT,1996-06-14,2028-12-31,124211,9999-12-31,2013-05-08,2013-05-08
