ptlName,cmpLongName,ptlLicenseeInterest,tufName,tufNpdidTuf,cmpNpdidCompany,ptlLicenseeDateUpdated,dateSyncNPD
EUROPIPE,Silex Gas Norway AS,6.10200,EUROPIPE I,124262,21139663,9999-12-31,2013-05-08
EUROPIPE,ConocoPhillips Skandinavia AS,1.67800,EUROPIPE I,124262,2410696,9999-12-31,2013-05-08
EUROPIPE,Norsea Gas AS,2.26100,EUROPIPE I,124262,1025067,9999-12-31,2013-05-08
EUROPIPE,Njord Gas Infrastructure AS,8.03600,EUROPIPE I,124262,20440816,9999-12-31,2013-05-08
EUROPIPE,Statoil Petroleum AS,5.00000,EUROPIPE I,124262,17237817,9999-12-31,2013-05-08
EUROPIPE,Petoro AS,45.79300,EUROPIPE I,124262,1626839,9999-12-31,2013-05-08
EUROPIPE,DONG E&P Norge AS,0.98300,EUROPIPE I,124262,4070011,9999-12-31,2013-05-08
EUROPIPE,Infragas Norge AS,5.00600,EUROPIPE I,124262,21139140,9999-12-31,2013-05-08
EUROPIPE,RWE Dea Norge AS,0.08100,EUROPIPE I,124262,97557,9999-12-31,2013-05-08
EUROPIPE,GDF SUEZ E&P Norge AS,0.30400,EUROPIPE I,124262,5267845,9999-12-31,2013-05-08
EUROPIPE,Solveig Gas Norway AS,24.75600,EUROPIPE I,124262,21139652,9999-12-31,2013-05-08
EUROPIPE II,Solveig Gas Norway AS,24.75600,EUROPIPE II,2454909,21139652,9999-12-31,2013-05-08
EUROPIPE II,RWE Dea Norge AS,0.08100,EUROPIPE II,2454909,97557,9999-12-31,2013-05-08
EUROPIPE II,GDF SUEZ E&P Norge AS,0.30400,EUROPIPE II,2454909,5267845,9999-12-31,2013-05-08
EUROPIPE II,DONG E&P Norge AS,0.98300,EUROPIPE II,2454909,4070011,9999-12-31,2013-05-08
EUROPIPE II,Norsea Gas AS,2.26100,EUROPIPE II,2454909,1025067,9999-12-31,2013-05-08
EUROPIPE II,Petoro AS,45.79300,EUROPIPE II,2454909,1626839,9999-12-31,2013-05-08
EUROPIPE II,ConocoPhillips Skandinavia AS,1.67800,EUROPIPE II,2454909,2410696,9999-12-31,2013-05-08
EUROPIPE II,Silex Gas Norway AS,6.10200,EUROPIPE II,2454909,21139663,9999-12-31,2013-05-08
EUROPIPE II,Infragas Norge AS,5.00600,EUROPIPE II,2454909,21139140,9999-12-31,2013-05-08
EUROPIPE II,Njord Gas Infrastructure AS,8.03600,EUROPIPE II,2454909,20440816,9999-12-31,2013-05-08
EUROPIPE II,Statoil Petroleum AS,5.00000,EUROPIPE II,2454909,17237817,9999-12-31,2013-05-08
FRANPIPE,ConocoPhillips Skandinavia AS,1.67800,FRANPIPE,124202,2410696,9999-12-31,2013-05-08
FRANPIPE,Norsea Gas AS,2.26100,FRANPIPE,124202,1025067,9999-12-31,2013-05-08
FRANPIPE,Silex Gas Norway AS,6.10200,FRANPIPE,124202,21139663,9999-12-31,2013-05-08
FRANPIPE,Statoil Petroleum AS,5.00000,FRANPIPE,124202,17237817,9999-12-31,2013-05-08
FRANPIPE,Petoro AS,45.79300,FRANPIPE,124202,1626839,9999-12-31,2013-05-08
FRANPIPE,DONG E&P Norge AS,0.98300,FRANPIPE,124202,4070011,9999-12-31,2013-05-08
FRANPIPE,Infragas Norge AS,5.00600,FRANPIPE,124202,21139140,9999-12-31,2013-05-08
FRANPIPE,RWE Dea Norge AS,0.08100,FRANPIPE,124202,97557,9999-12-31,2013-05-08
FRANPIPE,GDF SUEZ E&P Norge AS,0.30400,FRANPIPE,124202,5267845,9999-12-31,2013-05-08
FRANPIPE,Solveig Gas Norway AS,24.75600,FRANPIPE,124202,21139652,9999-12-31,2013-05-08
FRANPIPE,Njord Gas Infrastructure AS,8.03600,FRANPIPE,124202,20440816,9999-12-31,2013-05-08
GJØA GAS PIPELINE,Solveig Gas Norway AS,24.75600,GJØA GASSRØR,4480765,21139652,9999-12-31,2013-05-08
GJØA GAS PIPELINE,RWE Dea Norge AS,0.08100,GJØA GASSRØR,4480765,97557,9999-12-31,2013-05-08
GJØA GAS PIPELINE,GDF SUEZ E&P Norge AS,0.30400,GJØA GASSRØR,4480765,5267845,9999-12-31,2013-05-08
GJØA GAS PIPELINE,DONG E&P Norge AS,0.98300,GJØA GASSRØR,4480765,4070011,9999-12-31,2013-05-08
