wlbName,wlbCasingType,wlbCasingDiameter,wlbCasingDepth,wlbHoleDiameter,wlbHoleDepth,wlbLotMudDencity,wlbNpdidWellbore,wlbCasingDateUpdated,dateSyncNPD
1/2-1,CONDUCTOR,30,170.0,36,171.0,0.00,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,20,645.0,26,648.0,1.69,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,13 3/8,1524.0,17 1/2,1531.0,1.82,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,9 5/8,3052.0,12 1/4,3056.0,1.88,1382,9999-12-31,2013-05-08
1/2-1,LINER,7,3569.0,8 1/2,3576.0,0.00,1382,9999-12-31,2013-05-08
1/2-2,CONDUCTOR,30,173.0,36,176.0,0.00,5192,9999-12-31,2013-05-08
1/2-2,SURF.COND.,20,697.0,24,703.0,1.61,5192,9999-12-31,2013-05-08
1/2-2,INTERM.,13 3/8,1497.0,17 1/2,1507.0,1.81,5192,9999-12-31,2013-05-08
1/2-2,OPEN HOLE,NULL,3434.0,8 1/2,3434.0,0.00,5192,9999-12-31,2013-05-08
1/3-1,CONDUCTOR,36,140.0,36,137.0,0.00,154,9999-12-31,2013-05-08
1/3-1,SURF.COND.,20,408.0,26,415.0,0.00,154,9999-12-31,2013-05-08
1/3-1,INTERM.,13 3/8,1529.0,17 1/2,1535.0,0.00,154,9999-12-31,2013-05-08
1/3-1,INTERM.,9 5/8,3118.0,12 1/4,3128.0,0.00,154,9999-12-31,2013-05-08
1/3-1,LINER,7,4585.0,8 1/2,4593.0,0.00,154,9999-12-31,2013-05-08
1/3-10,CONDUCTOR,30,215.0,36,225.0,0.00,5614,9999-12-31,2013-05-08
1/3-10,SURF.COND.,18 5/8,810.0,24,816.0,0.00,5614,9999-12-31,2013-05-08
1/3-10,INTERM.,13 3/8,1294.0,17 1/2,1300.0,1.50,5614,9999-12-31,2013-05-08
1/3-10,INTERM.,9 5/8,3153.0,12 1/4,3153.0,1.90,5614,9999-12-31,2013-05-08
1/3-10,OPEN HOLE,NULL,3158.0,8 172,3288.0,0.00,5614,9999-12-31,2013-05-08
1/3-10 A,OPEN HOLE,NULL,2276.0,8 1/2,3632.0,1.90,5779,9999-12-31,2013-05-08
1/3-11,CONDUCTOR,30,244.0,36,253.0,0.00,5806,9999-12-31,2013-05-08
1/3-11,SURF.COND.,18 5/8,812.0,24,825.0,0.00,5806,9999-12-31,2013-05-08
1/3-11,INTERM.,13 3/8,1301.0,17 1/2,1330.0,1.50,5806,9999-12-31,2013-05-08
1/3-11,INTERM.,9 5/8,3281.0,12 1/4,3285.0,1.75,5806,9999-12-31,2013-05-08
1/3-11,OPEN HOLE,NULL,3595.0,8 1/2,3595.0,1.85,5806,9999-12-31,2013-05-08
1/3-12 S,CONDUCTOR,30,212.0,36,219.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,SURF.COND.,20,1132.0,26,1150.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,INTERM.,13 3/8,4202.0,17 1/2,4207.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,INTERM.,9 5/8,5400.0,12 1/4,5412.0,0.00,6260,9999-12-31,2013-05-08
