wlbName,wlbCoreNumber,wlbCoreIntervalTop,wlbCoreIntervalBottom,wlbCoreIntervalUom,wlbTotalCoreLength,wlbNumberOfCores,wlbCoreSampleAvailable,wlbNpdidWellbore,wlbCoreDateUpdated,dateSyncNPD
1/2-1,1,10208.0,10208.4,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,2,10216.0,10233.0,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,3,0.0,0.0,NULL,56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,4,10256.0,10286.0,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,5,10286.0,10358.0,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,6,10358.0,10364.6,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,7,10368.0,10377.6,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-1,8,10368.0,10395.3,[ft  ],56.2,8,YES,1382,9999-12-31,2013-05-08
1/2-2,1,3141.5,3186.4,[m   ],44.9,1,YES,5192,9999-12-31,2013-05-08
1/3-1,1,3403.4,3422.6,[m   ],19.8,1,YES,154,9999-12-31,2013-05-08
1/3-10,1,3159.0,3231.8,[m   ],72.8,1,YES,5614,9999-12-31,2013-05-08
1/3-11,1,3288.0,3298.4,[m   ],93.7,5,YES,5806,9999-12-31,2013-05-08
1/3-11,2,3300.0,3320.5,[m   ],93.7,5,YES,5806,9999-12-31,2013-05-08
1/3-11,3,3320.6,3354.7,[m   ],93.7,5,YES,5806,9999-12-31,2013-05-08
1/3-11,4,3398.9,3411.9,[m   ],93.7,5,YES,5806,9999-12-31,2013-05-08
1/3-11,5,3412.8,3428.5,[m   ],93.7,5,YES,5806,9999-12-31,2013-05-08
1/3-12 S,1,5876.0,5884.4,[m   ],8.4,1,YES,6260,9999-12-31,2013-05-08
1/3-2,1,3589.0,3589.3,[m   ],30.0,1,YES,165,9999-12-31,2013-05-08
1/3-3,1,4129.0,4147.4,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-3,2,4181.0,4199.2,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-3,3,4199.2,4213.0,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-3,4,4213.0,4231.0,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-3,5,4231.0,4234.5,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-3,6,4234.5,4247.5,[m   ],84.9,6,YES,87,9999-12-31,2013-05-08
1/3-4,1,2817.0,2818.1,[m   ],9.9,2,YES,2,9999-12-31,2013-05-08
1/3-4,2,4805.0,4814.0,[m   ],9.9,2,YES,2,9999-12-31,2013-05-08
1/3-5,1,4805.0,4814.0,[m   ],9.0,1,YES,223,9999-12-31,2013-05-08
1/3-6,1,2921.0,2928.5,[m   ],7.5,1,YES,1521,9999-12-31,2013-05-08
1/3-7,1,3164.0,3181.7,[m   ],74.5,4,YES,2505,9999-12-31,2013-05-08
1/3-7,2,3188.0,3204.7,[m   ],74.5,4,YES,2505,9999-12-31,2013-05-08
