wlbWellboreName,wlbWell,wlbDrillingOperator,wlbDrillingOperatorGroup,wlbProductionLicence,wlbPurposePlanned,wlbContent,wlbWellType,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbPlotSymbol,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,wlbWdssQcdate,prlNpdidProductionLicence,fclNpdidFacilityDrilling,fclNpdidFacilityProducing,wlbNpdidWellboreReclass,wlbDiskosWellOperator,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
1/3-A-1 H,1/3-A-1,DONG E&P Norge AS,DONG,274,PRODUCTION,OIL,DEVELOPMENT,2011-07-22,2011-09-25,OSELVAR,3365-P,1/3-6 OSELVAR,NO,45.0,NULL,5927.0,72.0,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,OSELVAR,NST2001,NO,OIL,2011,2011,NULL,50,ED50,56,55,55.06,N,2,40,16.66,E,56.931961,2.671294,6310001.50,479994.47,31,1,3,A,1,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6612,http://www.npd.no/FactMapSearch?NPDID_wellbore=6612,initial,NULL,6612,43832,5506919,9999-12-31,2060266,278245,410592,0,DONG E&P NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-A-2 H,1/3-A-2,DONG E&P Norge AS,DONG,274,PRODUCTION,OIL,DEVELOPMENT,2011-11-18,2012-02-08,OSELVAR,3366-P,1/3-6 OSELVAR,NO,45.0,NULL,5882.0,72.0,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,OSELVAR,NST2001,NO,OIL,2011,2012,NULL,50,ED50,56,55,54.89,N,2,40,16.67,E,56.931914,2.671297,6309996.24,479994.61,31,1,3,A,2,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6613,http://www.npd.no/FactMapSearch?NPDID_wellbore=6613,initial,NULL,6613,43832,5506919,9999-12-31,2060266,278245,410592,0,DONG E&P NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-A-3 H,1/3-A-3,DONG E&P Norge AS,DONG,274,PRODUCTION,OIL,DEVELOPMENT,2012-03-04,2012-05-15,OSELVAR,3367-P,1/3-6 OSELVAR,NO,45.0,NULL,6665.0,72.0,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,OSELVAR,NST2001,NO,OIL,2012,2012,NULL,50,ED50,56,55,55.07,N,2,40,17.32,E,56.931964,2.671478,6310001.76,480005.63,31,1,3,A,3,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=6614,http://www.npd.no/FactMapSearch?NPDID_wellbore=6614,initial,NULL,6614,43832,5506919,9999-12-31,2060266,278245,410592,0,DONG E&P NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-K-1,1/3-K-1,BP Amoco Norge AS,BP,065,PRODUCTION,OIL,DEVELOPMENT,2001-05-18,2001-06-04,TAMBAR,1942-P,1/3-3 TAMBAR,NO,50.0,NULL,4502.0,67.4,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,TAMBAR,6,NO,OIL,2001,2001,1/3-9 S,50,ED50,56,58,57.97,N,2,57,31.33,E,56.982769,2.958703,6315610.11,497490.00,31,1,3,K,1,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4320,http://www.npd.no/FactMapSearch?NPDID_wellbore=4320,initial,NULL,4320,43826,1028599,9999-12-31,21316,296191,280793,3362,BP AMOCO,2012-07-25,2012-07-25,2013-05-08
1/3-K-3,1/3-K-3,BP Amoco Norge AS,BP,065,PRODUCTION,OIL,DEVELOPMENT,2001-09-08,2001-11-07,TAMBAR,2003-P,1/3-3 TAMBAR,NO,50.3,NULL,4710.0,67.4,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,TAMBAR,6,NO,OIL,2001,2001,NULL,50,ED50,56,58,58.09,N,2,57,31.51,E,56.982803,2.958753,6315613.82,497493.04,31,1,3,K,3,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4396,http://www.npd.no/FactMapSearch?NPDID_wellbore=4396,initial,NULL,4396,43826,1028599,9999-12-31,21316,296191,280793,0,BP AMOCO,2012-07-25,2012-07-25,2013-05-08
1/3-K-5,1/3-K-5,BP Norge AS,BP,065,OBSERVATION,OIL,DEVELOPMENT,2007-04-04,2007-07-01,TAMBAR ØST,2808-P,1/3-K-5 TAMBAR ØST,YES,45.0,NULL,5268.0,67.4,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,TAMBAR,6,NO,OIL,2007,2007,NULL,99,ED50,56,58,58.01,N,2,57,31.57,E,56.982781,2.958769,6315611.34,497494.05,31,1,3,K,5,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5485,http://www.npd.no/FactMapSearch?NPDID_wellbore=5485,initial,NULL,5485,4999519,4999528,9999-12-31,21316,292114,280793,0,BP NORGE,2013-01-29,2013-01-29,2013-05-08
1/3-K-5 A,1/3-K-5,BP Norge AS,BP,065,PRODUCTION,OIL,DEVELOPMENT,2007-07-02,2007-08-13,TAMBAR ØST,2809-P,1/3-K-5 TAMBAR ØST,NO,45.0,NULL,6301.0,67.4,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,TAMBAR,6,NO,OIL,2007,2007,NULL,50,ED50,56,58,58.01,N,2,57,31.57,E,56.982781,2.958769,6315611.34,497494.05,31,1,3,K,5,A,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5486,http://www.npd.no/FactMapSearch?NPDID_wellbore=5486,sidetrack,1/3-K-5,5486,4999519,4999528,9999-12-31,21316,292114,280793,0,BP NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-K-6,1/3-K-6,BP Amoco Norge AS,BP,065,PRODUCTION,OIL,DEVELOPMENT,2001-06-05,2001-09-06,TAMBAR,1945-P,1/3-3 TAMBAR,NO,50.0,NULL,5713.0,67.4,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,TAMBAR,6,NO,OIL,2001,2001,NULL,50,ED50,56,58,57.92,N,2,57,31.61,E,56.982756,2.958781,6315608.56,497494.72,31,1,3,K,6,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4325,http://www.npd.no/FactMapSearch?NPDID_wellbore=4325,initial,NULL,4325,43826,1028599,9999-12-31,21316,296191,280793,0,BP AMOCO,2012-07-25,2012-07-25,2013-05-08
1/6-A-1,1/6-A-1,Phillips Petroleum Company Norway,PHILLIPS,011,PRODUCTION,GAS,DEVELOPMENT,1978-06-25,1979-03-08,ALBUSKJELL,113-P,1/6-1 ALBUSKJELL,NO,41.0,NULL,3640.8,69.0,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,ALBUSKJELL A,1-A,NO,GAS,1978,1979,NULL,90,ED50,56,38,33.73,N,2,56,24.23,E,56.642703,2.940064,6277755.92,496324.01,31,1,6,A,1,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=526,http://www.npd.no/FactMapSearch?NPDID_wellbore=526,initial,NULL,526,43844,43437,9999-12-31,20844,271357,271357,0,PHILLIPS,2012-07-25,2012-07-25,2013-05-08
1/6-A-3,1/6-A-3,Phillips Petroleum Company Norway,PHILLIPS,011,PRODUCTION,GAS,DEVELOPMENT,1979-07-26,1979-09-17,ALBUSKJELL,154-P,1/6-1 ALBUSKJELL,NO,41.0,NULL,3641.1,69.0,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,ALBUSKJELL A,1-A,NO,GAS,1979,1979,NULL,90,ED50,56,38,33.64,N,2,56,23.9,E,56.642678,2.939972,6277753.14,496318.38,31,1,6,A,3,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=527,http://www.npd.no/FactMapSearch?NPDID_wellbore=527,initial,NULL,527,43844,43437,9999-12-31,20844,271357,271357,0,PHILLIPS,2012-07-25,2012-07-25,2013-05-08
