wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,dateSyncNPD
1/2-1,GEOCHEMICAL INFORMATION,1382_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1382_1.pdf,pdf,174,1382,9999-12-31,2013-05-08
1/2-1,GEOCHEMICAL INFORMATION,1382_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1382_2.pdf,pdf,3408,1382,9999-12-31,2013-05-08
1/2-1,OLD NPD WDSS,1382_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1382_01_WDSS_General_Information.pdf,pdf,258,1382,9999-12-31,2013-05-08
1/2-1,OLD NPD WDSS,1382_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1382_02_WDSS_completion_log.pdf,pdf,168,1382,9999-12-31,2013-05-08
1/3-1,GEOCHEMICAL INFORMATION,154_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/154_1.pdf,pdf,880,154,9999-12-31,2013-05-08
1/3-1,GEOCHEMICAL INFORMATION,154_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/154_2.pdf,pdf,1236,154,9999-12-31,2013-05-08
1/3-1,NPD PAPER,154_01_NPD_Paper_No.15_Lithology__Well_1_3_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/154_01_NPD_Paper_No.15_Lithology__Well_1_3_1.pdf,pdf,14982,154,9999-12-31,2013-05-08
1/3-1,NPD PAPER,154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1.pdf,pdf,78912,154,9999-12-31,2013-05-08
1/3-1,OLD NPD WDSS,154_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/154_01_WDSS_General_Information.pdf,pdf,212,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Completion_log.pdf,pdf,3013,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Core_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Core_report.pdf,pdf,4162,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Well_Resume,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Well_Resume.pdf,pdf,24932,154,9999-12-31,2013-05-08
1/3-11,GEOCHEMICAL INFORMATION,5806_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/5806_1.pdf,pdf,5606,5806,9999-12-31,2013-05-08
1/3-2,NPD PAPER,165_01_NPD_Paper_No.15_Lithology__Well_1_3_2,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/165_01_NPD_Paper_No.15_Lithology__Well_1_3_2.pdf,pdf,14982,165,9999-12-31,2013-05-08
1/3-2,NPD PAPER,165_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_2,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/165_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_2.pdf,pdf,64619,165,9999-12-31,2013-05-08
1/3-2,OLD NPD WDSS,165_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/165_01_WDSS_General_Information.pdf,pdf,189,165,9999-12-31,2013-05-08
1/3-2,REPORTED BY LICENSEE,165_01_1_3_2_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/165_01_1_3_2_Completion_log.pdf,pdf,2564,165,9999-12-31,2013-05-08
1/3-2,REPORTED BY LICENSEE,165_01_1_3_2_Well_Resume,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/165_01_1_3_2_Well_Resume.pdf,pdf,24932,165,9999-12-31,2013-05-08
