wlbName,wlbDstTestNumber,wlbDstFromDepth,wlbDstToDepth,wlbDstChokeSize,wlbDstFinShutInPress,wlbDstFinFlowPress,wlbDstBottomHolePress,wlbDstOilProd,wlbDstGasProd,wlbDstOilDensity,wlbDstGasDensity,wlbDstGasOilRelation,wlbNpdidWellbore,wlbDstDateUpdated,dateSyncNPD
1/2-1,1.0,3122,3137,25.4,0.000,0.000,0.000,859,57000,0.810,0.000,66,1382,9999-12-31,2013-05-08
1/3-1,1.0,4585,4602,12.5,80.000,61.000,0.000,0,1132,0.000,0.000,0,154,9999-12-31,2013-05-08
1/3-1,2.0,4565,4602,12.5,52.000,40.000,0.000,0,6626,0.000,0.000,0,154,9999-12-31,2013-05-08
1/3-1,3.0,3356,3361,12.5,70.000,50.000,0.000,0,28317,0.000,0.000,0,154,9999-12-31,2013-05-08
1/3-10,1.0,3158,3288,19.0,9.000,0.000,38.000,457,212453,0.791,0.855,465,5614,9999-12-31,2013-05-08
1/3-3,1.0,4529,4552,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,87,9999-12-31,2013-05-08
1/3-3,2.0,4233,4240,9.5,0.000,0.000,0.000,0,0,0.000,0.000,0,87,9999-12-31,2013-05-08
1/3-3,3.1,4202,4208,50.8,0.000,0.000,0.000,0,0,0.000,0.000,0,87,9999-12-31,2013-05-08
1/3-3,3.3,4211,4214,6.4,0.000,0.000,0.000,143,28000,0.829,0.820,196,87,9999-12-31,2013-05-08
1/3-6,1.0,2961,2977,17.5,0.000,3.000,0.000,78,93300,0.780,0.780,1196,1521,9999-12-31,2013-05-08
1/3-6,2.0,2913,2953,15.8,0.000,6.800,0.000,153,172500,0.771,0.735,1131,1521,9999-12-31,2013-05-08
1/3-7,1.1,3184,3216,12.5,0.000,30.000,0.000,49,16783,0.806,0.000,364,2505,2012-07-21,2013-05-08
1/3-7,2.0,3184,3220,12.5,0.000,40.000,41.000,137,37762,0.790,0.000,281,2505,2012-07-21,2013-05-08
1/5-2,1.0,3338,3363,0.0,0.000,0.000,0.000,5,0,0.870,0.000,0,238,9999-12-31,2013-05-08
1/5-2,2.0,3152,3174,21.4,0.000,0.000,0.000,500,180662,0.810,0.000,361,238,9999-12-31,2013-05-08
