wlbWellboreName,wlbWell,wlbDrillingOperator,wlbDrillingOperatorGroup,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbDiskosWellOperator,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
1/2-1,1/2-1,PHILLIPS PETROLEUM COMPANY NORWAY,PHILLIPS,143,WILDCAT,P&A,OIL,EXPLORATION,1989-03-20,1989-06-04,BLANE,604-L,1/2-1 BLANE,YES,147,PW 8303A - 10   SP. 290,2.00,22.0,0.0,3574.0,72.0,CAMPANIAN,TOR FM,NORTH SEA,ROSS ISLE,SEMISUB STEEL,12,NO,WILDCAT,1989,1989,NULL,NULL,5,FORTIES FM,PALEOCENE,NULL,NULL,NULL,NULL,77,NO,ED50,56,53,15.07,N,2,28,35.7,E,56.887519,2.476583,6305128.26,468106.29,31,1,2,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1382,http://www.npd.no/FactMapSearch?NPDID_wellbore=1382,initial,NULL,2007-12-19,1382,43814,3437650,296245,0,21956,PPCO,2012-07-25,2012-07-25,2013-05-08
1/2-2,1/2-2,Paladin Resources Norge AS,PALADIN,143 CS,WILDCAT,P&A,OIL SHOWS,EXPLORATION,2005-12-14,2006-02-02,NULL,1103-L,NULL,NO,138,inline 7429-trace 4824 Survey PGS CGMNOR,4.90,40.0,3432.0,3434.0,74.0,PALEOCENE,EKOFISK FM,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,Awarded additionaly to round 12,NO,WILDCAT,2005,2006,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,51,NO,ED50,56,59,32,N,2,29,47.66,E,56.992222,2.496572,6316774.33,469410.10,31,1,2,NULL,2,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2006/1-2-2/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5192,http://www.npd.no/FactMapSearch?NPDID_wellbore=5192,initial,NULL,2008-08-15,5192,NULL,NULL,278245,0,2424919,PALADIN,2012-07-25,2012-07-25,2013-05-08
1/3-1,1/3-1,A/S Norske Shell,SHELL,011,WILDCAT,P&A,GAS,EXPLORATION,1968-07-06,1968-11-11,NULL,15-L,1/3-1,YES,182,LINE 5651  SP. E165,18.00,26.0,0.0,4877.0,71.0,LATE PERMIAN,ZECHSTEIN GP,NORTH SEA,ORION,JACK-UP 3 LEGS,1-A,NO,WILDCAT,1968,1968,NULL,NULL,9,TOR FM,LATE CRETACEOUS,CROMER KNOLL GP,EARLY CRETACEOUS,NULL,NULL,129,NO,ED50,56,51,21,N,2,51,5,E,56.855833,2.851389,6301488.86,490936.87,31,1,3,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=154,http://www.npd.no/FactMapSearch?NPDID_wellbore=154,initial,NULL,2010-04-30,154,43820,NULL,288604,0,20844,SHELL NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-2,1/3-2,A/S Norske Shell,SHELL,011,WILDCAT,P&A,DRY,EXPLORATION,1969-05-14,1969-07-27,NULL,26-L,NULL,NO,143,LINE 5656  SP.5125,0.00,26.0,0.0,4297.0,73.0,EARLY CRETACEOUS,SOLA FM,NORTH SEA,SEDNETH I,SEMISUB STEEL,1-A,NO,WILDCAT,1969,1969,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,75,NO,ED50,56,56,10,N,2,45,0,E,56.936111,2.750000,6310443.20,484786.28,31,1,3,NULL,2,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=165,http://www.npd.no/FactMapSearch?NPDID_wellbore=165,initial,NULL,2010-04-30,165,NULL,NULL,288847,0,20844,SHELL NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-3,1/3-3,Elf Petroleum Norge AS,ELF,065,WILDCAT,P&A,OIL,EXPLORATION,1982-08-22,1983-03-24,TAMBAR,343-L,1/3-3 TAMBAR,YES,179,8186 - 216  sp264-8186-407 sp463,0.00,25.0,4875.0,4876.0,68.0,LATE PERMIAN,ZECHSTEIN GP,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,6,NO,WILDCAT,1982,1983,NULL,NULL,5,ULA FM,LATE JURASSIC,NULL,NULL,NULL,NULL,216,NO,ED50,56,57,8.56,N,2,58,54.05,E,56.952378,2.981681,6312226.32,498885.66,31,1,3,NULL,3,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=87,http://www.npd.no/FactMapSearch?NPDID_wellbore=87,initial,NULL,2010-04-30,87,43826,1028599,288334,0,21316,ELF NORGE,2012-07-25,2013-04-24,2013-05-08
1/3-4,1/3-4,Elf Petroleum Norge AS,ELF,065,WILDCAT,P&A,OIL SHOWS,EXPLORATION,1983-02-15,1983-05-08,NULL,361-L,NULL,NO,144,8186 - 208 AND 8186 - 421 crossing of lines,0.00,25.0,3198.0,3198.0,72.0,LATE PERMIAN,ZECHSTEIN GP,NORTH SEA,DYVI ALPHA,SEMISUB STEEL,6,NO,WILDCAT,1983,1983,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,83,NO,ED50,56,56,39.21,N,2,43,0.23,E,56.944225,2.716731,6311354.32,482765.43,31,1,3,NULL,4,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2,http://www.npd.no/FactMapSearch?NPDID_wellbore=2,initial,NULL,2010-04-30,2,NULL,NULL,297514,0,21316,ELF NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-5,1/3-5,A/S Norske Shell,SHELL,011,WILDCAT,P&A,DRY,EXPLORATION,1984-10-01,1985-02-11,NULL,435-L,NULL,NO,172,79111  SP. 527,0.00,35.0,4850.0,4850.0,71.0,EARLY PERMIAN,ROTLIEGEND GP,NORTH SEA,NEDDRILL TRIGON,JACK-UP 3 LEGS,1-A,NO,WILDCAT,1984,1985,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,134,NO,ED50,56,46,16.02,N,2,53,38.85,E,56.771117,2.894125,6292053.66,493528.57,31,1,3,NULL,5,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=223,http://www.npd.no/FactMapSearch?NPDID_wellbore=223,initial,NULL,2006-02-15,223,NULL,NULL,296947,0,20844,SHELL NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-6,1/3-6,Elf Petroleum Norge AS,ELF,065,WILDCAT,P&A,GAS/CONDENSATE,EXPLORATION,1991-03-11,1991-06-22,OSELVAR,669-L,1/3-6 OSELVAR,YES,142,LINJE SH 8902 - 161   SP436,4.50,25.0,3584.0,3586.0,72.0,LATE CRETACEOUS,HOD FM,NORTH SEA,DYVI STENA,SEMISUB STEEL,6,NO,WILDCAT,1991,1991,NULL,NULL,17,FORTIES FM,PALEOCENE,NULL,NULL,NULL,NULL,105,NO,ED50,56,56,14.92,N,2,42,20.81,E,56.937478,2.705781,6310606.04,482095.98,31,1,3,NULL,6,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1521,http://www.npd.no/FactMapSearch?NPDID_wellbore=1521,initial,NULL,2007-12-19,1521,43832,5506919,290980,0,21316,ELF NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-7,1/3-7,Elf Petroleum Norge AS,ELF,065,APPRAISAL,P&A,OIL,EXPLORATION,1995-02-13,1995-05-25,OSELVAR,804-L,1/3-6 OSELVAR,NO,136,BPN 9202  inline 1084 & xline3062,7.00,42.0,3342.0,3345.0,72.0,PALEOCENE,VÅLE FM,NORTH SEA,WEST EPSILON,JACK-UP 3 LEGS,6,NO,APPRAISAL,1995,1995,NULL,NULL,5,FORTIES FM,PALEOCENE,NULL,NULL,NULL,NULL,102,NO,ED50,56,56,25.15,N,2,40,34.61,E,56.940319,2.676281,6310930.49,480302.33,31,1,3,NULL,7,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2505,http://www.npd.no/FactMapSearch?NPDID_wellbore=2505,initial,NULL,2010-04-30,2505,43832,5506919,296110,0,21316,ELF NORGE,2012-07-25,2012-07-25,2013-05-08
1/3-8,1/3-8,Amoco Norway Oil Company,AMOCO,011,WILDCAT,P&A,SHOWS,EXPLORATION,1996-12-12,1997-05-27,NULL,855-L,NULL,NO,179,RANDOM LINES SH 9201 S1 OG S2,4.00,41.0,5199.0,5201.0,70.0,TRIASSIC,SMITH BANK FM,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,1-A,NO,WILDCAT,1996,1997,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,167,NO,ED50,56,52,7.14,N,2,53,20.75,E,56.868650,2.889097,6302911.22,493238.84,31,1,3,NULL,8,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2829,http://www.npd.no/FactMapSearch?NPDID_wellbore=2829,initial,NULL,2010-04-30,2829,NULL,NULL,296191,0,20844,AMOCO,2013-04-21,2013-04-21,2013-05-08
