wlbName,lsuTopDepth,lsuBottomDepth,lsuName,lsuLevel,lsuNameParent,wlbNpdidWellbore,lsuNpdidLithoStrat,lsuNpdidLithoStratParent,lsuWellboreUpdatedDate,dateSyncNPD
9/8-1,98,568,NORDLAND GP,GROUP,NULL,145,113,NULL,9999-12-31,2013-05-08
9/8-1,1597,1625,BLODØKS FM,FORMATION,SHETLAND GP,145,13,143,9999-12-31,2013-05-08
9/8-1,1120,1275,ROGALAND GP,GROUP,NULL,145,131,NULL,9999-12-31,2013-05-08
9/8-1,1625,1695,RØDBY FM,FORMATION,CROMER KNOLL GP,145,137,23,9999-12-31,2013-05-08
9/8-1,1922,2109,SANDNES FM,FORMATION,VESTLAND GP,145,139,186,9999-12-31,2013-05-08
9/8-1,1140,1177,SELE FM,FORMATION,ROGALAND GP,145,142,131,9999-12-31,2013-05-08
9/8-1,1275,1625,SHETLAND GP,GROUP,NULL,145,143,NULL,9999-12-31,2013-05-08
9/8-1,1777,1922,BOKNFJORD GP,GROUP,NULL,145,15,NULL,9999-12-31,2013-05-08
9/8-1,1300,1530,TOR FM,FORMATION,SHETLAND GP,145,171,143,9999-12-31,2013-05-08
9/8-1,1922,2109,VESTLAND GP,GROUP,NULL,145,186,NULL,9999-12-31,2013-05-08
9/8-1,1233,1275,VÅLE FM,FORMATION,ROGALAND GP,145,190,131,9999-12-31,2013-05-08
9/8-1,2109,2176,ZECHSTEIN GP,GROUP,NULL,145,194,NULL,9999-12-31,2013-05-08
9/8-1,1695,1777,ÅSGARD FM,FORMATION,CROMER KNOLL GP,145,198,23,9999-12-31,2013-05-08
9/8-1,1777,1825,BØRGLUM UNIT,FORMATION,BOKNFJORD GP,145,21,15,9999-12-31,2013-05-08
9/8-1,1625,1777,CROMER KNOLL GP,GROUP,NULL,145,23,NULL,9999-12-31,2013-05-08
9/8-1,1825,1922,EGERSUND FM,FORMATION,BOKNFJORD GP,145,30,15,9999-12-31,2013-05-08
9/8-1,1275,1300,EKOFISK FM,FORMATION,SHETLAND GP,145,33,143,9999-12-31,2013-05-08
9/8-1,1120,1140,BALDER FM,FORMATION,ROGALAND GP,145,6,131,9999-12-31,2013-05-08
9/8-1,1530,1597,HOD FM,FORMATION,SHETLAND GP,145,66,143,9999-12-31,2013-05-08
9/8-1,568,1120,HORDALAND GP,GROUP,NULL,145,67,NULL,9999-12-31,2013-05-08
9/8-1,1177,1233,LISTA FM,FORMATION,ROGALAND GP,145,95,131,9999-12-31,2013-05-08
9/4-5,607,1077,HORDALAND GP,GROUP,NULL,5134,67,NULL,9999-12-31,2013-05-08
9/4-5,1134,1210,LISTA FM,FORMATION,ROGALAND GP,5134,95,131,9999-12-31,2013-05-08
9/4-5,1077,1098,BALDER FM,FORMATION,ROGALAND GP,5134,6,131,9999-12-31,2013-05-08
9/4-5,2300,2387,FLEKKEFJORD FM,FORMATION,BOKNFJORD GP,5134,43,15,9999-12-31,2013-05-08
9/4-5,2654,2703,EGERSUND FM,FORMATION,BOKNFJORD GP,5134,30,15,9999-12-31,2013-05-08
9/4-5,1261,1397,EKOFISK FM,FORMATION,SHETLAND GP,5134,33,143,9999-12-31,2013-05-08
9/4-5,2006,2300,CROMER KNOLL GP,GROUP,NULL,5134,23,NULL,9999-12-31,2013-05-08
9/4-5,2836,5224,NO GROUP DEFINED,GROUP,NULL,5134,208,NULL,9999-12-31,2013-05-08
9/4-5,5838,5881,UNDEFINED GP,GROUP,NULL,5134,191,NULL,9999-12-31,2013-05-08
9/4-5,5224,5279,ZECHSTEIN GP,GROUP,NULL,5134,194,NULL,9999-12-31,2013-05-08
9/4-5,1210,1261,VÅLE FM,FORMATION,ROGALAND GP,5134,190,131,9999-12-31,2013-05-08
9/4-5,2783,2836,BRYNE FM,FORMATION,VESTLAND GP,5134,19,186,9999-12-31,2013-05-08
9/4-5,2703,2836,VESTLAND GP,GROUP,NULL,5134,186,NULL,9999-12-31,2013-05-08
9/4-5,1397,2006,TOR FM,FORMATION,SHETLAND GP,5134,171,143,9999-12-31,2013-05-08
9/4-5,2603,2654,TAU FM,FORMATION,BOKNFJORD GP,5134,164,15,9999-12-31,2013-05-08
9/4-5,4638,5224,SMITH BANK FM,FORMATION,HEGRE GP,5134,149,61,9999-12-31,2013-05-08
9/4-5,2836,4638,SKAGERRAK FM,FORMATION,HEGRE GP,5134,146,61,9999-12-31,2013-05-08
9/4-5,2300,2703,BOKNFJORD GP,GROUP,NULL,5134,15,NULL,9999-12-31,2013-05-08
9/4-5,1098,1134,SELE FM,FORMATION,ROGALAND GP,5134,142,131,9999-12-31,2013-05-08
9/4-5,1261,2006,SHETLAND GP,GROUP,NULL,5134,143,NULL,9999-12-31,2013-05-08
