logFileName,wlbWellboreName,logFileId,wlbNpdidWellbore
4C-SINAS__1000-1__30-9-14__COMP-MWD__1.LAS,30/9-14,136,2076
4C-SINAS__1001-1__30-9-14__WLC_COMPOSITE__1.LAS,30/9-14,137,2076
4C-SINAS__2973-1__30-9-14__CPI-INPUT__1.LAS,30/9-14,555,2076
4C-SINAS__2974-1__30-9-14__CPI__1.LAS,30/9-14,556,2076
4C-SINAS__2975-1__30-9-14__WELLPATH__1.LAS,30/9-14,557,2076
4C-SINAS__2976-1__30-9-14__CORE__1.LAS,30/9-14,558,2076
4C-SINAS__2977-1__30-9-14__CORE__2.LAS,30/9-14,559,2076
4C-SINAS__2978-1__30-9-14__VELOCITY_TZV__1.LAS,30/9-14,560,2076
4C-SINAS__2979-1__30-9-14__VELOCITY_TZV-TIME__1.LAS,30/9-14,561,2076
4C-SINAS__2981-1__30-9-14__FORM-PRESSURE__1.LAS,30/9-14,562,2076
4C-SINAS__999-1__30-9-14__WLC_COMPOSITE__2.LAS,30/9-14,814,2076
4C-SINAS__1026-1__2-4-18_R__CPI__1.LAS,2/4-18 R,138,2253
STH_09__3913-1__2-4-18_R__WLC_COMPOSITE__1.LAS,2/4-18 R,19991,2253
4C-SINAS__1028-1__25-8-7__CPI-INPUT__1.LAS,25/8-7,139,2612
4C-SINAS__1029-1__25-8-7__CPI__1.LAS,25/8-7,140,2612
4C-SINAS__140-1__25-8-7__COMPOSITE__1.LAS,25/8-7,219,2612
4C-SINAS__1032-1__30-9-15__COMPOSITE__1.LAS,30/9-15,141,2223
4C-SINAS__1033-1__30-9-15__COMP-MWD__1.LAS,30/9-15,142,2223
4C-SINAS__1034-1__30-9-15__COMP-WIRELINE__1.LAS,30/9-15,143,2223
4C-SINAS__2983-1__30-9-15__CPI-INPUT__1.LAS,30/9-15,563,2223
4C-SINAS__2984-1__30-9-15__CPI__1.LAS,30/9-15,564,2223
4C-SINAS__2985-1__30-9-15__WELLPATH__1.LAS,30/9-15,565,2223
4C-SINAS__2986-1__30-9-15__CORE__1.LAS,30/9-15,566,2223
4C-SINAS__2987-1__30-9-15__FORM-PRESSURE__1.LAS,30/9-15,567,2223
4C-SINAS__3304-1__30-9-15__VELOCITY_TZV__1.LAS,30/9-15,645,2223
4C-SINAS__3305-1__30-9-15__VELOCITY_TZV__2.LAS,30/9-15,646,2223
4C-SINAS__1037-1__30-9-16__COMPOSITE__1.LAS,30/9-16,144,2361
4C-SINAS__1038-1__30-9-16__COMP-MWD__1.LAS,30/9-16,145,2361
4C-SINAS__1039-1__30-9-16__COMP-WIRELINE__1.LAS,30/9-16,146,2361
4C-SINAS__2992-1__30-9-16__CPI-INPUT__1.LAS,30/9-16,568,2361
4C-SINAS__2993-1__30-9-16__CPI__1.LAS,30/9-16,569,2361
4C-SINAS__2994-1__30-9-16__CPI__2.LAS,30/9-16,570,2361
4C-SINAS__2995-1__30-9-16__WELLPATH__1.LAS,30/9-16,571,2361
4C-SINAS__2996-1__30-9-16__CORE__1.LAS,30/9-16,572,2361
4C-SINAS__2997-1__30-9-16__CORE__2.LAS,30/9-16,573,2361
4C-SINAS__2998-1__30-9-16__VELOCITY_TZV__1.LAS,30/9-16,574,2361
4C-SINAS__2999-1__30-9-16__VELOCITY_TZV-TIME__1.LAS,30/9-16,575,2361
4C-SINAS__1042-1__30-9-18__COMPOSITE__1.LAS,30/9-18,147,2552
4C-SINAS__1043-1__30-9-18__COMP-MWD__1.LAS,30/9-18,148,2552
4C-SINAS__1044-1__30-9-18__COMP-WIRELINE__1.LAS,30/9-18,149,2552
4C-SINAS__3001-1__30-9-18__CPI-INPUT__1.LAS,30/9-18,576,2552
4C-SINAS__3002-1__30-9-18__CPI__1.LAS,30/9-18,577,2552
4C-SINAS__3003-1__30-9-18__WELLPATH__1.LAS,30/9-18,578,2552
4C-SINAS__3004-1__30-9-18__VELOCITY_TZV__1.LAS,30/9-18,579,2552
4C-SINAS__3005-1__30-9-18__VELOCITY_TZV-TIME__1.LAS,30/9-18,580,2552
4C-SINAS__3006-1__30-9-18__FORM-PRESSURE__1.LAS,30/9-18,581,2552
4C-SINAS__1047-1__31-2-19_S__COMPOSITE__1.LAS,31/2-19 S,150,2798
4C-SINAS__1048-1__31-2-19_S__COMP-MWD__1.LAS,31/2-19 S,151,2798
4C-SINAS__1049-1__31-2-19_S__COMP-WIRELINE__1.LAS,31/2-19 S,152,2798
4C-SINAS__3010-1__31-2-19_S__WELLPATH__1.LAS,31/2-19 S,582,2798
4C-SINAS__3012-1__31-2-19_S__VELOCITY_TZV__1.LAS,31/2-19 S,583,2798
4C-SINAS__3013-1__31-2-19_S__VELOCITY_TZV-TIME__1.LAS,31/2-19 S,584,2798
4C-SINAS__1053-1__31-4-10__COMPOSITE__1.LAS,31/4-10,153,2617
4C-SINAS__1054-1__31-4-10__COMP-MWD__1.LAS,31/4-10,154,2617
4C-SINAS__1055-1__31-4-10__COMP-WIRELINE__1.LAS,31/4-10,155,2617
4C-SINAS__1056-1__31-4-10__COMP-WIRELINE__2.LAS,31/4-10,156,2617
4C-SINAS__3020-1__31-4-10__WELLPATH__1.LAS,31/4-10,585,2617
4C-SINAS__3022-1__31-4-10__VELOCITY_TZV__1.LAS,31/4-10,586,2617
4C-SINAS__3023-1__31-4-10__VELOCITY_TZV-TIME__1.LAS,31/4-10,587,2617
4C-SINAS__1061-1__33-6-2__COMPOSITE__1.LAS,33/6-2,157,2873
4C-SINAS__1062-1__33-6-2__COMP-MWD__1.LAS,33/6-2,158,2873
4C-SINAS__1063-1__33-6-2__COMP-WIRELINE__1.LAS,33/6-2,159,2873
4C-SINAS__1064-1__33-6-2__COMP-WIRELINE__2.LAS,33/6-2,160,2873
4C-SINAS__1065-1__33-6-2__COMP-WIRELINE__3.LAS,33/6-2,161,2873
4C-SINAS__1066-1__33-6-2__COMP-WIRELINE__4.LAS,33/6-2,162,2873
4C-SINAS__1070-1__3-4-1__COMPOSITE__1.LAS,3/4-1,163,2222
4C-SINAS__1071-1__3-4-1__COMP-MWD__1.LAS,3/4-1,164,2222
4C-SINAS__1072-1__3-4-1__COMP-WIRELINE__1.LAS,3/4-1,165,2222
4C-SINAS__1073-1__3-4-1__COMP-WIRELINE__2.LAS,3/4-1,166,2222
4C-SINAS__2906-1__3-4-1__CPI-INPUT__1.LAS,3/4-1,523,2222
4C-SINAS__2907-1__3-4-1__CPI-INPUT__2.LAS,3/4-1,524,2222
4C-SINAS__2908-1__3-4-1__CPI-INPUT__3.LAS,3/4-1,525,2222
4C-SINAS__2909-1__3-4-1__CPI__1.LAS,3/4-1,526,2222
4C-SINAS__2910-1__3-4-1__CPI__2.LAS,3/4-1,527,2222
4C-SINAS__2911-1__3-4-1__CPI__3.LAS,3/4-1,528,2222
4C-SINAS__2912-1__3-4-1__WELLPATH__1.LAS,3/4-1,529,2222
4C-SINAS__2913-1__3-4-1__CORE__1.LAS,3/4-1,530,2222
4C-SINAS__2914-1__3-4-1__CORE__2.LAS,3/4-1,531,2222
4C-SINAS__2915-1__3-4-1__VELOCITY_TZV__1.LAS,3/4-1,532,2222
4C-SINAS__2916-1__3-4-1__FORM-PRESSURE__1.LAS,3/4-1,533,2222
4C-SINAS__1076-1__34-7-23_A__COMPOSITE__1.LAS,34/7-23 A,167,2326
4C-SINAS__1077-1__34-7-23_A__COMP-WIRELINE__1.LAS,34/7-23 A,168,2326
4C-SINAS__3046-1__34-7-23_A__CPI-INPUT__1.LAS,34/7-23 A,591,2326
4C-SINAS__3047-1__34-7-23_A__CPI-INPUT__2.LAS,34/7-23 A,592,2326
4C-SINAS__3048-1__34-7-23_A__CPI__1.LAS,34/7-23 A,593,2326
4C-SINAS__3049-1__34-7-23_A__WELLPATH__1.LAS,34/7-23 A,594,2326
4C-SINAS__3050-1__34-7-23_A__CORE__1.LAS,34/7-23 A,595,2326
4C-SINAS__3051-1__34-7-23_A__VELOCITY_TZV__1.LAS,34/7-23 A,596,2326
4C-SINAS__3052-1__34-7-23_A__FORM-PRESSURE__1.LAS,34/7-23 A,597,2326
STA_04__2905-1__34-7-23_A__WLC_COMPOSITE__1.LAS,34/7-23 A,18845,2326
STA_04__2906-1__34-7-23_A__WLC_PETRO_COMPOSITE__1.LAS,34/7-23 A,18846,2326
STA_04__2907-1__34-7-23_A__WLC_PETRO_COMPOSITE__2.LAS,34/7-23 A,18847,2326
STA_04__2908-1__34-7-23_A__WLC_PETRO_COMPOSITE__3.LAS,34/7-23 A,18848,2326
STA_04__2909-1__34-7-23_A__WLC_PETRO_COMPOSITE__4.LAS,34/7-23 A,18849,2326
STA_04__2910-1__34-7-23_A__WLC_PETRO_COMPUTED_INPUT__1.LAS,34/7-23 A,18850,2326
STA_04__2911-1__34-7-23_A__WLC_PETRO_COMPUTED_INPUT__2.LAS,34/7-23 A,18851,2326
STA_04__2912-1__34-7-23_A__WLC_PETRO_COMPUTED_OUTPUT__1.LAS,34/7-23 A,18852,2326
STA_04__2913-1__34-7-23_A__VELOCITY_TZV_DEPTH_COMP__1.LAS,34/7-23 A,18853,2326
STA_04__2914-1__34-7-23_A__WELLPATH_COMPUTED__1.LAS,34/7-23 A,18854,2326
STA_04__4495-1__34-7-23_A__CORE_CONV_COMPUTED__1.LAS,34/7-23 A,19099,2326
4C-SINAS__1080-1__34-7-23_S__COMPOSITE__1.LAS,34/7-23 S,169,2296
4C-SINAS__1081-1__34-7-23_S__COMP-WIRELINE__1.LAS,34/7-23 S,170,2296
4C-SINAS__3054-1__34-7-23_S__CPI-INPUT__1.LAS,34/7-23 S,598,2296
4C-SINAS__3055-1__34-7-23_S__CPI-INPUT__2.LAS,34/7-23 S,599,2296
4C-SINAS__3056-1__34-7-23_S__CPI__1.LAS,34/7-23 S,600,2296
4C-SINAS__3057-1__34-7-23_S__WELLPATH__1.LAS,34/7-23 S,601,2296
4C-SINAS__3058-1__34-7-23_S__CORE__1.LAS,34/7-23 S,602,2296
4C-SINAS__3059-1__34-7-23_S__VELOCITY_TZV__1.LAS,34/7-23 S,603,2296
4C-SINAS__3060-1__34-7-23_S__VELOCITY_TZV__2.LAS,34/7-23 S,604,2296
4C-SINAS__3061-1__34-7-23_S__FORM-PRESSURE__1.LAS,34/7-23 S,605,2296
STA_04__2936-1__34-7-23_S__WLC_COMPOSITE__1.LAS,34/7-23 S,18860,2296
STA_04__2937-1__34-7-23_S__WLC_PETRO_COMPOSITE__1.LAS,34/7-23 S,18861,2296
STA_04__2938-1__34-7-23_S__WLC_PETRO_COMPOSITE__2.LAS,34/7-23 S,18862,2296
STA_04__2939-1__34-7-23_S__WLC_PETRO_COMPOSITE__3.LAS,34/7-23 S,18863,2296
STA_04__2940-1__34-7-23_S__WLC_PETRO_COMPOSITE__4.LAS,34/7-23 S,18864,2296
STA_04__2941-1__34-7-23_S__WLC_PETRO_COMPOSITE__5.LAS,34/7-23 S,18865,2296
STA_04__2942-1__34-7-23_S__WLC_PETRO_COMPUTED_INPUT__1.LAS,34/7-23 S,18866,2296
STA_04__2943-1__34-7-23_S__WLC_PETRO_COMPUTED_INPUT__2.LAS,34/7-23 S,18867,2296
STA_04__2944-1__34-7-23_S__WLC_PETRO_COMPUTED_OUTPUT__1.LAS,34/7-23 S,18868,2296
STA_04__2945-1__34-7-23_S__VELOCITY_TZV_DEPTH_COMP__1.LAS,34/7-23 S,18869,2296
STA_04__2946-1__34-7-23_S__WELLPATH_COMPUTED__1.LAS,34/7-23 S,18870,2296
STA_04__4494-1__34-7-23_S__CORE_CONV_COMPUTED__1.LAS,34/7-23 S,19098,2296
4C-SINAS__1084-1__34-7-24_S__COMPOSITE__1.LAS,34/7-24 S,171,2460
4C-SINAS__3471-1__34-7-24_S__WELLPATH__1.LAS,34/7-24 S,679,2460
4C-SINAS__3473-1__34-7-24_S__VELOCITY_TZV__1.LAS,34/7-24 S,680,2460
4C-SINAS__3474-1__34-7-24_S__VELOCITY_TZV__2.LAS,34/7-24 S,681,2460
4C-SINAS__3475-1__34-7-24_S__VELOCITY_TZV-TIME__1.LAS,34/7-24 S,682,2460
4C-SINAS__1087-1__34-7-25_S__COMPOSITE__1.LAS,34/7-25 S,172,2863
4C-SINAS__1088-1__34-7-25_S__COMP-MWD__1.LAS,34/7-25 S,173,2863
4C-SINAS__1089-1__34-7-25_S__COMP-WIRELINE__1.LAS,34/7-25 S,174,2863
4C-SINAS__1090-1__34-7-25_S__COMP-WIRELINE__2.LAS,34/7-25 S,175,2863
4C-SINAS__3029-1__34-7-25_S__WELLPATH__1.LAS,34/7-25 S,588,2863
4C-SINAS__3031-1__34-7-25_S__VELOCITY_TZV__1.LAS,34/7-25 S,589,2863
