wlbName,wlbMD,wlbMudWeightAtMD,wlbMudViscosityAtMD,wlbYieldPointAtMD,wlbMudType,wlbMudDateMeasured,wlbNpdidWellbore,wlbMudDateUpdated,dateSyncNPD
1/2-1,171,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,279,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,546,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,564,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,648,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,650,1.04,0.0,0.0,WATER BASED,1989-03-29,1382,9999-12-31,2013-05-08
1/2-1,651,1.05,14.0,5.7,WATER BASED,1989-03-30,1382,9999-12-31,2013-05-08
1/2-1,1197,1.16,62.0,1.9,WATER BASED,1989-03-31,1382,9999-12-31,2013-05-08
1/2-1,1531,1.44,35.0,3.8,WATER BASED,1989-04-03,1382,9999-12-31,2013-05-08
1/2-1,1531,1.44,8.0,16.3,WATER BASED,1989-04-03,1382,9999-12-31,2013-05-08
1/2-1,1531,1.44,9.0,14.4,WATER BASED,1989-04-03,1382,9999-12-31,2013-05-08
1/2-1,1531,1.44,21.0,3.4,WATER BASED,1989-04-04,1382,9999-12-31,2013-05-08
1/2-1,1783,1.44,20.0,3.8,WATER BASED,1989-04-05,1382,9999-12-31,2013-05-08
1/2-1,2199,1.50,23.0,10.5,WATER BASED,1989-04-06,1382,9999-12-31,2013-05-08
1/2-1,2504,1.53,20.0,9.6,WATER BASED,1989-04-07,1382,9999-12-31,2013-05-08
1/2-1,2906,1.58,19.0,11.0,WATER BASED,1989-04-10,1382,9999-12-31,2013-05-08
1/2-1,3050,1.62,11.0,7.7,WATER BASED,1989-04-10,1382,9999-12-31,2013-05-08
1/2-1,3056,1.62,15.0,7.7,WATER BASED,1989-04-11,1382,9999-12-31,2013-05-08
1/2-1,3056,1.62,15.0,7.7,WATER BASED,1989-04-11,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,11.0,5.7,WATER BASED,1989-04-12,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,13.0,5.7,WATER BASED,1989-04-14,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,13.0,4.8,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,13.0,4.8,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,13.0,4.8,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3056,1.64,12.0,5.7,WATER BASED,1989-04-13,1382,9999-12-31,2013-05-08
1/2-1,3056,1.62,14.0,7.2,WATER BASED,1989-04-10,1382,9999-12-31,2013-05-08
1/2-1,3059,1.61,18.0,6.2,WATER BASED,1989-04-27,1382,9999-12-31,2013-05-08
1/2-1,3071,1.61,15.0,4.8,WATER BASED,1989-04-26,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,16.0,8.1,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,14.0,7.7,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,14.0,7.7,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,16.0,8.1,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,14.0,7.7,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3109,1.64,16.0,8.1,WATER BASED,1989-04-17,1382,9999-12-31,2013-05-08
1/2-1,3114,1.64,16.0,7.2,WATER BASED,1989-04-19,1382,9999-12-31,2013-05-08
1/2-1,3117,1.61,18.0,6.7,WATER BASED,1989-04-28,1382,9999-12-31,2013-05-08
1/2-1,3125,1.64,19.0,8.1,WATER BASED,1989-04-19,1382,9999-12-31,2013-05-08
1/2-1,3126,1.63,19.0,6.7,WATER BASED,1989-04-20,1382,9999-12-31,2013-05-08
1/2-1,3144,1.61,21.0,4.8,WATER BASED,1989-05-02,1382,9999-12-31,2013-05-08
1/2-1,3154,1.62,20.0,5.7,WATER BASED,1989-04-21,1382,9999-12-31,2013-05-08
1/2-1,3160,1.61,21.0,6.7,WATER BASED,1989-04-24,1382,9999-12-31,2013-05-08
1/2-1,3160,1.61,21.0,6.7,WATER BASED,1989-05-02,1382,9999-12-31,2013-05-08
1/2-1,3164,1.61,19.0,5.7,WATER BASED,1989-04-26,1382,9999-12-31,2013-05-08
1/2-1,3164,1.61,18.0,6.2,WATER BASED,1989-04-24,1382,9999-12-31,2013-05-08
1/2-1,3164,1.61,18.0,5.7,WATER BASED,1989-04-24,1382,9999-12-31,2013-05-08
1/2-1,3170,1.61,22.0,6.2,WATER BASED,1989-05-02,1382,9999-12-31,2013-05-08
1/2-1,3185,1.09,6.0,5.3,WATER BASED,1989-05-22,1382,9999-12-31,2013-05-08
1/2-1,3247,1.58,23.0,6.2,WATER BASED,1989-05-02,1382,9999-12-31,2013-05-08
1/2-1,3320,1.56,22.0,5.3,WATER BASED,1989-05-03,1382,9999-12-31,2013-05-08
1/2-1,3361,1.57,21.0,7.7,WATER BASED,1989-05-08,1382,9999-12-31,2013-05-08
1/2-1,3361,1.57,22.0,10.5,WATER BASED,1989-05-08,1382,9999-12-31,2013-05-08
1/2-1,3361,1.56,20.0,7.7,WATER BASED,1989-05-05,1382,9999-12-31,2013-05-08
1/2-1,3361,1.56,22.0,7.2,WATER BASED,1989-05-05,1382,9999-12-31,2013-05-08
1/2-1,3384,1.57,21.0,8.1,WATER BASED,1989-05-08,1382,9999-12-31,2013-05-08
1/2-1,3460,1.56,19.0,7.7,WATER BASED,1989-05-10,1382,9999-12-31,2013-05-08
1/2-1,3488,1.57,21.0,7.7,WATER BASED,1989-05-10,1382,9999-12-31,2013-05-08
1/2-1,3517,1.59,17.0,6.7,WATER BASED,1989-05-19,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,14.0,4.3,WATER BASED,1989-05-23,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,13.0,3.8,WATER BASED,1989-05-24,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,12.0,2.9,WATER BASED,1989-05-29,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,12.0,2.9,WATER BASED,1989-05-29,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,12.0,3.8,WATER BASED,1989-05-29,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,16.0,3.8,WATER BASED,1989-05-30,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,12.0,3.8,WATER BASED,1989-05-26,1382,9999-12-31,2013-05-08
1/2-1,3517,1.44,14.0,3.8,WATER BASED,1989-06-01,1382,9999-12-31,2013-05-08
1/2-1,3517,1.44,14.0,3.8,WATER BASED,1989-05-31,1382,9999-12-31,2013-05-08
1/2-1,3517,1.44,0.0,0.0,WATER BASED,1989-06-05,1382,9999-12-31,2013-05-08
1/2-1,3517,1.59,17.0,5.7,WATER BASED,1989-05-22,1382,9999-12-31,2013-05-08
1/2-1,3517,1.38,13.0,0.0,WATER BASED,1989-05-25,1382,9999-12-31,2013-05-08
1/2-1,3529,1.56,18.0,8.6,WATER BASED,1989-05-11,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,22.0,8.1,WATER BASED,1989-05-16,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,21.0,8.6,WATER BASED,1989-05-16,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,21.0,8.1,WATER BASED,1989-05-16,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,21.0,8.6,WATER BASED,1989-05-18,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,19.0,8.1,WATER BASED,1989-05-18,1382,9999-12-31,2013-05-08
1/2-1,3574,1.59,17.0,7.7,WATER BASED,1989-05-18,1382,9999-12-31,2013-05-08
1/2-1,3574,1.57,19.0,8.1,WATER BASED,1989-05-12,1382,9999-12-31,2013-05-08
1/2-2,130,1.55,88.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,176,1.50,0.0,0.0,WATER BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,466,1.12,31.0,0.0,WATER BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,703,1.14,0.0,0.0,WATER BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,1377,1.55,88.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,1492,1.55,85.0,0.0,WATER BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,1707,1.54,0.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,2838,1.54,0.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,2960,1.58,85.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/2-2,3434,1.58,76.0,0.0,OIL BASED,9999-12-31,5192,9999-12-31,2013-05-08
1/3-1,415,1.07,42.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,861,1.12,48.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,1218,1.13,43.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,1534,1.18,45.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,2034,1.31,49.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,2455,1.34,46.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,3127,1.53,48.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,3409,1.56,47.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-1,4220,1.60,48.0,0.0,waterbased,9999-12-31,154,9999-12-31,2013-05-08
1/3-10,211,1.04,10.0,0.0,SPUD MUD,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,225,1.04,10.0,0.0,SPUD MUD,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,426,1.04,21.0,0.0,SPUD MUD,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,805,1.04,11.0,0.0,SPUD MUD,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,816,1.20,15.0,0.0,SPUD MUD,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,1252,0.00,0.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,1300,1.75,49.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,1300,1.30,17.0,0.0,POLYMER,9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,1732,1.75,47.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,1964,1.75,49.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,2272,1.60,46.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,2920,1.75,46.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,2949,1.75,513.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,2954,1.73,41.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3126,1.73,49.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3158,1.75,46.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3176,1.73,47.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3232,1.39,35.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3288,1.39,37.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3288,1.39,34.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3355,1.71,46.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3382,1.68,46.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3537,1.66,49.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-10,3632,1.66,47.0,0.0,OIL (REGULAR),9999-12-31,5614,9999-12-31,2013-05-08
1/3-11,825,1.20,0.0,0.0,SW/PHB,9999-12-31,5806,9999-12-31,2013-05-08
1/3-11,1306,1.70,0.0,0.0,KCL-Polymer,9999-12-31,5806,9999-12-31,2013-05-08
1/3-11,3595,1.72,0.0,0.0,Carbo OBM,9999-12-31,5806,9999-12-31,2013-05-08
1/3-12 S,219,1.60,16.0,0.0,Gel-Chem,9999-12-31,6260,9999-12-31,2013-05-08
1/3-12 S,219,1.03,17.0,0.0,Gel-Chem,9999-12-31,6260,9999-12-31,2013-05-08
