wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
1/2-1,DST,DST1,3122.30,3137.00,NULL,1989-05-27,1991-09-09,1382,9999-12-31,2013-05-08
1/3-10,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,5614,9999-12-31,2013-05-08
1/3-11,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,5806,9999-12-31,2013-05-08
1/3-3,DST,DST3A,4202.00,4208.00,WATER,1983-03-06,1991-10-28,87,9999-12-31,2013-05-08
1/3-3,DST,"DST0,1    ",0.00,0.00,NULL,1983-02-20,1991-10-28,87,9999-12-31,2013-05-08
1/3-3,DST,TEST1,4529.00,4552.00,NULL,1983-08-02,1995-08-09,87,9999-12-31,2013-05-08
1/3-3,DST,"DST0,2    ",4240.00,4233.00,NULL,1983-02-25,1991-10-28,87,9999-12-31,2013-05-08
1/3-3,DST,DST2,4233.00,4240.00,NULL,1983-02-27,1991-10-28,87,9999-12-31,2013-05-08
1/3-3,DST,"DST0,3    ",0.00,0.00,WATER,1983-03-06,1991-10-28,87,9999-12-31,2013-05-08
1/3-3,DST,TEST3C,0.00,0.00,WATER,1983-03-06,1995-08-09,87,9999-12-31,2013-05-08
1/3-3,DST,3B,0.00,0.00,NULL,1983-03-13,9999-12-31,87,9999-12-31,2013-05-08
1/3-3,DST,NULL,4211.00,4214.00,NULL,9999-12-31,9999-12-31,87,9999-12-31,2013-05-08
1/3-3,DST,NULL,0.00,0.00,NULL,9999-12-31,1995-08-09,87,9999-12-31,2013-05-08
1/6-1,DST,DST4,3153.00,3159.00,NULL,1972-11-20,1991-02-06,239,9999-12-31,2013-05-08
1/6-3,DST,TEST1,3228.00,3266.00,NULL,1974-07-20,1991-03-06,241,9999-12-31,2013-05-08
1/6-3,DST,"TEST1,1   ",0.00,0.00,NULL,1974-07-23,1991-03-06,241,9999-12-31,2013-05-08
1/9-1,DST,DST 1,3298.00,3302.00,NULL,1976-12-23,1980-01-01,243,9999-12-31,2013-05-08
1/9-1,DST,TEST1A,0.00,0.00,NULL,1976-12-25,1991-10-01,243,9999-12-31,2013-05-08
1/9-1,DST,TEST1B,3312.00,3306.00,NULL,1976-12-25,1980-01-01,243,9999-12-31,2013-05-08
1/9-1,DST,TEST4,3148.00,3157.00,NULL,1977-01-11,1980-01-01,243,9999-12-31,2013-05-08
1/9-1,DST,TEST5,3120.00,3133.00,NULL,1977-01-17,1980-01-01,243,9999-12-31,2013-05-08
