wlbWellboreName,wlbNpdidWellbore,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbEntryDate,wlbCompletionDate,wlbDrillPermit,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbEntryYear,wlbCompletionYear,wlbSeismicLocation,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
1/2-U-1,6148,1/2-U-1,ConocoPhillips Skandinavia AS,143,BUCENTAUR,2009-05-09,2009-05-09,479-G1,111.0,74.0,NORTH SEA,2009,2009,NULL,ED50,56,56,55.58,N,2,27,5.01,E,56.9488,2.4514,6311958.73,466625.99,31,1,2,U,1,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/2-U-2,6149,1/2-U-2,ConocoPhillips Skandinavia AS,143,BUCENTAUR,2009-05-12,2009-05-12,479-G2,108.0,74.0,NORTH SEA,2009,2009,NULL,ED50,56,56,56.95,N,2,27,7.69,E,56.9492,2.4521,6312000.73,466671.62,31,1,2,U,2,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/2-U-3,6150,1/2-U-3,ConocoPhillips Skandinavia AS,143,BUCENTAUR,2009-05-12,2009-05-12,479-G3,107.0,74.0,NORTH SEA,2009,2009,NULL,ED50,56,56,54.99,N,2,27,8.52,E,56.9486,2.4524,6311940.01,466685.16,31,1,2,U,3,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-1,5686,1/3-U-1,BG Norge AS,274 BS,BUCENTAUR,2007-10-10,2007-10-10,411-G1,112.0,69.0,NORTH SEA,2007,2007,NULL,ED50,56,45,10.48,N,2,49,41.9,E,56.7529,2.8283,6290035.25,489500.39,31,1,3,U,1,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-2,5687,1/3-U-2,BG Norge AS,274 BS,BUCENTAUR,2007-10-10,2007-10-10,411-G2,107.0,69.0,NORTH SEA,2007,2007,NULL,ED50,56,45,8.33,N,2,49,41.91,E,56.7523,2.8283,6289968.77,489500.39,31,1,3,U,2,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-3,5688,1/3-U-3,BG Norge AS,274 BS,BUCENTAUR,2007-10-10,2007-10-10,411-G3,107.0,69.0,NORTH SEA,2007,2007,NULL,ED50,56,45,9.4,N,2,49,38.51,E,56.7526,2.8274,6290002.00,489442.72,31,1,3,U,3,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-4,5690,1/3-U-4,BG Norge AS,274 BS,BUCENTAUR,2007-10-11,2007-10-11,411-G4,104.0,69.0,NORTH SEA,2007,2007,NULL,ED50,56,45,12.43,N,2,49,43.54,E,56.7535,2.8288,6290095.48,489528.40,31,1,3,U,4,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-5,5691,1/3-U-5,BG Norge AS,274 BS,BUCENTAUR,2007-10-11,2007-10-11,411-G5,92.0,69.0,NORTH SEA,2007,2007,NULL,ED50,56,45,12.24,N,2,49,39.64,E,56.7534,2.8277,6290089.77,489462.14,31,1,3,U,5,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-10,5499,1/3-U-10,DONG E&P Norge AS,274,BUCENTAUR,2007-03-01,2007-03-01,389-G,106.0,72.0,NORTH SEA,2007,2007,BP9202,ED50,56,55,39.83,N,2,42,20.61,E,56.9277,2.7057,6309521.02,482087.93,31,1,3,U,10,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
1/3-U-11,5500,1/3-U-11,DONG E&P Norge AS,274,BUCENTAUR,2007-03-02,2007-03-03,390-G,106.0,71.6,NORTH SEA,2007,2007,VGCNS04,ED50,56,50,58.34,N,2,43,15.35,E,56.8495,2.7209,6300813.05,482977.95,31,1,3,U,11,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
