wlbNpdidWellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
406,"33/6-1","33/6-1",NULL,"049","EXPLORATION","Norsk Agip  AS","NO","FERNSTAR",NULL,1979-04-09,1979-07-06,"DRY","P&A",1,"WILDCAT",306.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=406","http://www.npd.no/FactMapSearch?NPDID_wellbore=406","NO","POINT(1.865986 61.537453)"
407,"33/9-1","33/9-1","STATFJORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","NORSKALD",NULL,1974-04-02,1974-06-04,"OIL","P&A",5,"APPRAISAL",146.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=407","http://www.npd.no/FactMapSearch?NPDID_wellbore=407","NO","POINT(1.840428 61.252025)"
408,"33/9-2","33/9-2","STATFJORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","NORSKALD",NULL,1974-08-25,1974-09-14,"DRY","JUNKED",1,"APPRAISAL",146.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=408","http://www.npd.no/FactMapSearch?NPDID_wellbore=408","NO","POINT(1.894836 61.298264)"
409,"33/9-4","33/9-4","STATFJORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","NORSKALD",NULL,1975-07-30,1975-09-17,"OIL","P&A",5,"APPRAISAL",144.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=409","http://www.npd.no/FactMapSearch?NPDID_wellbore=409","NO","POINT(1.911956 61.329603)"
410,"33/9-5","33/9-5","STATFJORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","ROSS RIG",NULL,1975-10-27,1976-01-01,"OIL","P&A",5,"APPRAISAL",152.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=410","http://www.npd.no/FactMapSearch?NPDID_wellbore=410","NO","POINT(1.947694 61.346631)"
411,"33/9-6","33/9-6",NULL,"037","EXPLORATION","Mobil Exploration Norway INC","NO","DYVI ALPHA",NULL,1976-06-23,1976-08-31,"OIL","P&A",5,"WILDCAT",153.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=411","http://www.npd.no/FactMapSearch?NPDID_wellbore=411","YES","POINT(1.811969 61.420222)"
1109,"30/6-U-8","30/6-U-8",NULL,NULL,"SHALLOW","Norsk Hydro Produksjon AS","NO",NULL,NULL,1987-09-23,1987-09-23,NULL,"P&A",0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1109",NULL,"NO","POINT(2.753519 60.595469)"
412,"33/9-7","33/9-7","STATFJORD ØST","037","EXPLORATION","Mobil Exploration Norway INC","NO","DYVI ALPHA",NULL,1976-09-06,1976-11-07,"OIL","P&A",5,"WILDCAT",155.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=412","http://www.npd.no/FactMapSearch?NPDID_wellbore=412","YES","POINT(1.98685 61.336714)"
413,"33/9-8","33/9-8","STATFJORD NORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","DEEPSEA SAGA",NULL,1976-11-11,1977-02-18,"OIL","P&A",5,"WILDCAT",265.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=413","http://www.npd.no/FactMapSearch?NPDID_wellbore=413","YES","POINT(1.918019 61.438178)"
414,"33/9-9","33/9-9","STATFJORD","037","EXPLORATION","Mobil Exploration Norway INC","NO","BORGNY DOLPHIN",NULL,1977-07-27,1977-11-17,"OIL/GAS","P&A",13,"APPRAISAL",145.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=414","http://www.npd.no/FactMapSearch?NPDID_wellbore=414","NO","POINT(1.907236 61.286164)"
